Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,204,T,Chemical + Properties CS Less,"(1016, 14)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3740178213323209,1.0994013798526692,0.027254100601524854,0.9382298969530355,1.396609262706749,1.0771861918483072,0.027145336670160763,0.9349871868294486
Local Model,204,T,Chemical + Properties CS Less,"(1016, 14)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3578936619011284,1.0898002882800069,0.027030890470874473,0.9396157730413678,1.4577995647928514,1.1291425882514714,0.028874844580555795,0.9301172828653264
Local Model,204,T,Chemical + Properties CS Less,"(1016, 14)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.313545392075471,1.0319105262678863,0.025768719166561305,0.9436018537601958,1.6056233566526878,1.295581726369043,0.031868647881480756,0.9142494634305912
Local Model,204,T,Chemical + Properties CS Less,"(1016, 14)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3640739938262378,1.070876980384998,0.02665348359905039,0.9391306568423525,1.367467310784306,1.090895675343329,0.027047191962791088,0.9383073054750498
Local Model,204,T,Chemical + Properties CS Less,"(1016, 14)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3456789883374471,1.061937347783202,0.026544108413375834,0.940220303383729,1.3982091609036285,1.1139949553393422,0.027064753609037515,0.9374113377976152
Local Model,204,T,Chemical + Properties CS Less,"(1016, 14)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3498449979773275,1.0663401939554162,0.026491916643241728,0.9406317323704992,1.5046503685112649,1.185928323587144,0.029765385543501468,0.9238113502324528
Local Model,204,T,Chemical + Properties CS Less,"(1016, 14)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3474885913859977,1.078979276379906,0.026844412512373652,0.9407911275146594,1.4074246058981814,1.0911833364746657,0.027136754868294553,0.9336818981340702
Local Model,204,T,Chemical + Properties CS Less,"(1016, 14)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3572128768921976,1.0769797688073286,0.02684798852284039,0.9384189732899753,1.3646048765737968,1.1005129235060935,0.02755329535923144,0.9434730670341679
Local Model,204,T,Chemical + Properties CS Less,"(1016, 14)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3240600931708024,1.039086949196466,0.025837817252940577,0.9426221284262926,1.6302574949036488,1.2754230928232138,0.031674962734613635,0.9124916528471885
Local Model,204,T,Chemical + Properties CS Less,"(1016, 14)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3500219260285453,1.054613821860377,0.026248901294809585,0.9407107151354187,1.4447010885454354,1.1617836555902394,0.028723508114890252,0.9287527508706868
Local Model,204,T,Chemical + Properties CS Less,"(1016, 14)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3380753764115343,1.059418794007482,0.026442355938777966,0.9410894717403178,1.5410448110112969,1.2148806998567412,0.029991375507000588,0.923198250430761
Local Model,204,T,Chemical + Properties CS Less,"(1016, 14)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.340320554205464,1.078903375824843,0.0269440153457536,0.9419483563445356,1.3909466798278955,1.0524212447920331,0.026166280378089216,0.9327941519147745
Local Model,204,T,Chemical + Properties CS Less,"(1016, 14)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.384734077071482,1.0920833714686253,0.02720237238010066,0.9360671703777024,1.4371813018451973,1.1157007890361026,0.027976747293924232,0.9360761593501999
Local Model,204,T,Chemical + Properties CS Less,"(1016, 14)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3823841784539261,1.1060176873846155,0.027332982596453743,0.937957691326087,1.3819173933632776,1.11914253270684,0.028401823462913377,0.9346012162540723
Local Model,204,T,Chemical + Properties CS Less,"(1016, 14)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2849717312873603,1.0129596225124413,0.025371726876368496,0.9457062351017193,1.6100534176834147,1.2600327764737276,0.03081601294257803,0.9153943105270331
Local Model,204,T,Chemical + Properties CS Less,"(1016, 14)",,Random Forest,,,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.0739727371341699,0.8171350322873812,0.020010790263512292,0.9640122876147054,1.3527252258406472,0.9835880659033732,0.023774585433858676,0.9340895744868768
Local Model,204,T,Chemical + Properties CS Less,"(1016, 14)",,Random Forest,,,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.902431345348846,0.6790861675011677,0.017032205991359767,0.9728071778762101,1.7860580788109894,1.4657360867419336,0.03624493588686232,0.8803470923778698
Local Model,204,T,Chemical + Properties CS Less,"(1016, 14)",,Random Forest,,,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.050052018489459,0.8260810987051234,0.020579477464850563,0.9614856180643419,2.2148663428893705,1.7736930082922835,0.04531265575835583,0.7765777189933872
Local Model,204,T,Chemical + Properties CS Less,"(1016, 14)",,Random Forest,,,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.8204031894365623,0.6611750368948883,0.01701548386985375,0.9731034630869281,0.8863507122274901,0.7000798335856108,0.018297385005301516,0.974275803112323
