Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,204,"(1016, 10)",1,Chemical + CS7,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.9979823433828374,0.10601193423180497,0.793842854440948,0.09636885452329706,0.019863146014123867,0.0026799664675355925,0.9664525074888833,0.008685412649198372,1.6937584353676916,0.4831527741868233,1.2498125550805066,0.3690282539144102,0.03144177713730242,0.00962090539631506,0.8797553227863434,0.06878826346787063
Local Model,204,"(1016, 10)",1,Chemical + CS7,Transformer,Out of time Split,"{""Test Size"": 0.2}",1.0530218137541965,0.009097804249723354,0.8071125209037892,0.01512996808480764,0.02021391422874019,0.0004457538094525455,0.961669974306193,0.0006606447818779382,1.1199710865790309,0.08031418738575655,0.8730748419668161,0.08140708172748226,0.020848236175786322,0.0020342668209559506,0.9650616551245244,0.005069983316338131
Local Model,204,"(1016, 10)",1,Chemical + CS7,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0273697366136125,0.03961878326674345,0.7990793827570252,0.035021015924288586,0.020003608835677037,0.0009023478610304023,0.9653547374135019,0.00265977522353127,1.1219387977737862,0.08008734266735597,0.8574147298567162,0.039898062220498375,0.021417996924817256,0.0009363472712134144,0.9584314576117489,0.0055078684354636035
Local Model,204,"(1016, 10)",1,Chemical + CS7,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.056957911825342,0.06770821531041729,0.823304955602439,0.06243354196388885,0.02058629988315133,0.0017782121070337214,0.9626959566175255,0.005781144841604177,1.3319585083607717,0.20261154611362547,1.0424978746041742,0.16244190305167175,0.026541975388831813,0.004397264874947156,0.936639652596663,0.02232228072172782
Local Model,204,"(1016, 10)",7,Chemical + CS7,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",2.0281996387956784,1.445216391074508,1.7018741930448091,1.3131579337111867,0.0431734359580545,0.03236223776768007,0.8041120002338783,0.2730758063022647,2.946139868243956,1.5502169395465888,2.3487027920126327,1.4129029001934694,0.05990467768357806,0.03545995631043096,0.5598817818267023,0.38864402534871156
Local Model,204,"(1016, 10)",7,Chemical + CS7,Transformer,Out of time Split,"{""Test Size"": 0.2}",2.445526498511755,0.044143237539779986,1.6590004781087238,0.035864739789695205,0.042122951469686344,0.0008339268981018893,0.7932893515027731,0.007496272224996464,2.175721944040618,1.1084252184610681,1.693805678685506,0.8169224738957701,0.04419677145827835,0.02281773018719304,0.8338982401461302,0.15856967952628903
Local Model,204,"(1016, 10)",7,Chemical + CS7,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.3192792194244922,0.10992508470365946,1.5994758116674084,0.1066318465097729,0.040933537769279035,0.003038118405923226,0.8236945508631254,0.01693827407263853,3.006915458042416,0.33604647557402934,1.9596128146977114,0.1552593911636677,0.05007523245903123,0.0037871448979128934,0.70264075145917,0.06637794761099991
Local Model,204,"(1016, 10)",7,Chemical + CS7,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",3.335031941022597,0.8473666420978413,2.509444138752172,0.9005839476370942,0.06350663813774705,0.022385131803143176,0.6155790854135132,0.18708087930132847,2.3465501551488868,1.4356928631342627,1.934844391452279,1.200665570276106,0.04959232191852679,0.031227774322513117,0.7440412684478849,0.31388533483911807
Local Model,204,"(1016, 10)",14,Chemical + CS7,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",2.1313664157968564,1.5232080642513568,1.8533573687373062,1.4456644580243652,0.04729716575161712,0.035776225943455135,0.7845042401191797,0.3019156438490473,2.4115880143202344,1.5528512950084514,2.123734583173479,1.5184977405026223,0.054316589571843904,0.038824901435774176,0.7129928213890835,0.36572325912952625
Local Model,204,"(1016, 10)",14,Chemical + CS7,Transformer,Out of time Split,"{""Test Size"": 0.2}",2.540308632013745,0.0933875408656145,1.7218750731231196,0.07314395218230502,0.044117684691647674,0.002159687257797457,0.7770909459059627,0.01615761812612005,2.7346818845717844,1.089060729382461,2.183237654439519,0.8645772776854731,0.0567483979440678,0.02490877804032197,0.7565843576357238,0.19087600382812683
Local Model,204,"(1016, 10)",14,Chemical + CS7,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.361731505271746,0.10216825638522921,1.6017836200227058,0.09039055697581001,0.0407414718073522,0.0024273767420203273,0.8180450193065291,0.01605371065449255,3.0890156073686112,0.4551368901017594,1.9519985596418616,0.2286029170364806,0.049959313521240965,0.005961097656004121,0.6779515207761998,0.09634496909477182
Local Model,204,"(1016, 10)",14,Chemical + CS7,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",3.4534500982785876,0.8808652473216101,2.7179657383391023,0.9620157908553799,0.06891987501697372,0.02387801301949038,0.5905902094337725,0.19918542950517112,5.326459450720932,6.385104602287157,3.9854063002713076,4.469062820474106,0.10879868942535276,0.12610904540098244,-1.261936133139763,4.180368506756043
