Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,206,B,Chemical,"(1169, 4)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7690905942884811,1.3098216766052047,0.029838970318788842,0.6405908286195736,1.630212352460333,1.2402258849337913,0.028050526625449247,0.6585877267352092
Local Model,206,B,Chemical,"(1169, 4)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6868881791809753,1.2855162917213498,0.029102881748643488,0.6555198112132035,1.948453457510077,1.3356706062511425,0.030965041079254362,0.6013117976650244
Local Model,206,B,Chemical,"(1169, 4)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7536812884092627,1.2942656638824213,0.029514248504993033,0.6486599416942036,1.7020301965425546,1.3142434104317062,0.02949863872106493,0.6174547837784906
Local Model,206,B,Chemical,"(1169, 4)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7564960734310286,1.3015435087753398,0.02966301146033416,0.6357801281402702,1.6838665712672702,1.2612820759553103,0.028551913934106707,0.674859843041385
Local Model,206,B,Chemical,"(1169, 4)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7384318004715797,1.28108008548251,0.029110620269019245,0.6412689104265543,1.7619399986867956,1.345954242600958,0.03076046798931606,0.6506139463263589
Local Model,206,B,Chemical,"(1169, 4)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7385439668602376,1.289103155689851,0.029272225468872936,0.6368838157820114,1.7643495483180125,1.311557457535702,0.030256754379129322,0.6649756644440565
Local Model,206,B,Chemical,"(1169, 4)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.732652399294641,1.2791709469784398,0.02914932880354414,0.6549378426748684,1.7818816036783083,1.3646392398323697,0.030744743932677038,0.5940733774519242
Local Model,206,B,Chemical,"(1169, 4)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7226111127286592,1.2935633620146705,0.02937599268967564,0.650943813654009,1.8178769195009843,1.2972746971445883,0.029741705768916972,0.6166329431949054
Local Model,206,B,Chemical,"(1169, 4)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.775625183025765,1.3325530213626389,0.03029465304116238,0.6311538845150301,1.6043499167365993,1.151017371516036,0.02619828295264934,0.69469761286446
Local Model,206,B,Chemical,"(1169, 4)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7354056477870308,1.276197083365899,0.029100871645309646,0.6477824753505407,1.7715571946794106,1.3761923798205244,0.030958726323218614,0.6273723945672715
Local Model,206,B,Chemical,"(1169, 4)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.750774837193442,1.298596144239456,0.02960792265675906,0.6359750690713626,1.7078681764381436,1.2784099516877687,0.028797530094569933,0.6738867528890857
Local Model,206,B,Chemical,"(1169, 4)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.774284031884126,1.3138808332871448,0.029914691422307082,0.637845769897496,1.609550778538687,1.2188149792382479,0.027638835343650716,0.6692472719138449
Local Model,206,B,Chemical,"(1169, 4)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6752077080783911,1.274923116297622,0.028848766489916994,0.6618583555422877,1.988524311766837,1.3764464319842238,0.032003398411710515,0.5799006747450806
Local Model,206,B,Chemical,"(1169, 4)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7483454490168802,1.2845667510268919,0.02927021678702277,0.6434883068983488,1.7186285779428225,1.3459718736932154,0.0303648086935245,0.6452120769422496
Local Model,206,B,Chemical,"(1169, 4)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7567319608494356,1.300123602343452,0.029588763597163358,0.6427037737554526,1.6833763090368132,1.271712922644405,0.028855227961003385,0.6489817285964732
Local Model,206,B,Chemical,"(1169, 4)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.329823225139987,1.0890511162338086,0.024808435872542823,0.8421316503346425,1.5307684985655803,1.2784450074747424,0.02827716278217993,0.8184626334162837
Local Model,206,B,Chemical,"(1169, 4)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.078251986488866,0.8350944043497999,0.018401969892094135,0.8270769439331074,1.4997885639344741,1.3050541099067148,0.029367304164316894,0.6015439956475102
Local Model,206,B,Chemical,"(1169, 4)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.9942439779068759,0.8046778746251658,0.01785652260829234,0.8131203549710051,2.231406811934928,1.8685931984543447,0.03952488826508013,-2.4331051559795585
Local Model,206,B,Chemical,"(1169, 4)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.4502440863700559,1.049641370962172,0.023331946263029958,0.5724871809012004,1.4796733111524372,1.0806043912098864,0.024738179606651985,0.6815213901571615
Local Model,206,B,Chemical,"(1169, 4)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",2.232918692329437,1.6647702497702883,0.038324042887326264,0.46641813906282825,3.249566872134548,2.538278194733779,0.06509673420355959,-0.7400140765333625
Local Model,206,B,Chemical,"(1169, 4)",,Linear Regression,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.317668395221423,1.083191656553441,0.024671378975950533,0.8450785897271855,1.7426526388890273,1.4333462837231647,0.031517454543759385,0.617088428267819
Local Model,206,B,Chemical,"(1169, 4)",,Linear Regression,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.4244545063076672,1.1493859643158404,0.02589482761188618,0.8014603524156474,1.2233562706789192,0.9717361255907523,0.02155253018304933,0.7197216689953816
Local Model,206,B,Chemical,"(1169, 4)",,Linear Regression,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.329291881100848,1.050641095073441,0.023649123120079933,0.7954738553078664,1.7665726249883684,1.3545088418465296,0.02950866627247379,0.19139483761632403
Local Model,206,B,Chemical,"(1169, 4)",,Linear Regression,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.411480958297012,1.0984831567013609,0.024617842196404754,0.7359965985430751,2.158274245189907,1.5598701633810244,0.035537105350738535,0.4450660423737943
Local Model,206,B,Chemical,"(1169, 4)",,Linear Regression,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.57956130300125,1.1802652374379152,0.02659957313327816,0.6766272203777939,2.441054457123278,1.8946405932889296,0.044701222729031875,0.41174990598914196
