Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,206,B,Chemical + Feature Engineering,"(1169, 5)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7935798849745372,1.3426169585973895,0.03051745790394411,0.6305714481234264,1.6152621720089089,1.2212549501039685,0.027620002931592856,0.6648209891309723
Local Model,206,B,Chemical + Feature Engineering,"(1169, 5)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.689213777735232,1.2873480959914954,0.02908285913916539,0.654569333445111,1.9962048903291782,1.3982694290030717,0.032323487568620475,0.5815307580025235
Local Model,206,B,Chemical + Feature Engineering,"(1169, 5)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8215650454292902,1.3575338663836507,0.030773970646034703,0.620933242356131,1.8832477917257548,1.4950427255044938,0.03342270918450326,0.5316579123998469
Local Model,206,B,Chemical + Feature Engineering,"(1169, 5)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7672890763640292,1.3008653605850988,0.02956028942376498,0.6312903902603043,1.7729751340113709,1.32498827472915,0.029930362174270593,0.6395371186816801
Local Model,206,B,Chemical + Feature Engineering,"(1169, 5)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8047807437000831,1.3435109048121237,0.030285663339040952,0.6133637247914454,1.9124632507147123,1.4554961927684078,0.032937881333110604,0.5883676171817462
Local Model,206,B,Chemical + Feature Engineering,"(1169, 5)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7640195326049035,1.3092281823089145,0.029654071846262328,0.6261640794248587,1.803943280590497,1.3378027930626504,0.030735592667755184,0.649770398424927
Local Model,206,B,Chemical + Feature Engineering,"(1169, 5)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7609299631349429,1.3094126276135811,0.029737004618563,0.6435828352512932,1.8765363468471752,1.414528337788378,0.031743776881495586,0.5498017438314058
Local Model,206,B,Chemical + Feature Engineering,"(1169, 5)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7312346975307316,1.299198856678849,0.029407065711648753,0.6474402369153293,1.8520353045441669,1.3506439272888706,0.030885819693243034,0.6020904507766789
Local Model,206,B,Chemical + Feature Engineering,"(1169, 5)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7920133697067329,1.35170908307032,0.03051739589237715,0.6243139117390535,1.6910306220014997,1.226830106295072,0.027789272121890845,0.6608163166735543
Local Model,206,B,Chemical + Feature Engineering,"(1169, 5)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8036243735854514,1.3401698108249243,0.030319748639462678,0.6195468898622559,1.837538032955156,1.4373761614800464,0.032074810559192674,0.5990988121373169
Local Model,206,B,Chemical + Feature Engineering,"(1169, 5)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7628474146687554,1.30764532541971,0.02969364885226107,0.6309374467358172,1.7453569115337226,1.3213638925144817,0.02965722951214107,0.6594128577145304
Local Model,206,B,Chemical + Feature Engineering,"(1169, 5)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8277128999068772,1.3620891402410042,0.0308163462651522,0.6157063322268177,1.695872905337266,1.244771444989066,0.028091026317954224,0.632818600157063
Local Model,206,B,Chemical + Feature Engineering,"(1169, 5)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6819020270819158,1.2884103602726904,0.028974904831223117,0.6591504514633486,2.0651873352049206,1.4270649420546309,0.032996983526119635,0.5468843315993261
Local Model,206,B,Chemical + Feature Engineering,"(1169, 5)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8324740855470267,1.359851753205002,0.030805491499841565,0.6083528529997158,1.8169465726775573,1.414476275321765,0.031720456888579586,0.6034580992430949
Local Model,206,B,Chemical + Feature Engineering,"(1169, 5)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8277720328450873,1.3581905763404911,0.03067278211082041,0.6132222527755676,1.8063758493214044,1.3988029427411008,0.031494961890623084,0.5958118860431147
Local Model,206,B,Chemical + Feature Engineering,"(1169, 5)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0800259921260342,1.6788597672273717,0.03711375257334758,0.49916103587022853,2.0514377596306046,1.697817329471567,0.037533275067841106,0.4536422031221704
Local Model,206,B,Chemical + Feature Engineering,"(1169, 5)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8887042692090672,1.5149272576274473,0.03338307360353781,0.5647152021225632,2.1946350771800747,1.67961510941789,0.03805353249726651,0.5016632599955781
Local Model,206,B,Chemical + Feature Engineering,"(1169, 5)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0219933893460893,1.5319900306700536,0.03434782884631328,0.530388469247421,2.1173223525191482,1.5960010054304792,0.03531483842385437,0.37192544985803977
Local Model,206,B,Chemical + Feature Engineering,"(1169, 5)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8588315794710686,1.400080170069044,0.0313957373980286,0.5898164919351752,1.7915356952205594,1.3208681922431464,0.029569264138931916,0.6344405461940057
Local Model,206,B,Chemical + Feature Engineering,"(1169, 5)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0435709224747125,1.6387751619028565,0.036307762176191104,0.5024777638382983,2.3718183364848042,1.8704093400083515,0.04172675713352159,0.3690386312798669
Local Model,206,B,Chemical + Feature Engineering,"(1169, 5)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.249109380552657,1.8854618930286844,0.041369288404655674,0.3881109962084086,2.304392671818903,1.9100632593653228,0.0424284008666596,0.43704888553859633
Local Model,206,B,Chemical + Feature Engineering,"(1169, 5)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9113188669609067,1.517579111343834,0.033705188376640056,0.5767835345158807,2.0928777970884,1.6519698759886596,0.03649042501141728,0.436946277145417
Local Model,206,B,Chemical + Feature Engineering,"(1169, 5)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9479648416022253,1.590788247480138,0.035136804358966364,0.5513441667951458,2.089622132877372,1.6217424044222444,0.036318619382928144,0.48962468547355353
Local Model,206,B,Chemical + Feature Engineering,"(1169, 5)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9602091328479854,1.5663699857878386,0.034645994423346316,0.5481008985838456,2.016706504847545,1.6380214152293164,0.036267134149279165,0.5243645144190129
Local Model,206,B,Chemical + Feature Engineering,"(1169, 5)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9707725370629647,1.5860573920377923,0.03515280783810185,0.5431820884607185,2.063123594711836,1.6986714604541344,0.03732368376335701,0.46282980177333954
Local Model,206,B,Chemical + Feature Engineering,"(1169, 5)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0091453674967372,1.6257975868840113,0.03591898832301663,0.5178294700445788,2.128188543595724,1.7347607772414753,0.03817645264667065,0.4845286274118107
Local Model,206,B,Chemical + Feature Engineering,"(1169, 5)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.1718165338482476,1.7882950649351608,0.03931047562170954,0.45410494184186845,2.1447035892971487,1.8020052091581331,0.03965855157194413,0.399926849899913
