Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,206,B,Chemical + CS3,"(1169, 5)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.474809579744668,1.1125148357815997,0.025124815260417738,0.7502181326105685,1.3296807592908328,1.0385501498975964,0.023284506699811764,0.7728642270693077
Local Model,206,B,Chemical + CS3,"(1169, 5)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4068130499023423,1.0951426754910256,0.024660824624888004,0.7604123448116371,1.5860269951392498,1.1378925271319527,0.026020274664544995,0.7358354952452122
Local Model,206,B,Chemical + CS3,"(1169, 5)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.460043584955991,1.0938769387628597,0.024824877403051556,0.7564669130983845,1.390551500083076,1.0870513188110758,0.024313334409888795,0.7446579095609287
Local Model,206,B,Chemical + CS3,"(1169, 5)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4298674293688,1.0917153419155219,0.02478026012631362,0.7586424893904246,1.5265011282858305,1.1572234180157,0.026262161548589364,0.7327919610063176
Local Model,206,B,Chemical + CS3,"(1169, 5)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.462553378401515,1.0981994569512754,0.024702234610011368,0.7460915514613893,1.5382647576433304,1.1813856780089025,0.02675181821124459,0.7336912008181251
Local Model,206,B,Chemical + CS3,"(1169, 5)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4413657084371638,1.093238456255585,0.024652048249048385,0.75041262088017,1.4939933176470346,1.1181456717466698,0.025617270890504137,0.7597826325248992
Local Model,206,B,Chemical + CS3,"(1169, 5)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4266390264082327,1.076042993778824,0.024387009332806135,0.766060991472466,1.4606378587518978,1.1339295274783403,0.025425169230814424,0.7272435978718095
Local Model,206,B,Chemical + CS3,"(1169, 5)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3955411462257852,1.0748332657630009,0.0242230044483638,0.7709099949132767,1.564021286012559,1.1724612578041533,0.02655606731862406,0.7162269433865507
Local Model,206,B,Chemical + CS3,"(1169, 5)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4806365776857788,1.1211606728892642,0.025344505455083596,0.7435282292075378,1.3518859194195683,1.02375579025399,0.02320713741865056,0.7832235513239282
Local Model,206,B,Chemical + CS3,"(1169, 5)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4267854414260501,1.0796028123187205,0.02444096122023354,0.7619181513549678,1.4521811891833984,1.1408882142564611,0.025487785589318787,0.7496161672236323
Local Model,206,B,Chemical + CS3,"(1169, 5)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4432609123858977,1.0918910372919945,0.024805567309845403,0.7526224775923824,1.4292016834846257,1.090634484576364,0.024349006008148957,0.7716259327587106
Local Model,206,B,Chemical + CS3,"(1169, 5)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4747337020804758,1.132275412921047,0.02556787309236194,0.7498073858815666,1.368003871847466,1.043206731160482,0.02357990886286169,0.7610710782683661
Local Model,206,B,Chemical + CS3,"(1169, 5)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4269995235324313,1.0914109742145564,0.024634886007880514,0.7546370461637726,1.6302075097120914,1.1542670044169105,0.026788257355795327,0.7176576970589201
Local Model,206,B,Chemical + CS3,"(1169, 5)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.436003244953449,1.0903601305339006,0.024670382723203852,0.7594916679332625,1.4454355672527897,1.1406492764725644,0.025539884855450844,0.7490413069902364
