Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,206,B,Chemical + Properties CS Less,"(1169, 9)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5505421965258706,1.1649389058277644,0.026630376058618083,0.7239064966679414,1.5954086759552513,1.2048284267812353,0.027535126633147677,0.673009851064511
Local Model,206,B,Chemical + Properties CS Less,"(1169, 9)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4648609540861564,1.112041562096421,0.025258929953651577,0.7402327081915843,1.7990081461178478,1.2115964129847336,0.02822353230743925,0.6601247252218505
Local Model,206,B,Chemical + Properties CS Less,"(1169, 9)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5774587198469368,1.16861537410215,0.02682497192111411,0.7157225972051908,1.5480606513667943,1.2315382974560742,0.0278351451806652,0.6835360842624948
Local Model,206,B,Chemical + Properties CS Less,"(1169, 9)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5076415535006458,1.1394382453742242,0.026064006126749507,0.7316723244200591,1.7380443923778868,1.2668367357824601,0.02902305570720001,0.6536007124057978
Local Model,206,B,Chemical + Properties CS Less,"(1169, 9)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.573627524432738,1.1767176541331725,0.026903134047369843,0.7060607460312605,1.5816086839682737,1.2132120751638782,0.027909647873591133,0.7184721151254218
Local Model,206,B,Chemical + Properties CS Less,"(1169, 9)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4775605744317817,1.1072134109851242,0.025112185265174867,0.7377202033663678,1.7058418603508585,1.2472732152694312,0.028903140227253703,0.6868267722715472
Local Model,206,B,Chemical + Properties CS Less,"(1169, 9)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.487748449089759,1.1016865413183565,0.025112215138619925,0.7455904223398286,1.6549358843148732,1.261429191654564,0.028625340358813395,0.6498515623374201
Local Model,206,B,Chemical + Properties CS Less,"(1169, 9)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.541395551145295,1.1626358928769398,0.02661535019978,0.7205210823661292,1.8088437499194223,1.3029838504628237,0.030017044438729944,0.6204334377104641
Local Model,206,B,Chemical + Properties CS Less,"(1169, 9)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5446351603134623,1.1782734296938682,0.026868855520782775,0.7208777513690564,1.4784967492684054,1.0719480931208685,0.024607523281362183,0.74071776845148
Local Model,206,B,Chemical + Properties CS Less,"(1169, 9)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4635297667987597,1.085903636671539,0.024779366461427033,0.7494974982169849,1.68348646148804,1.2844490463630265,0.028993730012456823,0.6635008854113593
Local Model,206,B,Chemical + Properties CS Less,"(1169, 9)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4264120203898323,1.074751635312497,0.024444059605837534,0.7583646242929464,1.6248735495645181,1.1881907725537946,0.026796694940959178,0.7048118722146259
Local Model,206,B,Chemical + Properties CS Less,"(1169, 9)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5100074782162618,1.1429331665638025,0.026020046071649233,0.7376956635404378,1.6117003275225628,1.230916484734951,0.02814356564173596,0.6683632439622055
Local Model,206,B,Chemical + Properties CS Less,"(1169, 9)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4426350442559637,1.104335699752188,0.02502990036754256,0.7492307444400288,1.9636124942050959,1.3254281599219684,0.031055723907277767,0.5903605753629022
Local Model,206,B,Chemical + Properties CS Less,"(1169, 9)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5144982938600504,1.1334693715413993,0.025915210478111756,0.7324796273357512,1.5423550631407985,1.1706813688359707,0.026550421513100594,0.7142583838260403
Local Model,206,B,Chemical + Properties CS Less,"(1169, 9)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4664020509672469,1.0865886855482965,0.02464272670097877,0.7510434581883257,1.5920503399220027,1.2439668882788812,0.028418298355123505,0.6860352484125862
Local Model,206,B,Chemical + Properties CS Less,"(1169, 9)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.461164372591719,1.1028729787597495,0.02517273918847979,0.7528510707068989,1.7997587952824932,1.4093481398534828,0.03218625854067733,0.5794776679187152
Local Model,206,B,Chemical + Properties CS Less,"(1169, 9)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3378541054402824,1.0235649797544175,0.023236069677684094,0.7815947431609358,1.9609539123414754,1.2975240133474537,0.030300171065967337,0.6021374630036362
Local Model,206,B,Chemical + Properties CS Less,"(1169, 9)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3659716081640911,1.0195042305685884,0.023153517790937144,0.7856800326857414,1.757831567790751,1.3625356698250985,0.030891107058798665,0.56709584910484
Local Model,206,B,Chemical + Properties CS Less,"(1169, 9)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3482740578376176,1.0003738337800132,0.02278423337420364,0.7841984957544631,1.747545488319009,1.2971729066865938,0.029648850965650307,0.6521723786141906
Local Model,206,B,Chemical + Properties CS Less,"(1169, 9)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3433987731569546,0.9913173301939568,0.0224750731629189,0.784997771532163,1.7059711762077363,1.2753083496093751,0.029170752561600625,0.6735750820270496
Local Model,206,B,Chemical + Properties CS Less,"(1169, 9)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4467915039098402,1.081697044424968,0.024713475235169226,0.7468001790238834,1.798605935789316,1.382747104404209,0.03204595757434798,0.6570508293050195
Local Model,206,B,Chemical + Properties CS Less,"(1169, 9)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4020549775831284,1.0419807063055435,0.02372130798016421,0.7722667996469544,1.9074861032668415,1.4149724173331044,0.032545683700958346,0.5322811660631047
Local Model,206,B,Chemical + Properties CS Less,"(1169, 9)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.302975770876645,0.9776818656494904,0.02221391580862635,0.7992646912496528,1.8849476575959085,1.3386724772410348,0.030848728307893054,0.5847087973475886
Local Model,206,B,Chemical + Properties CS Less,"(1169, 9)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.558112321995978,1.1747472004117825,0.026917595372114394,0.7144815446805594,1.6997710356750826,1.2550964956197648,0.029062906841984874,0.6621143876641657
Local Model,206,B,Chemical + Properties CS Less,"(1169, 9)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.317826672175728,0.9950078742287376,0.022698019852874004,0.7957384105612993,1.7093563703171706,1.3159226648628057,0.029578015200542426,0.6312545686212446
Local Model,206,B,Chemical + Properties CS Less,"(1169, 9)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3469215945094115,0.9899780887702159,0.02258133343305698,0.7832981724946053,1.7208621966942195,1.2762776658341692,0.029127308049348703,0.6629638092155062
Local Model,206,B,Chemical + Properties CS Less,"(1169, 9)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3698303167149555,1.0113133810697614,0.023009382647146828,0.7828316958406196,1.8491539799734138,1.3589838953791438,0.03094576885902149,0.553916878686855
Local Model,206,B,Chemical + Properties CS Less,"(1169, 9)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2881280478583894,0.9755537776881228,0.022093955836423634,0.799133866500196,2.1177121021403384,1.4381351727970704,0.0336995117799466,0.5186022884474031
Local Model,206,B,Chemical + Properties CS Less,"(1169, 9)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3793429654851461,1.0329444319152867,0.02356495176586646,0.7764249017687078,1.7185935932771517,1.2862891442926083,0.029368498152751728,0.6549876243275474
Local Model,206,B,Chemical + Properties CS Less,"(1169, 9)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.410599540732915,1.0447398922403046,0.023868492548893547,0.7675957577911752,1.5948718032714906,1.2107768525500422,0.02784837336065551,0.6867426663945407
Local Model,206,B,Chemical + Properties CS Less,"(1169, 9)",14,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4538414154358448,1.0802883535744279,0.024805227153144472,0.7558167727010494,1.7873181387933619,1.3310143809643669,0.030319397074823364,0.5446317021242535
Local Model,206,B,Chemical + Properties CS Less,"(1169, 9)",14,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4218499009617984,1.0861379379703908,0.0248068740119315,0.7527534538066281,2.0640746520177107,1.4452941542405346,0.03372215564982997,0.5476783674164369
Local Model,206,B,Chemical + Properties CS Less,"(1169, 9)",14,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4619193489401983,1.0823990868620785,0.024837131849673556,0.7544182286927521,1.6563080302730313,1.31073547069843,0.02924939088621474,0.556796144014534
Local Model,206,B,Chemical + Properties CS Less,"(1169, 9)",14,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3804879013552886,1.0528162165587476,0.024019270931266413,0.7732404619672844,1.8963447357029493,1.371627318455623,0.0315093431617182,0.5712125197987226
Local Model,206,B,Chemical + Properties CS Less,"(1169, 9)",14,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.350747908017102,0.9983233508044269,0.02263434758592357,0.7825804732546542,1.7126364055437364,1.2860695989488984,0.029503658614231067,0.6733428662236831
Local Model,206,B,Chemical + Properties CS Less,"(1169, 9)",14,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3361237259911145,0.9894923084568779,0.022502452865805864,0.7829896294918454,1.6150670043532454,1.2272600636115443,0.02802013697572832,0.7082870636893523
Local Model,206,B,Chemical + Properties CS Less,"(1169, 9)",14,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6250439898672946,1.2518028760462296,0.0287665345111701,0.6950939804071966,2.074376012743368,1.5652051991682787,0.03618104329180129,0.4360415025440666
Local Model,206,B,Chemical + Properties CS Less,"(1169, 9)",14,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.311076224088871,0.9825555736121289,0.022323097335230725,0.7966882074884292,2.091140816229362,1.4829232782217174,0.03405893935730207,0.48544838029342463
Local Model,206,B,Chemical + Properties CS Less,"(1169, 9)",14,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4174193859204194,1.0702643032375325,0.024390978074975127,0.7629505535789256,1.811284750530601,1.305696657180786,0.03001137812068992,0.6039015528093521
Local Model,206,B,Chemical + Properties CS Less,"(1169, 9)",14,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4008117412054282,1.0580839343395863,0.02420073484177732,0.7691034227751888,1.7897857131321384,1.380832848733594,0.030842166210296045,0.5501039943470767
Local Model,206,B,Chemical + Properties CS Less,"(1169, 9)",14,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4305277657496829,1.0766295768254384,0.0247241442023728,0.7566453667065486,1.8611395723958422,1.3851951298346885,0.03138215638651294,0.5775729093467241
Local Model,206,B,Chemical + Properties CS Less,"(1169, 9)",14,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4534189502577533,1.0961057333308595,0.025079949499596195,0.7548034218028518,1.7265777405897687,1.2920714577894943,0.029549476014919255,0.5916131311845491
Local Model,206,B,Chemical + Properties CS Less,"(1169, 9)",14,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3423802516230916,1.0230595804468712,0.023241697272274806,0.7811835325371141,2.22474110716742,1.482329804049506,0.03482451301497546,0.44834709171490805
Local Model,206,B,Chemical + Properties CS Less,"(1169, 9)",14,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5045447712443052,1.128247642989965,0.025873670205523804,0.732894678936646,1.6483994508063466,1.256499519348145,0.02848026615437514,0.6585707104468832
Local Model,206,B,Chemical + Properties CS Less,"(1169, 9)",14,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4137593998182885,1.0490569251082402,0.024002039180737345,0.7671128747793416,1.947509229102266,1.4415221133024794,0.033257023112491305,0.5233180441769838
Local Model,206,B,Chemical + Properties CS Less,"(1169, 9)",1,Transformer,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.4336343817667243,1.1456683318164966,0.02599915878513689,0.8165219746751643,2.2063775948143207,1.840594657735622,0.03972364165338797,0.6228564576722498
