Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,206,"(1169, 5)",1,Chemical + CS3,BidirectionalLSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",4.67349341132499,0.6220351831109144,3.524367776139294,0.5513320509937475,0.07821507471227712,0.01089414176533019,-2.5214656268074154,1.7721127815736395,7.584482811558421,2.4073644886514742,6.381078198177257,2.1665505743953455,0.1415941831169512,0.04215847321841576,-19.603875719382017,26.575655325858968
Local Model,206,"(1169, 5)",1,Chemical + CS3,BidirectionalLSTM,Out of time Split,"{""Test Size"": 0.2}",1.2509054519477882,0.02028614012836363,0.9776046070935834,0.017209175777431467,0.0217480299932224,0.0003754874620492614,0.791362537237479,0.006768524737330009,2.2631123381442966,0.09388208388586775,1.67850004768915,0.06653379771901294,0.040023430859647574,0.0016355132278929113,0.5007250744794168,0.040901493071070286
Local Model,206,"(1169, 5)",1,Chemical + CS3,BidirectionalLSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4234762960032576,0.025541062507308997,1.087832106756774,0.01771207240552591,0.02455683985186797,0.00038792643169329214,0.7622301349043613,0.006930500978415037,1.4749691880383116,0.08523731012969771,1.118930183807001,0.04927712766673931,0.025287163164960366,0.0011971422604320145,0.7436705316608073,0.021152915667599432
Local Model,206,"(1169, 5)",1,Chemical + CS3,BidirectionalLSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.8572040573717248,0.7905551372248616,1.4230513454242517,0.5657469057170157,0.031916471420446006,0.0132027757907856,0.591857280036732,0.30572233542842236,3.187129472187971,1.723508138317625,2.4470104989435257,1.2889442410886456,0.054489691382411734,0.02850007586551924,-0.9001022236906775,1.8777616848365284
Local Model,206,"(1169, 5)",7,Chemical + CS3,BidirectionalLSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.5034112455682238,0.1365944903529529,1.222082554813608,0.12336165108981309,0.02750857494516495,0.0031512151015202637,0.6590432364740068,0.10837462754854514,5.003431416966746,3.389503426056517,4.14211826769892,2.7462387709260647,0.09710250353838175,0.07207700277592603,-6.011944978265878,7.8702653125883515
Local Model,206,"(1169, 5)",7,Chemical + CS3,BidirectionalLSTM,Out of time Split,"{""Test Size"": 0.2}",1.2252650860229415,0.08611489841570998,0.9697157639558828,0.06719243156980263,0.02166068679450346,0.0015198687919910747,0.7971384657954065,0.02820828303327258,2.5868231493257663,0.30026163893446056,2.0445014588410433,0.2940323258470739,0.04835893212592154,0.007118946716613704,0.3132855716292652,0.16106472443785042
Local Model,206,"(1169, 5)",7,Chemical + CS3,BidirectionalLSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.562303849873466,0.2815919400188831,1.2650657849438691,0.26689083540486264,0.02807390456795664,0.005705041356167711,0.702473837900498,0.10495069524286878,1.765011987891227,0.26578711043781017,1.3935769804837848,0.2587966250242209,0.031101425926531638,0.005516950334217187,0.6229097540210724,0.1108279732863186
Local Model,206,"(1169, 5)",7,Chemical + CS3,BidirectionalLSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.2723759176842442,0.2936765537165886,1.035120455848529,0.27940808325052274,0.023179145337645302,0.005880504459020541,0.7986085077677423,0.12381508707279613,2.544312608226323,1.146956213035845,2.073761141045539,0.9545900498225897,0.04613450091979763,0.020998963142666145,-0.04216015100070694,0.8772413908903405
Local Model,206,"(1169, 5)",14,Chemical + CS3,BidirectionalLSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.1791647033195547,0.1900580001372688,0.9501265968641324,0.1435098060796459,0.021202264292737263,0.0034247225918673284,0.7851757035956248,0.07570235818956893,6.861857509537095,3.952822880141827,6.02838205165489,3.8599324446348575,0.14038456894730716,0.09821493089233939,-14.054173380115659,15.93060891547911
Local Model,206,"(1169, 5)",14,Chemical + CS3,BidirectionalLSTM,Out of time Split,"{""Test Size"": 0.2}",1.1325181709808627,0.1368598498441809,0.9057756932213391,0.11679596802131237,0.01998908947818117,0.0024492736222219654,0.8238513767068922,0.04285586438725975,2.410195824325737,0.28021044668556816,1.8419080209976588,0.22309672618681164,0.043395910559889415,0.005521854339811076,0.39833527021830845,0.14369973367975125
Local Model,206,"(1169, 5)",14,Chemical + CS3,BidirectionalLSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.24749011101263,0.1643243749013806,0.979660485833028,0.15465073013639186,0.022119559297424977,0.003464834558487963,0.8132850333133599,0.050268596960681665,1.6802808747278286,0.16247491429187025,1.2987916666947033,0.12783243320996088,0.029431153891663658,0.002901723566806152,0.6425985912071136,0.07741124238691922
Local Model,206,"(1169, 5)",14,Chemical + CS3,BidirectionalLSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.0249227837468962,0.13738807756067498,0.8131580523185041,0.11056796437893278,0.018223066533642567,0.002550202135193023,0.879900118528374,0.02617236815553316,2.392250018700236,0.9430344349763554,1.8262295614333381,0.659740040659718,0.04139323365875434,0.01501169346863182,0.07672872317416053,0.6741921139724056
