Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,206,"(1169, 7)",1,Chemical + CS1 + CS3 + CS7,LSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",5.4863488560557565,0.4475681254191295,4.167418762055819,0.35259531984044035,0.09264844299079686,0.00793250469330607,-3.3415543425020497,1.030054251288467,10.564191145539716,1.881835947792257,8.861423692224381,1.6484529471784528,0.19842435829571575,0.030209381466071304,-37.112831977052366,49.74933070752583
Local Model,206,"(1169, 7)",1,Chemical + CS1 + CS3 + CS7,LSTM,Out of time Split,"{""Test Size"": 0.2}",1.7318125628109675,0.14283588535261402,1.29457292761715,0.09069818758505323,0.02900826861308224,0.002066130388328458,0.59749136180902,0.06553542981824345,3.1342891742201275,0.2691548393425084,2.336593342055623,0.20287118089443215,0.05552251186221768,0.0047363337567839,0.036947789888601035,0.1603257209553289
Local Model,206,"(1169, 7)",1,Chemical + CS1 + CS3 + CS7,LSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5274087259460376,0.0416899274763029,1.1712968593841606,0.031913055100927686,0.026317885086671874,0.0007112364350061056,0.7260823417873012,0.014619347165805208,1.6137185217936196,0.10952220703362182,1.220233536263243,0.06440505957808636,0.027455494086880368,0.0016299398971399088,0.6926000727388578,0.03517860548072965
Local Model,206,"(1169, 7)",1,Chemical + CS1 + CS3 + CS7,LSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",2.8568224699978217,1.0806892722701225,2.130669682599486,0.7650297980431012,0.04788730131442012,0.017538051613304118,0.05288364915641759,0.5760461630558583,4.824595842661,2.364082399024691,3.8083327327924907,1.7734082007907115,0.08480722290942035,0.039126521011412854,-3.3962393535065605,3.8649662196787236
Local Model,206,"(1169, 7)",7,Chemical + CS1 + CS3 + CS7,LSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.7363924624422125,0.27888127093784276,1.4362987883857845,0.2629014296697121,0.0318208024316715,0.00562562994695179,0.5119496109349105,0.2724530139357092,4.398567970783656,1.962120140500679,3.637494880409373,1.6564247013428006,0.08179073409307841,0.03576227106832558,-8.298002470609028,14.408958552718573
Local Model,206,"(1169, 7)",7,Chemical + CS1 + CS3 + CS7,LSTM,Out of time Split,"{""Test Size"": 0.2}",1.3917146948260768,0.1156052831946408,1.1500600941541914,0.11358983955003135,0.025102018917802612,0.0023781109143612457,0.7377675622001383,0.04201699154393937,2.007797437778859,0.07586153575292097,1.4926039824156432,0.07523837400826264,0.03463860288866665,0.001648850477275696,0.591219820636536,0.03125506394711014
Local Model,206,"(1169, 7)",7,Chemical + CS1 + CS3 + CS7,LSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6265136968005522,0.1546761869080748,1.3162878486391112,0.15750264395359273,0.029075619090757378,0.0033299443978087946,0.6849867795561527,0.05909084829712688,1.713666139526147,0.15311132574489997,1.3663144489640715,0.14549455655860033,0.030253947852510416,0.003088058044410798,0.6481382533070649,0.06620768862389768
Local Model,206,"(1169, 7)",7,Chemical + CS1 + CS3 + CS7,LSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.3748366234289686,0.33981306059860167,1.1262455193989174,0.31569622577991907,0.02505935658108665,0.0065414985861919385,0.7632662152032528,0.15686057799493067,1.861838608251073,0.33043273274936447,1.4477231756189368,0.2614819992466013,0.0323269180760122,0.005868704435207594,0.48676666628247506,0.09208292450322998
Local Model,206,"(1169, 7)",14,Chemical + CS1 + CS3 + CS7,LSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.4764806393985208,0.22827552674580312,1.1845438622325166,0.18663758176481055,0.02622267609484724,0.004276948460953137,0.67134974170092,0.08771612269573155,4.171942591936633,1.170988098545523,3.5077368606866575,1.2298657485952544,0.07930720210442464,0.025003204316593967,-4.345319367699213,6.970646787643766
