Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,207,AT,Chemical + Physical,"(1729, 18)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7118944890811876,1.3406654959214566,0.029641220028708865,0.7511395645649038,1.895567829217613,1.4622773628014358,0.03216534188606926,0.648334309997612
Local Model,207,AT,Chemical + Physical,"(1729, 18)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6021912261247033,1.2337306526719187,0.027393876601253777,0.7759266914523404,1.6305924246465804,1.2633621127619217,0.028230475329791307,0.7692166349661985
Local Model,207,AT,Chemical + Physical,"(1729, 18)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6225782870929903,1.2446652051769815,0.027461204083928405,0.76241383673294,1.7291980509703475,1.324793148592028,0.029609854739398218,0.7705216000002613
Local Model,207,AT,Chemical + Physical,"(1729, 18)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.67098332490665,1.291262369438607,0.028407363614221942,0.7649504627653309,1.762247391963934,1.326524039913464,0.029195873909535014,0.6837399739859434
Local Model,207,AT,Chemical + Physical,"(1729, 18)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6176837085902824,1.250405868353871,0.027617555739537433,0.7657425574809403,1.8020871232753837,1.3971076080764546,0.030804477232081805,0.7437172126321341
Local Model,207,AT,Chemical + Physical,"(1729, 18)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.613892630813025,1.2462825733772325,0.0275538209703536,0.7740281491768113,1.7270275113317544,1.334281965487265,0.029562229191955877,0.7352212797678014
Local Model,207,AT,Chemical + Physical,"(1729, 18)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6412423025890925,1.2610503229126062,0.02774795608193662,0.7656874556668338,1.7892070472784427,1.3728429430482014,0.0303716979700221,0.7185942160611625
Local Model,207,AT,Chemical + Physical,"(1729, 18)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6215534678582635,1.2442146764660087,0.027522094979460364,0.7703157134641845,1.7866207200204354,1.3759620423950898,0.03025704467601826,0.7228600481759628
Local Model,207,AT,Chemical + Physical,"(1729, 18)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5798159418140607,1.2091621459607877,0.026797018016438003,0.7818081218923881,1.7754064293865461,1.3357069754187079,0.029532055028787762,0.7286333871248016
Local Model,207,AT,Chemical + Physical,"(1729, 18)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6314235513619237,1.253922743604362,0.027666140752932403,0.7676747019075807,1.7177622949408684,1.3531718820765395,0.03015275491903269,0.7436990528154533
