Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,207,AT,Chemical + Properties CS Less,"(1729, 16)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8960481999571253,1.5048705974697456,0.03336466176152563,0.6947184093528319,1.9968212646384453,1.5649775080598158,0.03444338185435876,0.6097618484977612
Local Model,207,AT,Chemical + Properties CS Less,"(1729, 16)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9110582748329725,1.498794470157471,0.03306772964577216,0.6812066236900169,1.9441221289363386,1.5406316966679738,0.0344242991012173,0.6719343591197325
Local Model,207,AT,Chemical + Properties CS Less,"(1729, 16)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9530758407991846,1.5458726696750857,0.03400049134425596,0.6557705365394815,2.040850885724927,1.6036884329911592,0.035625596921973854,0.6803498688400931
Local Model,207,AT,Chemical + Properties CS Less,"(1729, 16)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9530765975208906,1.5507644700211016,0.034197722864710976,0.6788900811308503,1.9905380129481574,1.5826332665592253,0.034902595545174615,0.5964926029235819
Local Model,207,AT,Chemical + Properties CS Less,"(1729, 16)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8375199439262797,1.4310639180199944,0.03181359488500538,0.6977472249029564,1.9351330588305864,1.5285210816756538,0.03391065971186005,0.7044781911080065
Local Model,207,AT,Chemical + Properties CS Less,"(1729, 16)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9636771562078623,1.5501670754654024,0.03411570494175609,0.6654621654227619,1.9336896993514017,1.4740514810374703,0.0323906810085744,0.6680611121811246
Local Model,207,AT,Chemical + Properties CS Less,"(1729, 16)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9173389246634323,1.4996036079941837,0.033162132095099085,0.6802224920585223,2.0705055407643513,1.586564014412764,0.03535880635196052,0.6231533894779169
Local Model,207,AT,Chemical + Properties CS Less,"(1729, 16)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8961552340432035,1.4850072247001107,0.03276227416584777,0.6859371869104532,2.1088803562575573,1.6956125160173179,0.03729395154384527,0.6138657835281265
Local Model,207,AT,Chemical + Properties CS Less,"(1729, 16)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9328064638735316,1.5213603573438481,0.03354785220888965,0.6734104116502364,2.0584805821034307,1.6352445900095673,0.03587501143877096,0.6352003721863879
Local Model,207,AT,Chemical + Properties CS Less,"(1729, 16)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.870234050165163,1.4581280223206974,0.03218674487658907,0.6946802013404396,1.9691693625179119,1.530293848894644,0.03424501922837052,0.6631859340926836
Local Model,207,AT,Chemical + Properties CS Less,"(1729, 16)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9459100570914423,1.5277534644843347,0.03354525247334687,0.6670317546555078,1.9284545352252365,1.5082902522445407,0.03353075865184311,0.6857263807179039
Local Model,207,AT,Chemical + Properties CS Less,"(1729, 16)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9232330487642193,1.5043552961370168,0.033236806329025134,0.6817141202025867,1.8952221028534868,1.5104018249952718,0.033584108362957686,0.670056302204316
Local Model,207,AT,Chemical + Properties CS Less,"(1729, 16)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9782892862551082,1.5634112878718063,0.03440510675875603,0.656675656056112,2.0232196343710775,1.5965994796311918,0.035440312402349815,0.6513986401949903
Local Model,207,AT,Chemical + Properties CS Less,"(1729, 16)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.982409834554142,1.5744382343857677,0.03467425209215451,0.6554766592185657,2.1759657420432164,1.7363853454589837,0.03801023747572906,0.5961860242392394
Local Model,207,AT,Chemical + Properties CS Less,"(1729, 16)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8369923567633741,1.4263785808761682,0.03179336982469991,0.7081671994387371,1.9641277500039966,1.5300999517026155,0.03374933032150193,0.6510744048847914
