Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,207,AT,Chemical,"(1729, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.966036606452656,1.5415642828482032,0.03444324196372615,0.6717648637135138,1.9676727600280697,1.531039794053035,0.033864734852666396,0.6210716605239426
Local Model,207,AT,Chemical,"(1729, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.950247291630185,1.5349679044122972,0.034154512103833364,0.667997927009482,2.015740388977778,1.5468168334427657,0.03471188624209077,0.6473183562214299
Local Model,207,AT,Chemical,"(1729, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.966453609483438,1.523506494107625,0.033896753439055814,0.6510387250074716,2.024112650101841,1.6149421589159607,0.036265804519492253,0.6855716500331035
Local Model,207,AT,Chemical,"(1729, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9406480644332813,1.51764474256147,0.03379182097816263,0.6829638865280085,2.027418526097821,1.5657865807373004,0.034935291655157935,0.5814017863885514
Local Model,207,AT,Chemical,"(1729, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9365244397595238,1.5073268150066694,0.0336073311546623,0.6642993836155848,2.0902982890205375,1.6428220057125507,0.03659771292842378,0.6551863878642736
Local Model,207,AT,Chemical,"(1729, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9874642308017705,1.5587944824576998,0.0347440998024106,0.6573082036561346,1.9469328578576617,1.5300806518170036,0.03412400173229821,0.6634988782741695
Local Model,207,AT,Chemical,"(1729, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9729555937208454,1.5373191383504345,0.03419663070760826,0.6614017132106178,2.063492438821849,1.56526220977444,0.03512708584741539,0.6257019340371128
Local Model,207,AT,Chemical,"(1729, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9310062088075377,1.4807612009614335,0.032984050320053464,0.674286260739219,2.111477189244056,1.7028897499505469,0.03763994178882793,0.6129142421702093
Local Model,207,AT,Chemical,"(1729, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9745711677291327,1.5522221860169039,0.03458501828897236,0.6591438148031619,1.9710241325589852,1.496807816134605,0.033202377759899204,0.6655395877720077
Local Model,207,AT,Chemical,"(1729, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9323384826264327,1.5153162280960035,0.03369716475458764,0.6740661595482303,2.0682155020694055,1.6109717197389288,0.03635903990887811,0.6284513755668562
Local Model,207,AT,Chemical,"(1729, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.94644829894411,1.5077469276781943,0.03356598474810696,0.6668475300758387,1.9998952739173554,1.592496509640794,0.03584662617437721,0.6620101750375406
Local Model,207,AT,Chemical,"(1729, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9939937054065864,1.543032469085979,0.03433911156485591,0.6578621580154782,1.9486465868892007,1.5245663901637367,0.03409200517403815,0.6511925322330634
Local Model,207,AT,Chemical,"(1729, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9481936425177768,1.5090198947543725,0.03350962161839183,0.6670421608204453,2.0591701721788263,1.6255740051291603,0.036454600154763664,0.638899996790789
Local Model,207,AT,Chemical,"(1729, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9376608503250543,1.5206774244903254,0.03389312114560878,0.6708549774040394,2.0353694421104307,1.5612943696241786,0.034530971727041324,0.6466836475645461
Local Model,207,AT,Chemical,"(1729, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9502340480049005,1.5333675126254793,0.03421646655649993,0.6710780375532648,2.0771604186714825,1.5754185394461142,0.03482719358541896,0.6097585098474763
Local Model,207,AT,Chemical,"(1729, 11)",,Random Forest,,,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.4490505084136034,1.1277731209844308,0.025216045592519668,0.5138813466903702,1.7514148975302373,1.333075742628286,0.029084116339543328,0.10459245153443109
Local Model,207,AT,Chemical,"(1729, 11)",,Random Forest,,,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.617244356029377,1.2721218715953837,0.027072467923386384,0.583517507028005,2.692643940520582,2.2125086380441528,0.04715489323644871,0.08886060545880936
Local Model,207,AT,Chemical,"(1729, 11)",,Random Forest,,,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.7760205482081985,1.4489391402359126,0.032357988606131025,0.3766751388198294,1.9770131800321504,1.595137589889421,0.035167187034023314,-0.14574636345176128
Local Model,207,AT,Chemical,"(1729, 11)",,Random Forest,,,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.4494746408153587,1.1496355060994858,0.02583759464952464,0.6948304189703532,1.5741676415213421,1.307283988400172,0.03094267131509129,0.8718584141252896
Local Model,207,AT,Chemical,"(1729, 11)",,Random Forest,,,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.4137630684557578,1.1094828150905116,0.025958745248004948,0.9020488951557013,1.7910142412194614,1.585332602069689,0.036300674508031226,0.8822027354690681
Local Model,207,AT,Chemical,"(1729, 11)",,Random Forest,,,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.4788052724798393,1.1527370003322526,0.02572630712155157,0.5040403526793302,2.747631771318327,2.1599991573622477,0.044696052108070185,-0.17574726827246168
Local Model,207,AT,Chemical,"(1729, 11)",,Random Forest,,,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.7623888198196185,1.3736299653816182,0.02990979783722081,0.5070929292743054,2.5992662024585966,2.142394545908308,0.046511192679506236,-0.15346262398641808
Local Model,207,AT,Chemical,"(1729, 11)",,Random Forest,,,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.94110678374713,1.528425978585534,0.03319974199173697,0.38768917417314797,2.1345966598068715,1.659626000475079,0.03765746200290407,-0.13993503551118947
Local Model,207,AT,Chemical,"(1729, 11)",,Random Forest,,,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.985479907222566,1.5529267282064103,0.03413036505992911,0.32912384127373295,4.04975653640707,2.8147005273007335,0.07072507282259503,-0.200899063827209
Local Model,207,AT,Chemical,"(1729, 11)",,Random Forest,,,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.9892782745265039,1.555193911811109,0.03434391273202804,0.5166233252330701,1.9803507061351675,1.5819969708637283,0.03652580852538653,0.8317378230242245
Local Model,207,AT,Chemical,"(1729, 11)",,Random Forest,,,,Median,,Out of time Split,"{""Test Size"": 0.2}",2.017516442393033,1.5831979506207354,0.034906279618569076,0.465347185927825,1.95544750738788,1.5216670099107679,0.035551105132977746,0.8260521216457238
