Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,207,AT,Chemical + Physical,"(1729, 18)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8576735918054321,1.4655635748233642,0.03305105488710215,0.7069507031771265,1.8731512241069341,1.453328358644695,0.032341969161290667,0.6566025856054917
Local Model,207,AT,Chemical + Physical,"(1729, 18)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8505574657958472,1.457069912770479,0.032752034170677305,0.7010720111387223,1.894225440104357,1.4820787176231425,0.03361200218038865,0.6885581354017676
Local Model,207,AT,Chemical + Physical,"(1729, 18)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8555885435488688,1.4541101903908509,0.03268069411109953,0.6892771518074984,1.904846547634559,1.5117120356918068,0.034242440011792656,0.7215339023834881
Local Model,207,AT,Chemical + Physical,"(1729, 18)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.863625292938949,1.475397960913845,0.033228620967236784,0.7076303010701545,1.8917602779979896,1.461947071758998,0.03286703794029699,0.6355459726752462
Local Model,207,AT,Chemical + Physical,"(1729, 18)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8318449788370235,1.4363499018498238,0.032327493077957306,0.699611286559695,2.0288082996952936,1.6134052110754926,0.03643691911159081,0.6751746630426609
Local Model,207,AT,Chemical + Physical,"(1729, 18)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8737538630646973,1.476216038326724,0.03323192860979706,0.6953998253300845,1.916663789134074,1.482098210064662,0.033457406992515884,0.673880743982152
Local Model,207,AT,Chemical + Physical,"(1729, 18)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8374759450864824,1.44017202304225,0.03240602122644106,0.7063070915928913,1.988949178159209,1.5539408446736418,0.035117606755096634,0.6522563633179281
Local Model,207,AT,Chemical + Physical,"(1729, 18)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8344348384886813,1.4374713332258267,0.0323954127697947,0.7060500996271624,1.9542809812417055,1.569013981460836,0.03498224794221656,0.6684046623508499
Local Model,207,AT,Chemical + Physical,"(1729, 18)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.889300506418051,1.4862004140107767,0.03348234257901175,0.687947491135354,1.810956899542086,1.4116021635904477,0.031630109467208394,0.7176569733239231
Local Model,207,AT,Chemical + Physical,"(1729, 18)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8114420814014627,1.4282952567745495,0.03209632347635584,0.7135743197873621,1.9789015427655081,1.5404830932617188,0.03505564718307624,0.659848450284955
Local Model,207,AT,Chemical + Physical,"(1729, 18)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8695430466387533,1.4685838606938537,0.03303123355409599,0.6926535289856095,1.958145712530058,1.5602352825892454,0.03545030134459229,0.6759745442347496
Local Model,207,AT,Chemical + Physical,"(1729, 18)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8625724621407167,1.463845628805981,0.03294044272681062,0.7014755539517445,1.8488079441182872,1.4695903910377812,0.03314958883258131,0.6860191150075092
Local Model,207,AT,Chemical + Physical,"(1729, 18)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8456162722682024,1.4410065011709217,0.03239619506187103,0.7011812656346446,1.90871696111821,1.5208979149085249,0.03437261885579506,0.6897397912621894
Local Model,207,AT,Chemical + Physical,"(1729, 18)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8229562216837798,1.4365555438457498,0.03235222998349258,0.7086706491311772,1.9919520020231447,1.5579366187828811,0.034708089810975847,0.6615963978798529
Local Model,207,AT,Chemical + Physical,"(1729, 18)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.848217965640226,1.4669157866108624,0.03305737810239359,0.7045896010225693,2.0127564988052784,1.508636032325634,0.03379900035628318,0.6335828099785974
Local Model,207,AT,Chemical + Physical,"(1729, 18)",,XGBoost,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.2410049854467315,0.9598591845968493,0.021530376220051856,0.6434484807677388,1.7770151506114964,1.3994179324827332,0.030335313503105976,0.07822498260891186
Local Model,207,AT,Chemical + Physical,"(1729, 18)",,XGBoost,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.4883899356735308,1.1713766567948936,0.024990946275805233,0.6472403431950574,2.505044627487533,2.04665618011917,0.04349222594030154,0.21139795009549378
Local Model,207,AT,Chemical + Physical,"(1729, 18)",,XGBoost,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.6083915581015609,1.2985174621360889,0.029003091953961984,0.4887868148332627,1.7787478751205357,1.5027032935101052,0.03306150721054632,0.07253368162680462
Local Model,207,AT,Chemical + Physical,"(1729, 18)",,XGBoost,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.2869490943358288,1.0596536968065342,0.02401690867020272,0.7594292980243493,2.793937255117818,1.9691742606784985,0.05027010735993694,0.5963346886457093
Local Model,207,AT,Chemical + Physical,"(1729, 18)",,XGBoost,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.3258420436705576,1.0687000302300937,0.025734325468653892,0.9138531012523184,2.2056349329144544,1.8371340433756511,0.04383351706431387,0.8213494365798428
Local Model,207,AT,Chemical + Physical,"(1729, 18)",,XGBoost,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.25908875463933,0.9768917123339168,0.021834325630415423,0.6404684127349665,2.598207979364298,2.0585015879736996,0.042717619873057826,-0.051343765526573826
Local Model,207,AT,Chemical + Physical,"(1729, 18)",,XGBoost,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.5960846848408519,1.2510074965875317,0.027337837257215475,0.5957281976534444,2.2601327857791627,1.7637722624672785,0.03812437535214699,0.12789270877169123
Local Model,207,AT,Chemical + Physical,"(1729, 18)",,XGBoost,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.7833274295612314,1.3916027179343162,0.030373256842446454,0.4831848188289811,2.089206273851104,1.617519458134969,0.036990418598683114,-0.09197097151099709
Local Model,207,AT,Chemical + Physical,"(1729, 18)",,XGBoost,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.7958876377887736,1.3948776364223086,0.030656040532275382,0.451129755362636,3.6285089142024938,2.4982366826799183,0.06303755964211145,0.03593777785459773
Local Model,207,AT,Chemical + Physical,"(1729, 18)",,XGBoost,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.855894305489378,1.4554615881110462,0.03235709009616884,0.5792723166392001,2.319241894685642,1.8644306924608018,0.04656088346540706,0.7692220116395605
Local Model,207,AT,Chemical + Physical,"(1729, 18)",,XGBoost,,,,,,Out of time Split,"{""Test Size"": 0.2}",1.8672967080434753,1.4664588315885132,0.03251559689401165,0.5420011848348041,2.7128958053168297,1.9426917809282425,0.04938141046483216,0.6651941483323315
