Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,207,"(1729, 16)",1,Chemical + Properties CS Less,BidirectionalLSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",3.13824880254675,0.28947278644726826,2.4245421533999236,0.2284502096298432,0.054127834048192575,0.006141158383304488,-0.44890062820975185,0.44480098191579404,5.279539828152715,1.773150554598417,4.244242294974949,1.5071400140115716,0.09454411112964943,0.03489449411323252,-3.038840375925564,3.6088175621229746
Local Model,207,"(1729, 16)",1,Chemical + Properties CS Less,BidirectionalLSTM,Out of time Split,"{""Test Size"": 0.2}",1.8466427500475937,0.028419794472818498,1.4486616920292823,0.027979478229921036,0.03192385711894487,0.0006243616629247486,0.5519708068727706,0.013801350313685467,2.6470877161514728,0.22012837870637536,2.094870561809209,0.18849789903773967,0.05074614152099435,0.00456115322605648,0.6790359087480194,0.05421475001102404
Local Model,207,"(1729, 16)",1,Chemical + Properties CS Less,BidirectionalLSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8291264525190016,0.03922511161369268,1.423079630613626,0.03583417738174204,0.03153258249931362,0.0007341803438779854,0.7081967793192747,0.012633925631408902,1.9630851888009666,0.07016974912353248,1.5343455260293488,0.059810713654504646,0.03410702189143651,0.0013290237482327077,0.6617281223978526,0.03215080746645357
Local Model,207,"(1729, 16)",1,Chemical + Properties CS Less,BidirectionalLSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",2.376698059527786,0.42080629423463095,1.819027300804594,0.2669232208541195,0.03973479813598971,0.005700955003560429,-0.03580942432255094,0.5523815697748078,4.149812457261805,1.4231900349150384,3.3259552121162415,1.1706675052221067,0.07342836839834695,0.022456307232514135,-2.0052290882627437,2.308381078096068
Local Model,207,"(1729, 16)",7,Chemical + Properties CS Less,BidirectionalLSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.5465452869230953,0.12926682995182442,1.2663349489527014,0.1313661525394087,0.02806378341722244,0.002847698851963225,0.6071154097156668,0.14266684380750136,5.1833874092358885,1.0845980235578456,4.108357361202024,0.9187429992432978,0.09082113649946624,0.02030967215701118,-3.558876130208183,3.6972932328501003
Local Model,207,"(1729, 16)",7,Chemical + Properties CS Less,BidirectionalLSTM,Out of time Split,"{""Test Size"": 0.2}",1.4631011952541357,0.09751650177126782,1.1602362841185778,0.09063108716021931,0.025687191566568474,0.0019198458695894721,0.7065649956600727,0.03928473376311802,3.7553259828864065,0.517713164498968,2.9697179813695147,0.42514245206709705,0.07021510096841625,0.011932084891122942,0.3548546794121341,0.16772581444166698
Local Model,207,"(1729, 16)",7,Chemical + Properties CS Less,BidirectionalLSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4317657103224248,0.1168264801928319,1.137097165956438,0.10282161214277812,0.02526974898001656,0.0022854312320782296,0.8171213650012892,0.030347270231092835,2.064440644268875,0.09315335201929276,1.6238134003453777,0.08767192173012499,0.03606555306227717,0.0019326318642469333,0.588592445289702,0.06111134061184617
Local Model,207,"(1729, 16)",7,Chemical + Properties CS Less,BidirectionalLSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.7818032060557922,0.4676060862365052,1.4429966011799207,0.4269515184829492,0.03163655191797202,0.00971189055998567,0.32986248701268434,0.5828468619155215,4.603623746999842,1.877187538067231,3.5454566025541983,1.334915675564812,0.08001028558627206,0.02990202623257922,-2.118428166717832,2.096199459419781
Local Model,207,"(1729, 16)",14,Chemical + Properties CS Less,BidirectionalLSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.3965054573030353,0.18558205935339578,1.126512091971401,0.16946052086588773,0.02509226515501712,0.0037971794257261396,0.6375469070570927,0.21147160489886813,3.8996977252944545,0.4906746179061103,3.267354056484016,0.4672619797913152,0.07179966941009096,0.01165787847628827,-1.777224648817596,1.7635359932299373
Local Model,207,"(1729, 16)",14,Chemical + Properties CS Less,BidirectionalLSTM,Out of time Split,"{""Test Size"": 0.2}",1.3704668504623172,0.06017254731986929,1.097468436710418,0.05341722953520298,0.024115634725370566,0.00107628452466495,0.7307713148801941,0.02392838660540676,4.0388254315534216,1.0781244310589733,3.1955052851077403,0.7716153649962583,0.0783257320676492,0.020161572583535,0.2328408291773162,0.4136330700272406
Local Model,207,"(1729, 16)",14,Chemical + Properties CS Less,BidirectionalLSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3998425946447064,0.08955917285773556,1.1166215741419117,0.07891959662998292,0.024678198725428938,0.0016691679850357147,0.8216814903863272,0.023987234740831587,2.2147992315134744,0.09892764648916982,1.7502916103638972,0.06972631083945238,0.03855194192380769,0.0014516039425841666,0.47831763648870407,0.06381071688191976
