Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,207,"(1729, 14)",1,Chemical + Feature Engineering,LSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",3.974025893825824,0.3234930665663593,3.0370329138161476,0.25858655400307407,0.0677134458195095,0.007595399539592767,-1.3444668967468827,0.7696175679243091,5.2776234195564085,1.3949285785890373,4.322138490538666,1.1799854043778089,0.0958403625704337,0.027703195590506942,-2.8988541886149104,2.9811178358732806
Local Model,207,"(1729, 14)",1,Chemical + Feature Engineering,LSTM,Out of time Split,"{""Test Size"": 0.2}",2.4159262198851192,0.06884583972497928,1.9210513885637794,0.048295411302979624,0.0418899487376252,0.0009663048626978486,0.23271350229620494,0.04407004370375469,2.710580845247931,0.08923868148644243,2.2010577354357648,0.08613030007683183,0.05226917117296073,0.002545866251905846,0.6654030249738773,0.022262317030915933
Local Model,207,"(1729, 14)",1,Chemical + Feature Engineering,LSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.1897380744914856,0.07658761366204342,1.7294420583231822,0.06402381103525383,0.037995415332805565,0.0012861203008185953,0.5813211617515847,0.03153342597932584,2.2419908397818653,0.06885370450262553,1.7748439361043054,0.06659654762184695,0.039033711092720164,0.0014228765794826745,0.5592390263384089,0.0330614525677628
Local Model,207,"(1729, 14)",1,Chemical + Feature Engineering,LSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",3.071788010308897,0.4924944288932847,2.351064871041097,0.30206359218421075,0.051174360449035436,0.006716599992496024,-0.7210514953227165,0.9081955311791103,4.465575366851685,1.2453393992399027,3.5466170125537446,0.9325515647610716,0.07810926743182968,0.017325852731211486,-2.381320421046449,2.294685533096295
Local Model,207,"(1729, 14)",7,Chemical + Feature Engineering,LSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",2.0077731705632806,0.3570717509058478,1.6461805375407101,0.3158620904918006,0.036357543316010266,0.006525297700259511,0.23760951493827032,0.46083720703722686,4.2773184662852435,0.6117179778711131,3.4799665586867197,0.34327696636417326,0.07712297496006833,0.007373886511263061,-1.9825541647123928,1.8766572586992232
Local Model,207,"(1729, 14)",7,Chemical + Feature Engineering,LSTM,Out of time Split,"{""Test Size"": 0.2}",1.8037022000934504,0.15166802453521264,1.4243287930704003,0.13121694600536501,0.031146123156204412,0.0026411600768974134,0.5528761867690192,0.07664307634676852,2.8113906154426176,0.6306769078213399,2.2034964852216765,0.4772656388330091,0.05185822724125778,0.011062534901314437,0.6273070629170063,0.1611982990882547
Local Model,207,"(1729, 14)",7,Chemical + Feature Engineering,LSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7303225493569339,0.11193379904346977,1.3596378211173865,0.10529553271502706,0.030187516018355263,0.0021602065284559778,0.7335509057158841,0.03581930213295969,2.0298130250652795,0.12107304843596245,1.59581062624614,0.09800858708010601,0.0353867316965512,0.002069031983508586,0.6025053107479168,0.06017941593312958
Local Model,207,"(1729, 14)",7,Chemical + Feature Engineering,LSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.871764274822719,0.16180089910620907,1.4735681880827682,0.14575702018007408,0.03200745608585486,0.003206116623305606,0.3653626219845002,0.22355042001612166,4.088330102064962,0.9747477401594058,3.152561340024889,0.6065788250018284,0.07125534960452008,0.015744395298714516,-1.2563057349161793,0.9649592962517733
Local Model,207,"(1729, 14)",14,Chemical + Feature Engineering,LSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.6412590767999822,0.14213835303510433,1.3188242627686313,0.1380128986018182,0.02932826113118227,0.0033109483149688437,0.5337728090380156,0.19727302922115741,3.2589768431307897,1.2805638125754752,2.6876607637627177,0.9799658757868785,0.05893196038484936,0.021626546185430504,-1.6276853413854504,3.2368328651049874
Local Model,207,"(1729, 14)",14,Chemical + Feature Engineering,LSTM,Out of time Split,"{""Test Size"": 0.2}",1.714651434123003,0.09115754611121424,1.359882873202127,0.07788369596258317,0.029982347381818413,0.0013322047129822442,0.5781818235882623,0.04555911546135097,3.5464028461958867,0.11152025827751726,2.939295773915178,0.0628242999866105,0.07153385458441792,0.001663837051435204,0.4473031196416466,0.03435569495147725
Local Model,207,"(1729, 14)",14,Chemical + Feature Engineering,LSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6798737605217378,0.09815409757736651,1.325454955059933,0.08375952201794584,0.029629135211504412,0.0018213199493427655,0.7434246902892147,0.03297526718288221,2.2137416671987626,0.10808586297742855,1.7502019272245284,0.09151606775437171,0.03897054557809785,0.0020372170054262224,0.4785666769138185,0.06662936497991881
Local Model,207,"(1729, 14)",14,Chemical + Feature Engineering,LSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.8662168864710336,0.08849481498162702,1.4957629972330087,0.0824033687247285,0.032339730560593256,0.001670503825814241,0.3794228513207451,0.13476785034393968,3.6098842858313227,0.41184042751472577,2.985524739335873,0.30163311467311166,0.06599347253628006,0.005270406534343468,-0.9168071431174517,0.99441666604156
