Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,207,"(1729, 12)",1,Chemical + CS3,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.4499500034938535,0.19397370368211797,1.1311119134875312,0.1538428565630414,0.025395469472443356,0.002938058463172517,0.6428518333215083,0.17705390806737645,2.0919927522426205,0.5199054958719797,1.701683320860932,0.47027973229195474,0.03809568106664602,0.008998218371883927,0.21598684743082833,0.5563701325042523
Local Model,207,"(1729, 12)",1,Chemical + CS3,Transformer,Out of time Split,"{""Test Size"": 0.2}",1.6451796510524808,0.025619000950696493,1.276336383061054,0.018037282640679653,0.0282450590021241,0.00040155819058351256,0.6443935333807106,0.011042970147998368,1.8828948813187534,0.1526153780354316,1.4913490640864435,0.0915588045778682,0.03589032145919282,0.00246365688108086,0.8376610221043018,0.026827951778343472
Local Model,207,"(1729, 12)",1,Chemical + CS3,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6076153412643663,0.0344896297618521,1.2414482124446578,0.031190710349995203,0.027773076097131224,0.000751518227485284,0.7745600097178975,0.010558159262112123,1.7766092801964677,0.06340748488927567,1.3779217441692313,0.05491431713385327,0.030902283288398683,0.0011907822979906192,0.7227805650361598,0.027526077422782447
Local Model,207,"(1729, 12)",1,Chemical + CS3,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.6441620661054168,0.10341572100554733,1.27848063733018,0.08206565591935439,0.028194235995884408,0.0016774076729187263,0.5524260787572597,0.05623039475303713,2.283370927415509,0.2612261543549424,1.7865163061353893,0.17984249743018,0.04028349552314315,0.0016426846054488661,0.21019589609235784,0.471143427633262
Local Model,207,"(1729, 12)",7,Chemical + CS3,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.469554244288982,0.17116362854804304,1.1421210039201695,0.15217420303461363,0.025840647521307363,0.003388531645213281,0.6314099026251302,0.17794349792479558,1.9891000515686557,0.37578787148442994,1.6345412861575037,0.35418784211297205,0.03616338097636415,0.006737525573580005,0.3011846091932316,0.4634406149541826
Local Model,207,"(1729, 12)",7,Chemical + CS3,Transformer,Out of time Split,"{""Test Size"": 0.2}",1.5223779879811048,0.04702816194238716,1.1968858246110443,0.03964576192841804,0.026566775777187954,0.0008922213727828119,0.68340983000382,0.019345209263824912,2.6581165789265992,0.2154858236815965,2.1083458380970526,0.12694478948794913,0.05158334382155275,0.003621186773518884,0.6807150057834651,0.051150369682298795
Local Model,207,"(1729, 12)",7,Chemical + CS3,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5381010377884246,0.08396524683573268,1.2058733697665438,0.0709608077908287,0.02709576891096938,0.0016419036816204729,0.7894308033024797,0.024883244877648963,2.0795032541551675,0.10323208706993821,1.6304319914401946,0.08719092724827578,0.036618067846923855,0.002075061549055757,0.5858469620356812,0.03024354022296373
Local Model,207,"(1729, 12)",7,Chemical + CS3,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.5228797350101746,0.07481316483383398,1.1917701196090538,0.0668045460373915,0.02629478555719557,0.0014274657655739113,0.5947298863658188,0.06380165239329562,2.660026948493147,0.5938311208716234,2.0630028314636526,0.37127136979355063,0.04743549669623512,0.011065471629878943,0.07870171746578704,0.38626035803047215
Local Model,207,"(1729, 12)",14,Chemical + CS3,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.5192027727016462,0.19089828869169345,1.194439867203126,0.16730740270580102,0.026928750917168894,0.003913725751060288,0.5905841385940663,0.19337517822799627,1.8892141861333789,0.4589649720090235,1.503233977916629,0.40649092523530245,0.03301583538930897,0.007439201315256641,0.33984973452893913,0.3915433973816555
Local Model,207,"(1729, 12)",14,Chemical + CS3,Transformer,Out of time Split,"{""Test Size"": 0.2}",1.6060167693496703,0.04945113573309593,1.2536484684262958,0.03570389407780003,0.02793028765016604,0.0007719808586998461,0.630631762879139,0.022764360641419353,2.8087679577646565,0.39831177804855306,2.256888568724923,0.33477316560355297,0.055428090571954323,0.009089797370168433,0.6466863494051834,0.1017177930363551
Local Model,207,"(1729, 12)",14,Chemical + CS3,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6122527753121292,0.048762353320820684,1.2616006669392101,0.045785905691430075,0.028364034226235586,0.0010440950297069549,0.7643932315325837,0.015437333095171125,2.118052894155155,0.09683887953127544,1.689410628490642,0.08410410335722547,0.037768190373985086,0.002030744882691927,0.5214263161053971,0.06894921858752523
Local Model,207,"(1729, 12)",14,Chemical + CS3,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.6090207450569698,0.11049799003203016,1.259754484498404,0.07770382483452093,0.027843441866509697,0.001594426763173494,0.5443165775258098,0.06964047710923307,3.3891885607207524,1.0960412188103419,2.6153089581145768,0.7666705947545464,0.05964052440640475,0.017577827609599105,-0.8623003989877215,1.409635026211342
