Company,Plant,Cross Validation,Features,Features_bkp,Model,Model_bkp,Model_bkp_2,Timesteps,RMSE_mean,MAE_mean,MAPE_mean,R2_mean,RMSE_std,MAE_std,MAPE_std,R2_std,SCPM,Dominated_Count,Classification,Dominates_Count
209,s,Blocking Time Series Split,Chemical + Mineralogical,Chemical,Trees,Random Forest,Random Forest,,1.0636631815403883,0.7872863390251095,1.9245500527900399,0.9580675764962776,0.2908675523901443,0.1516614076388551,0.37731459027677,0.0254606429445069,-4.54759621954985,0,dominant_model,14
209,s,Blocking Time Series Split,Chemical + Mineralogical,Chemical,Neural Networks,Transformer,Transformer_1.0,1.0,1.1013671414001207,0.912679913838704,2.28170167889118,0.9533251068814724,0.3102778262194313,0.2658858811504,0.6865146729978,0.0262015930089673,-4.24254853721258,1,intermediate_model,12
209,s,Blocking Time Series Split,Chemical + Mineralogical,Chemical,Trees,Decision Tree,Decision Tree,,1.1789446981832472,0.8728580867460742,2.12217994724559,0.9489143873670884,0.3126170913246888,0.1465399179700268,0.36220775523001003,0.0294575166713796,-4.2688589218107476,1,intermediate_model,11
209,s,Blocking Time Series Split,Chemical + Mineralogical,Chemical,Neural Networks,Transformer,Transformer_7.0,7.0,1.1397415355709726,0.940928665796917,2.41921373251063,0.9484458230527032,0.3928942058662969,0.2893386658702657,0.76699713245699,0.037025125131848,-4.115754564829724,2,intermediate_model,11
209,s,Blocking Time Series Split,Chemical + Mineralogical,Chemical,Linear Regression,Linear Regression,Linear Regression,,1.2921755591357171,1.0159455900097338,2.50718563173122,0.9431267485649684,0.1883860077296903,0.1650636961830417,0.38326810483658,0.0116214937081949,-3.875684878301072,4,intermediate_model,10
209,s,Blocking Time Series Split,Chemical + Mineralogical,Chemical,Trees,XGBoost,XGBoost,,1.591732224974348,1.289944661458334,3.1875768523789696,0.9119239817001664,0.2595468526895558,0.1869254038640759,0.37752496155155,0.0286467629464901,-3.0099102794997137,5,intermediate_model,9
209,s,Blocking Time Series Split,Chemical + Mineralogical,Chemical,Neural Networks,BidirectionalGRU,BidirectionalGRU_7.0,7.0,2.138159186276533,1.7338099241256733,4.23249896206852,0.8429151627470916,0.4390221248001181,0.3051252965179092,0.60693668809046,0.048942892716548,-1.5167894256667331,6,intermediate_model,8
209,s,Blocking Time Series Split,Chemical + Mineralogical,Chemical,Neural Networks,BidirectionalGRU,BidirectionalGRU_1.0,1.0,2.5048730345017387,1.8806258455912253,4.63918350567121,0.7732012593201613,0.6572172290269693,0.5241832701990696,1.31902618371567,0.1158294870849935,-0.6904862041395099,7,intermediate_model,7
209,s,Blocking Time Series Split,Chemical + Mineralogical,Chemical,Neural Networks,GRU,GRU_7.0,7.0,2.69898706217271,2.2304933706919354,5.4302689373691,0.7400419833998498,0.9520482482044308,0.8004261934600279,1.7643296867071698,0.1519886240000647,0.2202969117398649,8,intermediate_model,6
209,s,Blocking Time Series Split,Chemical + Mineralogical,Chemical,Neural Networks,GRU,GRU_1.0,1.0,3.5676865692736,2.79761810938517,6.9878948756337795,0.5299600258488911,1.174255262006976,1.0935246270313512,2.75066221120613,0.3032518595145732,2.7833383868625825,9,intermediate_model,3
209,s,Blocking Time Series Split,Chemical + Mineralogical,Chemical,Neural Networks,BidirectionalLSTM,BidirectionalLSTM_7.0,7.0,3.3910616283406867,2.8779804070790616,7.22236573939707,0.5844851914015846,0.9577523076991838,0.8730279372256662,2.10530125141438,0.1933853931428865,2.622239178065675,9,intermediate_model,3
209,s,Blocking Time Series Split,Chemical + Mineralogical,Chemical,Neural Networks,LSTM,LSTM_7.0,7.0,3.4651799421981297,2.819260358810426,6.98781483033619,0.5281852839575781,1.61186701996871,1.3420270217881625,3.2979730214996903,0.316287124008012,2.734370292640139,9,intermediate_model,3
209,s,Blocking Time Series Split,Chemical + Mineralogical,Chemical,Neural Networks,BidirectionalLSTM,BidirectionalLSTM_1.0,1.0,4.004572560210551,2.910729548136393,7.27011632739925,0.4342617372437385,0.8152966467207964,0.6311387528546348,1.59613354453682,0.2217725790538516,3.6755540023959465,12,intermediate_model,2
209,s,Blocking Time Series Split,Chemical + Mineralogical,Chemical,Neural Networks,LSTM,LSTM_1.0,1.0,4.921035133825045,3.668655681610108,9.268394105686,0.1569517677036225,0.9691314236488152,0.9426571610046752,2.34662911832036,0.2998260213772012,6.873848961869491,13,intermediate_model,1
209,s,Blocking Time Series Split,Chemical + Mineralogical,Chemical,Neural Networks,MLP,MLP,,4.956024236328627,3.854121401045056,9.80478749345793,0.1374502523573819,1.0835787932664864,0.9402234780099132,2.28626833966745,0.2999376556962376,7.357981297436228,14,non_dominant_model,0
