Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,AA,Chemical + Mineralogical + Properties CS Less,"(1511, 24)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.595752752361384,2.0287791927918697,0.04118520233059925,0.69196892437617,2.7868228902530623,2.186655655159022,0.04438106379085536,0.6688773791267337
Local Model,209,AA,Chemical + Mineralogical + Properties CS Less,"(1511, 24)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.3184644950798,1.78821030420346,0.03673939120315415,0.761620341810113,2.3765094666097264,1.8879529536165143,0.038638720130361105,0.7275696063378412
Local Model,209,AA,Chemical + Mineralogical + Properties CS Less,"(1511, 24)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.389050599036093,1.8541149451774055,0.0377484299689131,0.7431772468775826,2.352478528450947,1.8197840406405215,0.03710843161456875,0.7489734968256665
Local Model,209,AA,Chemical + Mineralogical + Properties CS Less,"(1511, 24)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.268479638057312,1.7788028846406263,0.03623662848225135,0.765568175286251,2.8654519765246937,2.166123315672212,0.04440633846940974,0.6456159110640094
Local Model,209,AA,Chemical + Mineralogical + Properties CS Less,"(1511, 24)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.323496984879307,1.799783284808113,0.03682471492613828,0.7586706108860737,2.546839539847596,2.0161266705847747,0.041344826942030705,0.6978221576997062
Local Model,209,AA,Chemical + Mineralogical + Properties CS Less,"(1511, 24)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.4983593688724928,1.9614417360318428,0.04004020432328779,0.7182111514588585,2.8888920538274223,2.274658704197446,0.0468376445569899,0.626309764285893
Local Model,209,AA,Chemical + Mineralogical + Properties CS Less,"(1511, 24)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.3914608323051563,1.8634971334679846,0.0380292790377621,0.7416084235755589,2.623671275634495,1.9744536772469046,0.039627656438716644,0.6932520578266641
Local Model,209,AA,Chemical + Mineralogical + Properties CS Less,"(1511, 24)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.3590849922744805,1.836678646772336,0.03742544234518377,0.7521081897814534,2.511329544849728,1.9547158980211687,0.03967613280580884,0.70177509222228
Local Model,209,AA,Chemical + Mineralogical + Properties CS Less,"(1511, 24)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.256695225353089,1.747000276046514,0.03586647651500145,0.7665947438445723,2.707365206383387,2.1073535413931537,0.043519624514221096,0.6906798087490279
Local Model,209,AA,Chemical + Mineralogical + Properties CS Less,"(1511, 24)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.2535804991141,1.759477108307769,0.0361677105736249,0.7734514998000985,2.5510416749746203,1.9554043119316848,0.04040971001579884,0.6942721422047289
Local Model,209,AA,Chemical + Mineralogical + Properties CS Less,"(1511, 24)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.329300468727274,1.7906299938429275,0.03659609006806022,0.7631483934671257,2.587734161439674,2.023758609381446,0.04085543525136868,0.6494881205221128
Local Model,209,AA,Chemical + Mineralogical + Properties CS Less,"(1511, 24)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.292380834498962,1.799375849898144,0.03719062974550143,0.7627030743938408,2.6434055647036154,2.019729644573289,0.041779744349076164,0.687974145368536
Local Model,209,AA,Chemical + Mineralogical + Properties CS Less,"(1511, 24)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.3331259930073083,1.8259750334658442,0.03756046835950196,0.7467541517298902,2.5549171558273938,1.9400598690209816,0.040452674251258244,0.7379699538226601
Local Model,209,AA,Chemical + Mineralogical + Properties CS Less,"(1511, 24)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.36923023083704,1.8432518712147103,0.037685139240253004,0.7499239928427484,2.4663854405108077,1.9588049452825886,0.039949790244781784,0.7129113670609065
Local Model,209,AA,Chemical + Mineralogical + Properties CS Less,"(1511, 24)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.232454578019809,1.7383148243843385,0.03550610015956539,0.7730879425309977,2.7163489722723844,2.119690742240047,0.043606080247095995,0.6804654671457875
Local Model,209,AA,Chemical + Mineralogical + Properties CS Less,"(1511, 24)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5224316883274913,1.2258781677967794,0.025281287592837466,0.8938239204636454,2.7485232472516485,2.1397392464367724,0.04418087479759996,0.6787101984809687
Local Model,209,AA,Chemical + Mineralogical + Properties CS Less,"(1511, 24)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5204756455858575,1.190495845617625,0.02436683493764677,0.8969062667200032,2.56324180470395,2.0253593691819005,0.04132354911953064,0.6919339270588605
Local Model,209,AA,Chemical + Mineralogical + Properties CS Less,"(1511, 24)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4157213356344245,1.107630510289962,0.022973180482529672,0.909452684177622,2.5336119916930238,1.9363554371346658,0.039845495536327255,0.7123440979446776
Local Model,209,AA,Chemical + Mineralogical + Properties CS Less,"(1511, 24)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7272116356552798,1.363031969674026,0.02774316125928723,0.8637436924208859,3.1052236411539575,2.3968071999309735,0.04871230846958803,0.564004979011972
Local Model,209,AA,Chemical + Mineralogical + Properties CS Less,"(1511, 24)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6165490001914,1.2717006905471224,0.0259225022993446,0.8830214475661516,2.8161510268718093,2.1836607404750037,0.04438574992135394,0.6320607277743475
Local Model,209,AA,Chemical + Mineralogical + Properties CS Less,"(1511, 24)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4681017249659505,1.1646467054212413,0.024076982541894394,0.9025484409896657,2.6909154562668296,2.0566116196280313,0.042988950555237784,0.6759318088238699
Local Model,209,AA,Chemical + Mineralogical + Properties CS Less,"(1511, 24)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.532957786516022,1.211477854925873,0.024644794072727516,0.8934846492946558,2.7585346808226383,2.197561807426619,0.043764217526492996,0.6696941616598855
Local Model,209,AA,Chemical + Mineralogical + Properties CS Less,"(1511, 24)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7897781358049636,1.4339017264450655,0.029080220392916967,0.8573575842223413,2.7904409007980906,2.1780360105226375,0.04430020871287277,0.6314333334896067
Local Model,209,AA,Chemical + Mineralogical + Properties CS Less,"(1511, 24)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.773160207891271,1.4004744878197524,0.028774747900918368,0.8550836541022545,2.648292430206889,2.0769181203499123,0.042735601305767465,0.7063820339883691
Local Model,209,AA,Chemical + Mineralogical + Properties CS Less,"(1511, 24)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7000731890475829,1.3672640501899564,0.027569238938373836,0.8707419002868735,2.464409365962945,1.9802150698874488,0.040077498790617366,0.7151323664343618
Local Model,209,AA,Chemical + Mineralogical + Properties CS Less,"(1511, 24)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.445149649711222,1.1241973090816193,0.023527986375206287,0.9086143628409824,2.5366835127490153,2.0122373710823758,0.04098670237148709,0.6549531995771394
Local Model,209,AA,Chemical + Mineralogical + Properties CS Less,"(1511, 24)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8333023475987424,1.4778332583914329,0.030039582133423916,0.8481334135710876,2.825155473538317,2.2670792257185455,0.046164478381639576,0.6531081672584926
Local Model,209,AA,Chemical + Mineralogical + Properties CS Less,"(1511, 24)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4831584135358975,1.1658162827632599,0.023636315165527784,0.8976284118458804,2.7752496476814024,2.092081201676845,0.043199616518790646,0.6932193017043362
Local Model,209,AA,Chemical + Mineralogical + Properties CS Less,"(1511, 24)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4836039981965483,1.1567043558756513,0.023457790348751915,0.9005524394681347,2.535835937124832,2.0466968673596266,0.04196042166535684,0.7050641334264969
Local Model,209,AA,Chemical + Mineralogical + Properties CS Less,"(1511, 24)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.436506018621631,1.1345442437924422,0.023267332445791343,0.9055332084501513,2.7266135354156655,2.137267802945144,0.044347298126966764,0.6786636485770688
Local Model,209,AA,Chemical + Mineralogical + Properties CS Less,"(1511, 24)",14,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3114805359223107,1.0326721864588126,0.02100134153257225,0.9213477923262594,2.9438943454943547,2.3262411778666583,0.04804646645327759,0.6435252477965672
Local Model,209,AA,Chemical + Mineralogical + Properties CS Less,"(1511, 24)",14,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3268727826401279,1.0490883025199875,0.02148342921194386,0.9218311529091431,3.0496390760960206,2.3025771545410167,0.04822819578356985,0.5570052649332232
Local Model,209,AA,Chemical + Mineralogical + Properties CS Less,"(1511, 24)",14,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.475113369433761,1.1930709858649544,0.024286727250005014,0.9018502042033454,2.797499852692158,2.2755497802734372,0.04626647884785685,0.6512144402673756
