Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,AA,Chemical + Mineralogical + Feature Engineering,"(1511, 24)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.940393083981989,2.2004797278106096,0.045541072762425014,0.6047438180425828,3.078821905881578,2.3023345545703147,0.04781517033038862,0.5958531030726132
Local Model,209,AA,Chemical + Mineralogical + Feature Engineering,"(1511, 24)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.8128867553853114,2.123212062521215,0.04384498739316199,0.6491085468340867,2.9549733151364963,2.2781965010437273,0.047149105793910046,0.5788046310908488
Local Model,209,AA,Chemical + Mineralogical + Feature Engineering,"(1511, 24)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.7369176904271617,2.1119383380433185,0.043515048164459336,0.6629407309233339,2.7067811991778292,2.052469406647566,0.04304697306669769,0.6676661777632771
Local Model,209,AA,Chemical + Mineralogical + Feature Engineering,"(1511, 24)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.7267009607538033,2.086507643432608,0.04294726785978313,0.6612948348922624,3.2088524488555774,2.4113937732815636,0.05003639299229595,0.555586297093587
Local Model,209,AA,Chemical + Mineralogical + Feature Engineering,"(1511, 24)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.696778897974277,2.051569825914949,0.04250300567356282,0.6749002245782276,2.7135465017906855,2.116587941225447,0.043359000887919455,0.6569685135106547
Local Model,209,AA,Chemical + Mineralogical + Feature Engineering,"(1511, 24)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.808913810999107,2.136923408261858,0.044184729596354375,0.6438025444809281,2.99843029786087,2.32468558172977,0.04844996334343197,0.5974340516101815
Local Model,209,AA,Chemical + Mineralogical + Feature Engineering,"(1511, 24)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.816482307067017,2.141585737609921,0.04428675911525419,0.6416017654954775,2.9065559353703367,2.216456709064016,0.04503586275636531,0.6235388304777689
Local Model,209,AA,Chemical + Mineralogical + Feature Engineering,"(1511, 24)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.8582241915331714,2.172158833659144,0.044787052925939756,0.6361121250639326,2.7063043366089,2.0489263604239576,0.04235760646854379,0.6536702751200687
Local Model,209,AA,Chemical + Mineralogical + Feature Engineering,"(1511, 24)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.8068313069244746,2.127570578178089,0.04390037171678464,0.6389249868998461,2.9661972758334243,2.26428841782699,0.04707277744672436,0.6287088079006423
Local Model,209,AA,Chemical + Mineralogical + Feature Engineering,"(1511, 24)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.9742240653227188,2.2326159891978192,0.04618191379592246,0.6053951614345523,2.9622010795898377,2.1783909172218294,0.04555876951939847,0.5877800768148537
