Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,AA,Chemical + Mineralogical + CS3 + CS7,"(1511, 22)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.5116254535104723,1.9734599146954257,0.04099278000788811,0.7116116997293874,2.4794039798136005,1.9379394986575955,0.040633971986702655,0.737901400266578
Local Model,209,AA,Chemical + Mineralogical + CS3 + CS7,"(1511, 22)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.4829224197553423,1.9713437960257498,0.040984581864350215,0.7266024655488933,2.619639345307346,1.9383495646164581,0.03987942977813264,0.6689760093474395
Local Model,209,AA,Chemical + Mineralogical + CS3 + CS7,"(1511, 22)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.487170988483206,1.945916757028449,0.040404038090643433,0.7216481655997286,2.579355971069137,2.040746884215033,0.04266490095263398,0.6982197566181405
Local Model,209,AA,Chemical + Mineralogical + CS3 + CS7,"(1511, 22)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.518277287738139,1.9507584596086016,0.040616718145882615,0.7110957741526593,2.552125774017747,2.0663772037897705,0.04289949307179112,0.7188797740710463
Local Model,209,AA,Chemical + Mineralogical + CS3 + CS7,"(1511, 22)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.501711006493561,1.955257818506359,0.04060060545825935,0.7202305651109588,2.5337338558030145,2.00903217645394,0.04169968843182701,0.7009240868335511
Local Model,209,AA,Chemical + Mineralogical + CS3 + CS7,"(1511, 22)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.4864672389553593,1.946553976885716,0.0403917337382923,0.7208873830152621,2.684979740545568,2.1063735088645137,0.044307372289791626,0.6772017677699851
Local Model,209,AA,Chemical + Mineralogical + CS3 + CS7,"(1511, 22)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.4760384727235674,1.9393339876287465,0.040344416283377725,0.7230084096263409,2.6310625065056383,2.0507109245653297,0.04241655680299295,0.6915213239149374
Local Model,209,AA,Chemical + Mineralogical + CS3 + CS7,"(1511, 22)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.506779931118769,1.9656169907042604,0.04084478919163639,0.7200970848200731,2.4983868355655674,1.97847667487529,0.041331574889169435,0.7048411111860793
Local Model,209,AA,Chemical + Mineralogical + CS3 + CS7,"(1511, 22)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.5029469006635026,1.9549114063743462,0.04067485258602142,0.7128769330415665,2.5987263014381976,2.0501618547794354,0.042789228880459156,0.7150060325699972
Local Model,209,AA,Chemical + Mineralogical + CS3 + CS7,"(1511, 22)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.5421084203528865,1.9990255323176087,0.04156103858537606,0.7117275242658245,2.322763721452905,1.814365473827755,0.036965958121043904,0.746539682322552
Local Model,209,AA,Chemical + Mineralogical + CS3 + CS7,"(1511, 22)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.500200038453879,1.9585605880720887,0.04080537772689234,0.7271180425466564,2.6291086567872948,2.038479685152977,0.041824489307084205,0.6381900603146227
Local Model,209,AA,Chemical + Mineralogical + CS3 + CS7,"(1511, 22)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.4990620205135414,1.9647504108971454,0.040897330805560794,0.7179847181096548,2.5874549764965282,1.9933907930295098,0.04114160960971048,0.7010430978759048
Local Model,209,AA,Chemical + Mineralogical + CS3 + CS7,"(1511, 22)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.515278381129114,1.9711244756163275,0.040863140548975586,0.7056676037766294,2.4766169010231076,1.9628830504642496,0.04163981402698222,0.7537846568231028
Local Model,209,AA,Chemical + Mineralogical + CS3 + CS7,"(1511, 22)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.486540426240824,1.9481413387126894,0.04046795950635669,0.7245463418673126,2.5482711708730212,2.00524251135256,0.04157355530035725,0.6935318242428327
Local Model,209,AA,Chemical + Mineralogical + CS3 + CS7,"(1511, 22)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.5327147704398443,1.977980182542798,0.0411438570253047,0.7079448444382563,2.4913492334832754,1.973626987052637,0.04121329714776312,0.7312082750287147
Local Model,209,AA,Chemical + Mineralogical + CS3 + CS7,"(1511, 22)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",2.1452499237825786,1.7160265260013872,0.035649164813922295,0.7241482668334772,2.754138471798431,2.1022810685017506,0.04141051260234423,0.3184679122708127
Local Model,209,AA,Chemical + Mineralogical + CS3 + CS7,"(1511, 22)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.9991714674816288,1.5760146888800364,0.031030073144587594,0.7297798824382065,3.101243619579551,2.604077449335377,0.055629710172104774,0.36798358522023455
Local Model,209,AA,Chemical + Mineralogical + CS3 + CS7,"(1511, 22)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",2.3055732704915806,1.8498359789675434,0.03780418152457998,0.6758126071639119,2.7757095137797285,2.275707427922529,0.04689744860507009,0.6357135804539973
Local Model,209,AA,Chemical + Mineralogical + CS3 + CS7,"(1511, 22)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",2.130492327894465,1.6615404282662325,0.03431749066597191,0.7809237066892625,1.9916376459824525,1.5252658976715692,0.03228852315175744,0.7998885532124982
