Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,AA,Chemical + Mineralogical + Feature Engineering,"(1511, 24)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.536081452390221,1.9597888441275289,0.040813026684470025,0.7059682141247721,2.739878800349689,2.0762855051374274,0.04339723918376185,0.6799389564722174
Local Model,209,AA,Chemical + Mineralogical + Feature Engineering,"(1511, 24)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.55977818108993,1.969332490704886,0.04113613381402399,0.7094151556999241,2.720460985850309,2.087567510036442,0.0436929142864149,0.6430055496312594
Local Model,209,AA,Chemical + Mineralogical + Feature Engineering,"(1511, 24)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.5741953265485957,1.9923256709222659,0.04149807749494005,0.701828729208098,2.609601244917674,1.961437819019848,0.04177853146263447,0.6911009720412933
Local Model,209,AA,Chemical + Mineralogical + Feature Engineering,"(1511, 24)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.467020858606096,1.9083714765196895,0.03966873963332491,0.7227366667054271,2.9274124784999143,2.213672112471221,0.04633125813839357,0.6301243122883187
Local Model,209,AA,Chemical + Mineralogical + Feature Engineering,"(1511, 24)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.559288733456754,1.9644108661055266,0.04100727058192661,0.7072043928231009,2.65742054118116,2.1160091804352823,0.04373645129305072,0.6710120252951091
Local Model,209,AA,Chemical + Mineralogical + Feature Engineering,"(1511, 24)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.5047063374189293,1.9356382932094551,0.0402823338936072,0.7167775892671566,2.8166024586111473,2.1612945581820133,0.04536949163862362,0.6447776937200072
Local Model,209,AA,Chemical + Mineralogical + Feature Engineering,"(1511, 24)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.549644756530481,1.947601423113675,0.040714460594082194,0.7062951249666967,2.7043096439994363,2.1337089488048453,0.04377650255563704,0.6741065359374596
Local Model,209,AA,Chemical + Mineralogical + Feature Engineering,"(1511, 24)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.5295510666533954,1.9558643344219704,0.04075239204429218,0.7149888134952161,2.6388352727543665,2.006560319306834,0.04205271267289098,0.6707232533747013
Local Model,209,AA,Chemical + Mineralogical + Feature Engineering,"(1511, 24)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.5173220308642814,1.9342299051971064,0.040395105739870846,0.7095694046463156,2.7711638349429215,2.1535236687060197,0.0453301114864011,0.6759298809427442
Local Model,209,AA,Chemical + Mineralogical + Feature Engineering,"(1511, 24)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.5160775887879883,1.9643695014089078,0.04091926305694014,0.717601036498619,2.82431677907434,2.062225799055289,0.043554183441068685,0.6252628767050803
Local Model,209,AA,Chemical + Mineralogical + Feature Engineering,"(1511, 24)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.523897164656433,1.9460076123673389,0.040619654080934806,0.7219207277625093,2.6654349865421363,2.0184385268208205,0.04151812229570493,0.6281227495041545
Local Model,209,AA,Chemical + Mineralogical + Feature Engineering,"(1511, 24)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.5080892012032456,1.924320564869517,0.040096395711873956,0.7159436315774674,2.810757965735756,2.188186984030618,0.045701526386590044,0.6472151862848199
Local Model,209,AA,Chemical + Mineralogical + Feature Engineering,"(1511, 24)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.5360491912039063,1.9408742142670206,0.04032015410851863,0.700786422715787,2.773968995759683,2.168533774874858,0.046196499052413735,0.691112272371263
Local Model,209,AA,Chemical + Mineralogical + Feature Engineering,"(1511, 24)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.5553408679237224,1.9777411871847776,0.04124590830286785,0.7090923265515101,2.6341642512713803,2.0145998064255872,0.041745688505939224,0.6725237531448104
Local Model,209,AA,Chemical + Mineralogical + Feature Engineering,"(1511, 24)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.502757198830898,1.9387009373768191,0.040375370495385865,0.714812983813512,2.8789533996539696,2.220350518131887,0.046859702140405746,0.6410648884482051
