Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,AC,Chemical + Feature Engineering,"(749, 11)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.103971436561241,0.8543607937871711,0.019839126925236945,0.8280058866873637,1.1299740823530173,0.8906840688069664,0.020584844913179166,0.8239891707854639
Local Model,209,AC,Chemical + Feature Engineering,"(749, 11)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1104100239419363,0.8696380352854535,0.02021376271582123,0.8244519315676884,1.194212273134752,0.9220225474039713,0.02120174096172056,0.8096912488474735
Local Model,209,AC,Chemical + Feature Engineering,"(749, 11)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.134633357009659,0.8702625872018143,0.0201598563748234,0.8209108957428022,1.2663425689115986,0.9849383748372399,0.022719079635435502,0.7650138763306387
Local Model,209,AC,Chemical + Feature Engineering,"(749, 11)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0898948456709692,0.8531741941830949,0.019801937219518267,0.8357652091483542,1.1092394407332744,0.8947317606608074,0.021071773589680386,0.8133889495848124
Local Model,209,AC,Chemical + Feature Engineering,"(749, 11)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2091627921042571,0.9536180157979337,0.02201176932355982,0.7930600545365285,1.3251853512284204,1.006376991015952,0.02318835526559108,0.7606733930536237
Local Model,209,AC,Chemical + Feature Engineering,"(749, 11)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1639474004627157,0.9007466163698948,0.020833233898416757,0.8085563254846269,1.2060971286158009,0.972983489990235,0.022634123745640312,0.8004607523197991
Local Model,209,AC,Chemical + Feature Engineering,"(749, 11)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1178263636431418,0.8715832939848476,0.020213822361896755,0.8296951328058754,1.160674106172744,0.908539026896159,0.02116848133393355,0.7846497143535733
Local Model,209,AC,Chemical + Feature Engineering,"(749, 11)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0864178018856243,0.859855654402846,0.02000581507179428,0.8287952761346659,1.3717537301513516,0.9977740244547522,0.022787268578058354,0.7650404621693837
Local Model,209,AC,Chemical + Feature Engineering,"(749, 11)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.082267921133757,0.8377941894531248,0.019466931117858514,0.8363533967321833,1.1311732787618818,0.8916307881673172,0.02081561201258356,0.8161674040746612
Local Model,209,AC,Chemical + Feature Engineering,"(749, 11)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1369104457182437,0.8782959866841632,0.020361065746189493,0.8188175799647994,1.034893594894704,0.811784040207832,0.01894081446379993,0.8477980206563938
Local Model,209,AC,Chemical + Feature Engineering,"(749, 11)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1069678059457835,0.8620418516741775,0.020003444950182265,0.8276730544843621,1.140501709803163,0.890606015014648,0.020577378066964237,0.817647117334486
Local Model,209,AC,Chemical + Feature Engineering,"(749, 11)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1194140744893213,0.8606658634956369,0.019944778236833913,0.8269460071463581,1.2338913861282272,0.9546716613769534,0.022183573976706075,0.7692701202325084
Local Model,209,AC,Chemical + Feature Engineering,"(749, 11)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1280192555534332,0.8766829226689677,0.020348080675801357,0.8195875027514826,1.0611423978996326,0.8663561808268219,0.02026792446127102,0.847596864394347
Local Model,209,AC,Chemical + Feature Engineering,"(749, 11)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.087388143525342,0.8341923739476271,0.019348611567615394,0.8339538468585628,1.1629527482852782,0.9076465810139983,0.021123249912810536,0.8098851662423135
Local Model,209,AC,Chemical + Feature Engineering,"(749, 11)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2244664928902658,0.9455907152811689,0.021719650569110592,0.788029015325836,1.3836152509564255,1.0215190298605292,0.02339691941207952,0.7381345668588966
Local Model,209,AC,Chemical + Feature Engineering,"(749, 11)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2797430036828394,1.0416619828856173,0.023826904383690548,0.7651936234979492,1.5135241297032862,1.2318123162311063,0.028295240466908875,0.6870649113209575
Local Model,209,AC,Chemical + Feature Engineering,"(749, 11)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.362794686311047,1.1411367680876174,0.026518552235834707,0.7343159120129281,1.5289557399928488,1.2395085597383808,0.02875057481110035,0.6494772420193267
Local Model,209,AC,Chemical + Feature Engineering,"(749, 11)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7315683779008437,1.4878397375883397,0.03527670379455991,0.5802836423259279,2.0955508392048334,1.7142261007557742,0.040595913825334694,0.30269908783383315
Local Model,209,AC,Chemical + Feature Engineering,"(749, 11)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5834112778455751,1.343366268229444,0.03080065942773895,0.6515855214780517,1.59562054838344,1.3013708860977837,0.030201268166318716,0.5627113117402223
Local Model,209,AC,Chemical + Feature Engineering,"(749, 11)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.250614409546771,1.0264487615572355,0.0238401820844224,0.7767400352359115,1.4164103857749495,1.1574736936248986,0.02669375124641292,0.7133259941286422
Local Model,209,AC,Chemical + Feature Engineering,"(749, 11)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5865158669062862,1.3749945146342963,0.03224762938116075,0.6414811444205069,1.8083058608633442,1.4829144298166475,0.034674825846161376,0.5149402774778014
Local Model,209,AC,Chemical + Feature Engineering,"(749, 11)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7011824335811678,1.5042526421879991,0.035105589549894005,0.6033175019361532,1.8535290766545243,1.6026224495708077,0.037384639352755066,0.4242509771090254
Local Model,209,AC,Chemical + Feature Engineering,"(749, 11)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.292442942638983,1.08384466739895,0.02518685336212236,0.755895381178222,1.6425176739197684,1.2832360054790106,0.029488707872333653,0.6364368265422249
Local Model,209,AC,Chemical + Feature Engineering,"(749, 11)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.532213379938027,1.324996191281476,0.030636885671444757,0.6701261334285056,1.7665240734535308,1.4263386380845222,0.032878919387057955,0.5258119928289591
Local Model,209,AC,Chemical + Feature Engineering,"(749, 11)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1294691493041935,0.9171809571454317,0.021062401335404893,0.8200029831625656,1.2170715778625432,0.9393569946289065,0.021751086260852974,0.7673721813596273
Local Model,209,AC,Chemical + Feature Engineering,"(749, 11)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.605796537844361,1.4099067584010159,0.0327344586036671,0.6344815808287749,1.6947796841275196,1.382732980700507,0.03198980050342355,0.5733493068459079
Local Model,209,AC,Chemical + Feature Engineering,"(749, 11)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5833675439169443,1.3371913638269273,0.03059351763897555,0.6513401289622667,1.7796373434718942,1.422469926917035,0.03267042352555802,0.5019027294097227
Local Model,209,AC,Chemical + Feature Engineering,"(749, 11)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5986631345241176,1.3721939523622169,0.03233474563248874,0.634990929931216,1.5703226001509285,1.3021667812181557,0.03075857745468105,0.6274413062028686
Local Model,209,AC,Chemical + Feature Engineering,"(749, 11)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5954388202900365,1.3327883674582586,0.03161306734452146,0.6401998054505299,1.78698279515725,1.4860958873361783,0.035092837011317504,0.5036817146490129
Local Model,209,AC,Chemical + Feature Engineering,"(749, 11)",7,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2881969089604248,1.0612385089381213,0.02477669754126575,0.7639027246064641,1.6312559605699564,1.3164271278102893,0.03050293311500054,0.6117443606751964
Local Model,209,AC,Chemical + Feature Engineering,"(749, 11)",14,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.855141616802808,0.6763507996138063,0.015980400097397023,0.8913503632484264,1.2299325969400485,0.9817690781624084,0.02349433083361949,0.7766662738967985
Local Model,209,AC,Chemical + Feature Engineering,"(749, 11)",14,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9492638784502406,0.7911612471069553,0.018638263534710233,0.8681319835279725,1.3456217799717758,1.094907151499101,0.025737592390489658,0.726264738499565
Local Model,209,AC,Chemical + Feature Engineering,"(749, 11)",14,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8271326682766929,0.6719800758028946,0.01583047086481196,0.902191324330355,1.097881347009415,0.8689295922556223,0.02029134509881731,0.8112664651123197
Local Model,209,AC,Chemical + Feature Engineering,"(749, 11)",14,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8884128907301453,0.7036994699741115,0.016615242252802837,0.8881645504903322,1.1533555116136924,0.9518207303939326,0.022742110511249334,0.7424117291169068
Local Model,209,AC,Chemical + Feature Engineering,"(749, 11)",14,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8467565049831318,0.6837300960527479,0.016100069475101977,0.8948539692177351,1.1018957550392747,0.8844449547248149,0.020856823552536256,0.8274308102115594
Local Model,209,AC,Chemical + Feature Engineering,"(749, 11)",14,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.869166707617652,0.7038188187364508,0.016508525690735718,0.8899435004539749,1.0739215050408675,0.884011385517734,0.020915125750061322,0.8211928477748899
Local Model,209,AC,Chemical + Feature Engineering,"(749, 11)",14,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8468823622196892,0.6897077196264348,0.01622699217237553,0.8991053323777238,1.0795786110287304,0.8575369988718341,0.02021301660831013,0.80201750049769
Local Model,209,AC,Chemical + Feature Engineering,"(749, 11)",14,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8611312941985092,0.6929478790123427,0.016413104887638412,0.887943007359701,1.1020689623747686,0.8809181053407734,0.020940729884458123,0.8299863434620051
Local Model,209,AC,Chemical + Feature Engineering,"(749, 11)",14,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8516036084524209,0.6884687299212445,0.016248316892600565,0.8949583010410513,1.0891933520344668,0.9060233023858835,0.021391510729440476,0.8171155132262167
Local Model,209,AC,Chemical + Feature Engineering,"(749, 11)",14,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8569231258037516,0.6993126332884461,0.016331542272668434,0.8942150974659631,1.0932515525575186,0.8805565438619481,0.020740762071969534,0.8080068414563866
Local Model,209,AC,Chemical + Feature Engineering,"(749, 11)",14,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9849965557897187,0.8156180949319306,0.019356736783574847,0.8583991771328279,1.4597866159231416,1.1923647566764586,0.028131205282813588,0.6701894878927627
Local Model,209,AC,Chemical + Feature Engineering,"(749, 11)",14,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.987596570921418,0.8143765493129977,0.01929130069543045,0.8587696165435758,1.1650645529064638,0.9489605688279675,0.02262824341234627,0.7695621615017204
Local Model,209,AC,Chemical + Feature Engineering,"(749, 11)",14,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9425137755724762,0.7527208343559122,0.017421949056130075,0.870993817929629,1.2011563976518984,0.9908030602239796,0.02328480658215877,0.7841873196205724
Local Model,209,AC,Chemical + Feature Engineering,"(749, 11)",14,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1758514391133046,0.968559794267851,0.023140868902163582,0.7996396886685337,1.2848212686571139,1.0660877596947453,0.025473468806855037,0.7304628199209136
Local Model,209,AC,Chemical + Feature Engineering,"(749, 11)",14,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8979403652276463,0.7323446059808496,0.017238518647484154,0.8824907493603165,1.1870781768147958,0.9817939634245596,0.023346154119699224,0.7977692954868972
Local Model,209,AC,Chemical + Feature Engineering,"(749, 11)",1,BidirectionalGRU,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",3.1644182872617526,2.576087631097361,0.06252431728793363,-5.134335224362014,3.887936720028765,3.3110352071126297,0.07989196483157585,-19.297570675200618
Local Model,209,AC,Chemical + Feature Engineering,"(749, 11)",1,BidirectionalGRU,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",2.2536490461108927,1.8304390120305936,0.045020255692768574,-4.495203885886302,20.914072804552884,11.873937606811523,0.27506481725485216,-166.9459534918364
