Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,AC,Chemical + Properties CS Less,"(749, 14)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2743237791637145,0.9803523323173714,0.022653080742898204,0.7708301483502851,1.3260375693857416,1.0224861063639328,0.023727961774603915,0.7576103444266193
Local Model,209,AC,Chemical + Properties CS Less,"(749, 14)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4423077465222542,1.100583710582905,0.02536677687622843,0.7038271938366167,1.9046808504645456,1.3645027669270833,0.030936228724579753,0.5158943739423253
Local Model,209,AC,Chemical + Properties CS Less,"(749, 14)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4923414377325792,1.135932948346528,0.026118437621351943,0.6901906887809712,1.6639702107383314,1.1928387552897133,0.02723034654535579,0.5942758127849387
Local Model,209,AC,Chemical + Properties CS Less,"(749, 14)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.432131523048273,1.1138737745078062,0.025607415834554552,0.716429027395478,1.4815834923026725,1.1894282379150376,0.027637977517129222,0.6670806699083004
Local Model,209,AC,Chemical + Properties CS Less,"(749, 14)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.70259593959666,1.2804075032552082,0.02941591353908567,0.5897033534036914,1.7865307743469787,1.3518672354269339,0.031139782167977623,0.565030571490204
Local Model,209,AC,Chemical + Properties CS Less,"(749, 14)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3505145545900537,1.028177792353304,0.02372462405655736,0.7422653258760399,1.403942374156793,1.1232809651692692,0.026098954573230485,0.7296276175987831
Local Model,209,AC,Chemical + Properties CS Less,"(749, 14)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2610355685915484,0.9816760162200676,0.02268990938944498,0.7832630105797231,1.3137351625327351,1.0498027191162118,0.02435712576732654,0.7241071097543348
Local Model,209,AC,Chemical + Properties CS Less,"(749, 14)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.40087189861256,1.0882243466894692,0.02513308867964206,0.7153449821554543,1.9476746874261672,1.4368160115559894,0.032606490212179505,0.5263324645912583
Local Model,209,AC,Chemical + Properties CS Less,"(749, 14)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3847460671445586,1.0708429347374206,0.02470365710821518,0.73209692153692,1.3980595478667606,1.1069927215576165,0.025560863424757222,0.7191880503679884
Local Model,209,AC,Chemical + Properties CS Less,"(749, 14)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4849374635427512,1.1439661832173664,0.026409732506622926,0.690913617833192,1.4695992361581596,1.0980201362763486,0.025419440106452685,0.6930789061049536
Local Model,209,AC,Chemical + Properties CS Less,"(749, 14)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3913129543553937,1.0695870655804922,0.02460684694402422,0.7277719533037346,1.651024599963097,1.2056589029947915,0.02752843899725021,0.6178553004716449
Local Model,209,AC,Chemical + Properties CS Less,"(749, 14)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.51641182699849,1.1669710564971565,0.026953961725782873,0.6824336890254235,1.5698061599254187,1.2082891387939443,0.027974756026613902,0.6265417714943847
Local Model,209,AC,Chemical + Properties CS Less,"(749, 14)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2430420419427906,0.972646131308529,0.02252690845501227,0.7809187417206145,1.1985805092365147,0.9647913258870424,0.022481550558382333,0.8055620692840466
Local Model,209,AC,Chemical + Properties CS Less,"(749, 14)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5109417585091938,1.1428697033915574,0.026198797228548506,0.6794062287849476,1.662603673510535,1.167751190185548,0.026724385076901457,0.6114299377694159
Local Model,209,AC,Chemical + Properties CS Less,"(749, 14)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6827084621535235,1.251683765920003,0.028768303431733196,0.5996863821559782,2.0631479002271065,1.4848758364683836,0.03387865563999177,0.41775171507215403
Local Model,209,AC,Chemical + Properties CS Less,"(749, 14)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6647243260254745,1.4653900991306597,0.03430766053276788,0.6026721472340164,2.0366737085021356,1.7204537344669955,0.040749709695992044,0.4333453223692897
Local Model,209,AC,Chemical + Properties CS Less,"(749, 14)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4093621866662807,1.102382045661368,0.025233535324050513,0.7158485266718808,1.6753845091511823,1.2896252286606922,0.029607462222175012,0.5791228151472343
Local Model,209,AC,Chemical + Properties CS Less,"(749, 14)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7711942395999893,1.5869247883629354,0.037526946048234554,0.5608539452885966,1.890527457467566,1.6081816797671102,0.037833451501924256,0.4324687123573896
Local Model,209,AC,Chemical + Properties CS Less,"(749, 14)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6786904246131977,1.4256808622447963,0.03299581899739639,0.6083934450927545,1.908424667254297,1.558318876183551,0.036523961685129405,0.3744542973624636
Local Model,209,AC,Chemical + Properties CS Less,"(749, 14)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0195942607197752,0.814116047709977,0.019151825578139454,0.8516051737647742,1.167630307818501,0.8932564171561368,0.020788235457370487,0.8051857016457731
Local Model,209,AC,Chemical + Properties CS Less,"(749, 14)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2340962248471736,1.0278915137529783,0.02400546860389963,0.7830692042877436,1.5007192652170687,1.2595580888831095,0.029777790722257856,0.665920097890399
Local Model,209,AC,Chemical + Properties CS Less,"(749, 14)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3124775223539713,1.1203224031360635,0.026583447550245654,0.7638842219092034,1.5793742148102698,1.2974809176679973,0.030754745110485576,0.5819728494958908
Local Model,209,AC,Chemical + Properties CS Less,"(749, 14)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3125376428621676,1.0968046471045005,0.025649888555043483,0.7482457717656638,1.6673231906231667,1.3877380448493408,0.032150379984562154,0.6253727499290224
Local Model,209,AC,Chemical + Properties CS Less,"(749, 14)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5800251435529384,1.4058452747871362,0.03355468479663295,0.6492179140685754,1.9564152155804229,1.684073003133138,0.039660813306701924,0.4183877982364508
Local Model,209,AC,Chemical + Properties CS Less,"(749, 14)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.913415693270817,0.7157329772118803,0.016684094284313528,0.8822791201703899,1.256152180525798,0.9865029606505918,0.02296055187885514,0.7521928000934868
Local Model,209,AC,Chemical + Properties CS Less,"(749, 14)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6146444815131575,1.377660463453355,0.03210058471592681,0.630442468501567,1.9501940409459573,1.6452861973859259,0.0383304531410826,0.4350609347628587
