Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,AC,Chemical + CS1 + CS3,"(749, 12)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.208277995240286,1.70053444736589,0.03965055326444545,0.3118146884263955,2.212313707207601,1.6717190216064464,0.03933479106335572,0.3253230941778257
Local Model,209,AC,Chemical + CS1 + CS3,"(749, 12)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.1073668781001538,1.6226561870797849,0.03762124817362732,0.3677197624485049,2.318775320118771,1.7844038238525404,0.041116622035391535,0.28251465044357515
Local Model,209,AC,Chemical + CS1 + CS3,"(749, 12)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.3361138415492473,1.7355496434894746,0.04012920551853609,0.24081769832325217,2.784374542232417,1.9894285837809251,0.045733183961805965,-0.1360438982673995
Local Model,209,AC,Chemical + CS1 + CS3,"(749, 12)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.2329320910162718,1.6495888961257044,0.0378982326753037,0.3106385476291522,2.306760238348134,1.6948135884602848,0.03938663298369946,0.19296631020032684
Local Model,209,AC,Chemical + CS1 + CS3,"(749, 12)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.2352975393506087,1.7777794108072924,0.041721351382971186,0.29279477474805515,2.395259313666947,1.8004731248689185,0.04191641683117418,0.21811513643015457
Local Model,209,AC,Chemical + CS1 + CS3,"(749, 12)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8250118796573036,1.4242615543422796,0.033033531014809346,0.5293417197954562,1.921395078652259,1.5332123413085925,0.03585451222249863,0.4935960187093762
Local Model,209,AC,Chemical + CS1 + CS3,"(749, 12)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7243338562329875,1.3142038878375581,0.03042373043118493,0.594751818667723,1.8125375852704992,1.4485080464680986,0.03359321645790205,0.4748312173368825
Local Model,209,AC,Chemical + CS1 + CS3,"(749, 12)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.1496667767511255,1.650724839606946,0.03836444392496506,0.3297076144644324,2.8154189257279825,2.081489600626627,0.04771583631143621,0.010246990497964292
Local Model,209,AC,Chemical + CS1 + CS3,"(749, 12)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.489451045648452,1.8500786405891332,0.04274487642819704,0.13414612642659407,2.65683146366421,1.8728955078125007,0.043120485839132326,-0.014126792685552614
Local Model,209,AC,Chemical + CS1 + CS3,"(749, 12)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8424221099023819,1.443453604888916,0.03376977697714047,0.5241809602683316,1.7485168703366305,1.3495956932938342,0.03177010872254284,0.5655212342508091
Local Model,209,AC,Chemical + CS1 + CS3,"(749, 12)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.040655928562142,1.5679591056301523,0.0363560622243517,0.41437072317224877,2.1741756593487542,1.6657527496337892,0.0383014269501371,0.33731062058309536
Local Model,209,AC,Chemical + CS1 + CS3,"(749, 12)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.3005178876925467,1.710767158928618,0.039405950903936934,0.2691111660495601,2.3611557839941772,1.821963551839192,0.04217225574655076,0.15511177276979649
Local Model,209,AC,Chemical + CS1 + CS3,"(749, 12)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9697852941077032,1.543978327271935,0.03580358056175157,0.4498623434067509,2.178229138095168,1.7129827880859356,0.03987353215717189,0.3578245557512192
Local Model,209,AC,Chemical + CS1 + CS3,"(749, 12)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.855996580304119,1.444128434017226,0.03350456869722963,0.5162578000552642,1.8151349375357348,1.423406041463217,0.033048300321084606,0.536862765907071
Local Model,209,AC,Chemical + CS1 + CS3,"(749, 12)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.2581967531736393,1.7409307411193848,0.04029860130050673,0.27904831045288225,2.7389542629975403,2.019555059855418,0.04653099356527582,-0.0261646597152827
Local Model,209,AC,Chemical + CS1 + CS3,"(749, 12)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",9.846166186929894,8.122313049059956,0.19679341260992234,-58.39010010739127,12.156032710943062,10.370811030069985,0.2511671755404244,-197.42180998517844
Local Model,209,AC,Chemical + CS1 + CS3,"(749, 12)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",7.750715961376697,6.260179824829103,0.15365466449104953,-63.9972350888081,46.395564911051544,18.76186513264974,0.42153854160125825,-825.5045474641367
Local Model,209,AC,Chemical + CS1 + CS3,"(749, 12)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",6.493989495943935,5.062615973208132,0.11398180606906827,-3.92950051977454,10.205122552856619,8.380575052897136,0.18635058950567282,-7.8356246759054855
Local Model,209,AC,Chemical + CS1 + CS3,"(749, 12)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",7.417823578787725,5.693826367674756,0.12975131790726974,-6.7063995875225055,5.047824490044562,4.095026842753092,0.09387415835568177,-2.9048296609081232
Local Model,209,AC,Chemical + CS1 + CS3,"(749, 12)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",4.665017907114247,3.514934100623892,0.08086347976501781,-2.389697903527991,6.973536685403456,5.482356643676766,0.12771940591546518,-6.437631962059278
Local Model,209,AC,Chemical + CS1 + CS3,"(749, 12)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",7.86999628711652,6.416450724882239,0.15529332006820504,-36.942748654625916,11.087952103450766,9.49639726003011,0.22945049949128166,-164.0852870773239
Local Model,209,AC,Chemical + CS1 + CS3,"(749, 12)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",7.353720654647496,6.021928012110606,0.1478286597651384,-57.509379972338145,47.03753949234518,20.080733680725096,0.45379177544985605,-848.5354482775048
Local Model,209,AC,Chemical + CS1 + CS3,"(749, 12)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",6.3713062466040045,4.925231016784156,0.1109574860100597,-3.745005436364913,10.081030160723804,8.258022168477376,0.1840672470092293,-7.622052015542764
Local Model,209,AC,Chemical + CS1 + CS3,"(749, 12)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",7.344672258729071,5.622840551167975,0.12810085795345483,-6.555154777888234,4.948052440806436,3.941313273111979,0.0905425633540961,-2.7519944594657577
Local Model,209,AC,Chemical + CS1 + CS3,"(749, 12)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",4.643112841747268,3.5749258858816946,0.08243774753585469,-2.357939300337495,7.4427298767387695,6.185387357076018,0.14456492162451562,-7.47213795204831
Local Model,209,AC,Chemical + CS1 + CS3,"(749, 12)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",8.27589122863053,6.702762062008641,0.16234605063642865,-40.957468968348444,10.871442878859867,9.374480832417804,0.22652059466551616,-157.70114620138983
Local Model,209,AC,Chemical + CS1 + CS3,"(749, 12)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",8.266107396242232,6.992418293031325,0.17172117274986057,-72.92874371607635,44.92358159137164,21.437564595540366,0.4881356398136553,-773.8917919661438
Local Model,209,AC,Chemical + CS1 + CS3,"(749, 12)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",6.260580101588195,4.851970432185326,0.10928981778367876,-3.581512820447859,10.363703503876154,8.557931874593098,0.19137695360750742,-8.112357919781815
Local Model,209,AC,Chemical + CS1 + CS3,"(749, 12)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",7.435303507625459,5.668977721398617,0.12949926157786573,-6.742762284014942,4.8970584630959175,3.9180676523844395,0.08995241681341694,-2.675057839359326
Local Model,209,AC,Chemical + CS1 + CS3,"(749, 12)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",4.728718349263107,3.552530949055647,0.08148508589608446,-2.482902037137266,7.407322365788684,6.046298599243173,0.1403276410560079,-7.391720208305436
Local Model,209,AC,Chemical + CS1 + CS3,"(749, 12)",,MLP,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",8.522125484920805,6.8649227408475655,0.16639147410439867,-44.671131688735706,13.369472642986919,9.936879540105016,0.24280758849257406,-182.80524662808568
Local Model,209,AC,Chemical + CS1 + CS3,"(749, 12)",,MLP,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",3.8873011007451774,3.2528832163452632,0.07917420749193146,-10.059653840099793,56.30152859521481,38.7212441044469,0.8405866066659599,-368.03282482686615
Local Model,209,AC,Chemical + CS1 + CS3,"(749, 12)",,MLP,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.9978169098218186,1.4912112098916457,0.035387024815607994,0.18640173237298008,2.911044990781227,2.2571363449096675,0.05183790195483857,-0.02472932247359405
