Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,AC,Chemical + CS3 + CS7,"(749, 12)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7592971218492564,0.6089368445338481,0.014372090585132653,0.9186380373065206,0.9745668654501115,0.7856492317664704,0.018459809623768104,0.8690740579752363
Local Model,209,AC,Chemical + CS3 + CS7,"(749, 12)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.768179625464728,0.6136882940586529,0.01447020533053803,0.9159853782809435,0.8505878557926777,0.6688177560888068,0.015607097161934362,0.9034540512734814
Local Model,209,AC,Chemical + CS3 + CS7,"(749, 12)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7487234231256721,0.5961945706549717,0.014069924722270984,0.9220168256284806,0.994550640840976,0.7950665045085069,0.01860289802606807,0.855058214183998
Local Model,209,AC,Chemical + CS3 + CS7,"(749, 12)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7356731119676237,0.5921902149904626,0.013909622400428182,0.9251717254509908,0.9901114839684121,0.7878139393332881,0.018666866618777145,0.85131918034108
Local Model,209,AC,Chemical + CS3 + CS7,"(749, 12)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7346415976876662,0.5904772903997352,0.013909565205122121,0.9236118816343935,0.9428588867264517,0.7348636872471961,0.017280631588767942,0.8788478492824429
Local Model,209,AC,Chemical + CS3 + CS7,"(749, 12)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7586531825454652,0.609515728309165,0.01438072557857927,0.9186681071084415,0.9022137267109741,0.730879073752262,0.017209230550881215,0.888343856365498
Local Model,209,AC,Chemical + CS3 + CS7,"(749, 12)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7289513494780666,0.5889635235161524,0.013856273138237937,0.9275771765093721,0.9773152115347569,0.7671701803868761,0.018036297664046175,0.8473157719931403
Local Model,209,AC,Chemical + CS3 + CS7,"(749, 12)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7483124486907978,0.5991464133842181,0.0141501324603069,0.9187753334543484,1.0794460770678795,0.8768735724007236,0.020495756404056778,0.8545068038945456
Local Model,209,AC,Chemical + CS3 + CS7,"(749, 12)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7463270435123609,0.5886254538075266,0.013852188814944379,0.9221791838997289,0.9410518685659052,0.7733731797592343,0.018197891536641368,0.8727694607456862
Local Model,209,AC,Chemical + CS3 + CS7,"(749, 12)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7542152770420772,0.6105415219484835,0.014385972969313638,0.9202640463475201,0.9050498124253171,0.7182934488845185,0.016863862687495394,0.8835944016177598
Local Model,209,AC,Chemical + CS3 + CS7,"(749, 12)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7574729057276638,0.6185608708749216,0.0145863904841447,0.9193104273296873,0.9433203504533039,0.7360771136051188,0.01719705922947036,0.8752504007785926
Local Model,209,AC,Chemical + CS3 + CS7,"(749, 12)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7669353882328457,0.6076050054769415,0.014280027163304447,0.9187697755310066,0.9624452676902852,0.7868637010612497,0.018500928812326102,0.8596210279681699
Local Model,209,AC,Chemical + CS3 + CS7,"(749, 12)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7751511124299818,0.6106109812058437,0.01438998765762876,0.9148065235155427,0.8649297426312454,0.7084272667123829,0.016614206875351287,0.8987469226511912
