Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,209,"(749, 11)",1,Chemical + Feature Engineering,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.952343707758967,0.7080419767245241,1.7319499053527665,0.6932587095294264,0.03972708693724082,0.015077427092923076,0.07787975886014133,0.13816079302299952,2.1198769876350543,0.7395094526511018,1.8293706902398001,0.7377341319801134,0.041934045493689856,0.016505637650625522,-0.015038281258378531,0.3108664259544262
Local Model,209,"(749, 11)",1,Chemical + Feature Engineering,Transformer,Out of time Split,"{""Test Size"": 0.2}",1.09330106009514,0.01714182062122095,0.903740226053568,0.018625214284922472,0.021375419448241225,0.0004875241790665779,0.8324292864720464,0.005280556747903471,1.0672825943265984,0.05265135632018839,0.8360983395046659,0.06384578606086169,0.019119721978869634,0.0014775319330366994,0.8259588999582012,0.01705951127365286
Local Model,209,"(749, 11)",1,Chemical + Feature Engineering,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.040829638169296,0.022178768537972404,0.8377336312431175,0.025084033953813045,0.019645542247501323,0.0006056683046872912,0.8477760347054607,0.006000090112151667,1.078819029753379,0.04470131356127757,0.8655778577397494,0.040948089579319065,0.020289490973978367,0.000944382677986755,0.8353327670186635,0.017100079080935197
Local Model,209,"(749, 11)",1,Chemical + Feature Engineering,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.1956039302795327,0.13170528381122346,0.9842362696583369,0.09860769713985107,0.023796785332713986,0.002666618105426322,0.4313781791488121,0.4465256151107574,1.7847992569696853,0.8618363748232264,1.4320182161228632,0.6344352247293987,0.03293260492144345,0.013631056402239355,0.07236232197859058,0.9234681279392936
Local Model,209,"(749, 11)",7,Chemical + Feature Engineering,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.9495274218986824,0.6828897672906359,1.71812169091455,0.6897395774076799,0.039322854588343135,0.015013384880835834,0.055579220290161775,0.1896381318960833,2.744077349039634,0.7235144452864517,2.373227199675545,0.5814193647789901,0.0548075507237051,0.013392603462054313,-5.213583601852689,7.951829256874099
Local Model,209,"(749, 11)",7,Chemical + Feature Engineering,Transformer,Out of time Split,"{""Test Size"": 0.2}",1.0093905847848423,0.0638461783633263,0.825542954764943,0.05265451727348704,0.0195482074678785,0.0013279685847798863,0.8557165469357525,0.017824088212898534,1.2089572757406397,0.09548251846301281,1.0280920738183355,0.07935658792917868,0.023724357990255827,0.0017385631713524282,0.781371247743145,0.0352072257316439
Local Model,209,"(749, 11)",7,Chemical + Feature Engineering,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9801494853688424,0.05596134636195519,0.8010148234827195,0.049279353894590795,0.018856267463173284,0.0011949360029641421,0.8636803410689022,0.015144978434453909,1.1479699622719957,0.07710863097710949,0.943750837698319,0.07060446123654643,0.0222602367554301,0.0017078527343937781,0.7988884334625479,0.03164219757090758
Local Model,209,"(749, 11)",7,Chemical + Feature Engineering,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.1053689484905551,0.10943137505700437,0.9197171921261417,0.10821554812860464,0.022045181781562697,0.0027074211320127334,0.48326256220685193,0.4136659634143774,1.848611143740857,1.0229468332173448,1.4790860497456968,0.7270013630868051,0.033644520947272646,0.015395010694287828,0.26585724207749156,0.5407557564949816
Local Model,209,"(749, 11)",14,Chemical + Feature Engineering,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",4.088014004205155,2.408871249033303,3.6250086312077627,2.219948793292515,0.08075934498977497,0.04812677196083244,-2.5813204760297586,2.038536789101559,6.701670915051508,6.053154013836598,6.251730441433597,5.7832313989444515,0.14078967044703736,0.13774591208947265,-171.10017529490415,510.63352514342665
Local Model,209,"(749, 11)",14,Chemical + Feature Engineering,Transformer,Out of time Split,"{""Test Size"": 0.2}",1.036472911640147,0.02343268357878699,0.8517158216262294,0.020234467412670775,0.020176662619520048,0.00046802799567411004,0.8447315913498038,0.006961425524807834,1.19891562792091,0.12136247347200582,1.0170084819998797,0.11878730055468445,0.023544975144397656,0.002770435535376354,0.7817613072399149,0.04264788483857189
Local Model,209,"(749, 11)",14,Chemical + Feature Engineering,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9947978248062092,0.04409978295757994,0.8133336366719471,0.03926803798665497,0.019160256360199055,0.0009948075935610307,0.8559326293317541,0.013198543259645014,1.1354656479206189,0.07358145515001523,0.9284947346239536,0.06466597448229858,0.022050635265641796,0.0015906743621776002,0.7969813548671145,0.032194539648460675
Local Model,209,"(749, 11)",14,Chemical + Feature Engineering,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.1299543371468963,0.09697155969797995,0.9429671869744691,0.09067506230874879,0.022612064480108586,0.002157281547350706,0.45633297290397057,0.41217436023704007,2.100958870069552,1.1281857364801673,1.674826278829601,0.858974294745997,0.038176828113889526,0.01844938155031534,-0.30624313205949477,1.7353699205883757
