Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,AG,Chemical + Properties CS Less,"(286, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.9920677860646827,3.1993595424451327,0.08644452542482689,-12.077372792487246,6.11221515456131,3.9979987637750103,0.10796140593863186,-23.981123548761744
Local Model,209,AG,Chemical + Properties CS Less,"(286, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.877562300623661,3.040624485265743,0.08220373359738777,-9.894782707231233,3.491272968922306,2.9058131167763146,0.07836090812487581,-13.065410930683468
Local Model,209,AG,Chemical + Properties CS Less,"(286, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.9819772755242173,3.1059688168321657,0.08388163878571722,-11.350540631916024,4.7924780123331985,3.7640967118112694,0.10246597723225992,-18.214289014881402
Local Model,209,AG,Chemical + Properties CS Less,"(286, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.3853809805713184,2.608885586001471,0.07038920181667001,-8.14705828376198,3.2779828826885127,2.6084628188819194,0.07061217660802536,-6.8641967305875236
Local Model,209,AG,Chemical + Properties CS Less,"(286, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.8876261897220994,2.9894260589732897,0.08084768255187588,-11.10597727469724,4.5935350473532734,3.510333780656785,0.09404692193682775,-14.482886496489005
Local Model,209,AG,Chemical + Properties CS Less,"(286, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.668718988493708,2.813758942118865,0.07613677377752737,-10.267860202748523,3.4277747106126766,2.679825322381382,0.07187287955723125,-6.769227355269922
Local Model,209,AG,Chemical + Properties CS Less,"(286, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.6746857304158658,2.892193948337607,0.07805417089125036,-9.373835765080004,5.16718436182624,4.00414998907792,0.10842559598359984,-22.360951131684622
Local Model,209,AG,Chemical + Properties CS Less,"(286, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.723277544342993,2.9398019948901055,0.07938502247626535,-9.598534201218259,5.126911459681759,3.688723078945233,0.09999122475518075,-22.225256645468978
Local Model,209,AG,Chemical + Properties CS Less,"(286, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.7663188911031287,2.867481831379856,0.0775423611394851,-9.850066391183942,3.809298611494115,2.943384003220947,0.07888355687099093,-11.983868399727129
Local Model,209,AG,Chemical + Properties CS Less,"(286, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.708009957758176,2.8099565047884623,0.07571616714368265,-9.851650800463299,5.022497718985502,3.431665721692542,0.09369118636529565,-18.431174623086918
Local Model,209,AG,Chemical + Properties CS Less,"(286, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.765189754666595,2.862849603619497,0.07734481224866317,-10.78780822202796,3.5848839080492594,2.870603462745397,0.07738146783411273,-7.192720925647992
Local Model,209,AG,Chemical + Properties CS Less,"(286, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.643375350288622,2.961476263521022,0.0799220946916013,-9.266558221296611,5.869291976915171,3.9631832022416,0.10782341643310897,-27.422266715691457
Local Model,209,AG,Chemical + Properties CS Less,"(286, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.6370266455792226,2.840258069434022,0.07668918435473979,-9.034779118703973,4.4810434273466635,3.5075752525998887,0.09442069292298809,-18.134841355333258
Local Model,209,AG,Chemical + Properties CS Less,"(286, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.360531308292093,2.652021324790723,0.0716539244458081,-7.579576550359366,3.92197219693595,3.182759000543967,0.08597006614582775,-12.677650936670252
Local Model,209,AG,Chemical + Properties CS Less,"(286, 15)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.6053289175232317,2.7549088657162613,0.07446702160325501,-9.353288005665275,5.368841104287847,3.7065370793928243,0.10045347812370614,-20.221444970441226
Local Model,209,AG,Chemical + Properties CS Less,"(286, 15)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",14.007006191879787,12.671006541781955,0.33555346372225237,-180.52706558404407,19.752892322744366,19.26112969716392,0.5210375462766748,-531.7149959503113
Local Model,209,AG,Chemical + Properties CS Less,"(286, 15)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",10.702149585071053,9.152073881361222,0.2443138841389685,-87.6535776889436,11.009769094865957,10.264043172200521,0.28065814565776875,-123.50932311299005
Local Model,209,AG,Chemical + Properties CS Less,"(286, 15)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",14.181977140933462,12.924270206027563,0.35996058988993895,-352.0434429428349,21.59722335451235,20.432594736417133,0.5420449510015212,-681.0412032064917
Local Model,209,AG,Chemical + Properties CS Less,"(286, 15)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",8.778382906156668,7.466283882988819,0.19976059577503263,-249.0504223674246,10.486926477415984,9.152938842773443,0.24005465734705733,-776.8232329132422
Local Model,209,AG,Chemical + Properties CS Less,"(286, 15)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",8.373101022278215,5.980987675984708,0.16622014847060412,-54.87843597464484,13.433956283917306,12.588351885477698,0.34387519789615567,-170.2430048828319
Local Model,209,AG,Chemical + Properties CS Less,"(286, 15)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",9.725719436760674,8.258726628621424,0.2189637365512836,-86.51736234848651,17.049830790950836,16.193440437316912,0.43798331814626906,-395.89321651037045
Local Model,209,AG,Chemical + Properties CS Less,"(286, 15)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",10.38435357393362,8.924346690707742,0.23784942828374733,-82.46668527518291,10.139306253146657,9.37919235229493,0.25545850988213914,-104.59951717757974
