Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,AI,Chemical,"(1581, 10)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.778141121094898,1.3122546081301527,0.03388923646778766,0.5762204216386746,4.6292917534956395,1.6482379116094434,0.04347759675606382,-1.8142542108464244
Local Model,209,AI,Chemical,"(1581, 10)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8006207375482033,1.3351033065253086,0.034272596226451804,0.566488515107165,2.454016773025977,1.6001462658749332,0.0406878836997155,0.19641525018822648
Local Model,209,AI,Chemical,"(1581, 10)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8613938830487895,1.3853138253434363,0.035662286743790225,0.5427710630202236,1.6795692319021684,1.248647220225274,0.03185355925327753,0.6106300425905105
Local Model,209,AI,Chemical,"(1581, 10)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7656140206874817,1.313470403799426,0.03381967377239692,0.5876199679025214,1.9785964589634268,1.4244511797458315,0.03663137323893602,0.4643548144237458
Local Model,209,AI,Chemical,"(1581, 10)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.818448483860353,1.3538081356847704,0.034803428353080396,0.5571242147273013,1.8647746448440805,1.3933551051948632,0.03628955122502292,0.5477040669654551
Local Model,209,AI,Chemical,"(1581, 10)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7837726628705497,1.3200061496300026,0.034231848556119514,0.5737905801421221,2.843073113074653,1.535411264317267,0.03928945735679161,-0.051997493356190194
Local Model,209,AI,Chemical,"(1581, 10)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7654398279406565,1.3324620948761343,0.034171812780846716,0.5673161083006427,2.023048059792942,1.4165601464766473,0.03697182231334793,0.5302156822197562
Local Model,209,AI,Chemical,"(1581, 10)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8597271061803535,1.376260000537977,0.03525438991366852,0.5459742647225514,2.066229144697307,1.4067526431023325,0.03629965962724899,0.39743242835386605
Local Model,209,AI,Chemical,"(1581, 10)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.83678342547059,1.3615430990226653,0.03508200638143968,0.560441269520211,1.6760319023792951,1.2669113110892374,0.03261445652192482,0.5893846036942363
Local Model,209,AI,Chemical,"(1581, 10)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8275672506073455,1.3448894217268752,0.034606511481213506,0.5599840952086386,2.5398825247766244,1.5235877037048333,0.0389788087826011,0.09987326411471364
Local Model,209,AI,Chemical,"(1581, 10)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.795360544988176,1.326392141173157,0.034274480425512115,0.5754791981343965,1.9105674626848703,1.3352553334521937,0.034373040576883035,0.4908935675531353
