Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,AI,Chemical + CS3,"(1581, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6748452631784159,1.250877661564119,0.03245895032684782,0.62402674517943,1.7767796039907122,1.275608192153298,0.03339229660528425,0.585426688751284
Local Model,209,AI,Chemical + CS3,"(1581, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6478734870920222,1.2282715627954872,0.03190529854585582,0.6369187305521875,1.9753244770570855,1.3586413415790828,0.034948540107914254,0.479340828123925
Local Model,209,AI,Chemical + CS3,"(1581, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6995482773850927,1.2720807629507878,0.03307658095083022,0.6188252232091263,1.5105391930674232,1.147516397284369,0.02960251024069116,0.6850579750038484
Local Model,209,AI,Chemical + CS3,"(1581, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6341657946897212,1.2253028692490082,0.0318362833831569,0.6467368622588466,1.7806282194087726,1.3350159482765975,0.034454542806123194,0.5661803152808064
Local Model,209,AI,Chemical + CS3,"(1581, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.639796800607618,1.240295581436862,0.03212928749869065,0.6398694198783482,1.755455015137414,1.280017950502437,0.03368897601954106,0.5991800022007356
Local Model,209,AI,Chemical + CS3,"(1581, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6633299730607203,1.2522502736403678,0.03258719303306752,0.629403884056384,1.9699781621206247,1.3147880675960517,0.033770933097935135,0.4949184875364965
Local Model,209,AI,Chemical + CS3,"(1581, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6088237607464762,1.217062949664751,0.03148334451210315,0.6406796361208575,1.8647344979505986,1.3531724298120515,0.035628991280066254,0.600864712007788
Local Model,209,AI,Chemical + CS3,"(1581, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6664335008488167,1.2469492616361442,0.03232642951272172,0.6354492435270429,1.725258749867008,1.2510360261632296,0.03268057950073251,0.5798955646691951
Local Model,209,AI,Chemical + CS3,"(1581, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6871007408911218,1.253030073882874,0.03256638422595817,0.6291630170642364,1.5666397863049262,1.228866721284821,0.03191858715173467,0.6412359062570396
Local Model,209,AI,Chemical + CS3,"(1581, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.665351095161629,1.2468367849613426,0.032404623521284544,0.634629689188636,1.8676066372023739,1.2618465947880249,0.032552285359209863,0.5133158318859049
