Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,AI,Chemical + CS3 + CS7,"(1581, 12)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4983560572598535,1.1112189884427224,0.02860525105507877,0.6990893012066937,4.784650661426912,1.3717669465940447,0.03604481340136638,-2.0063164187346563
Local Model,209,AI,Chemical + CS3 + CS7,"(1581, 12)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4517857323510042,1.090112101739574,0.02806736329551715,0.7181869109189376,2.8240859231681164,1.3650531297997575,0.03496202902483222,-0.06422252000961959
Local Model,209,AI,Chemical + CS3 + CS7,"(1581, 12)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5478601474836857,1.1658883305123673,0.02995502362802938,0.6838300571969222,1.4753303172777645,1.0984472214421144,0.028075415002754435,0.6995687163794065
Local Model,209,AI,Chemical + CS3 + CS7,"(1581, 12)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4482700744572004,1.0975744927447766,0.02821222420933609,0.7225369191275459,1.69392228305883,1.2332890341553533,0.03157914129140646,0.6074005264118829
Local Model,209,AI,Chemical + CS3 + CS7,"(1581, 12)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4740971141429675,1.1108424627733793,0.02861131958885857,0.7089737769215907,1.6296804230114976,1.1917565925211828,0.031140709338669584,0.6545582153624246
Local Model,209,AI,Chemical + CS3 + CS7,"(1581, 12)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4573795564955678,1.099568878246259,0.0284327675695198,0.7154953411186784,2.8823436509828078,1.3177329066423962,0.033674531854349106,-0.08126007267281388
Local Model,209,AI,Chemical + CS3 + CS7,"(1581, 12)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4820271040405018,1.144093301946466,0.02948458328509961,0.6950861301145499,1.8216277205710583,1.351911958863463,0.03549956927459385,0.6191049154559063
Local Model,209,AI,Chemical + CS3 + CS7,"(1581, 12)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5240984922585314,1.1463559994301777,0.029375182707535558,0.6950644241284608,3.2950318161611554,1.3238846380499338,0.03452715776300799,-0.5323854305831115
Local Model,209,AI,Chemical + CS3 + CS7,"(1581, 12)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5179836399444884,1.1302476724617094,0.02913952860114762,0.6997830636586237,1.3849156719482716,1.0426594046097757,0.02685160532325021,0.7196391762646428
Local Model,209,AI,Chemical + CS3 + CS7,"(1581, 12)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4799736730334336,1.1132845028963956,0.02871864380653717,0.7114443246840505,1.950238262053047,1.2210788521585594,0.03127623349385084,0.46929675049235997
Local Model,209,AI,Chemical + CS3 + CS7,"(1581, 12)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5174131072421375,1.1356787729866893,0.029348037628392058,0.6967482718768387,1.5319625850775305,1.130229641887292,0.029166361851723693,0.672674268586015
Local Model,209,AI,Chemical + CS3 + CS7,"(1581, 12)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4798534778364654,1.1305944567895219,0.02905697469121762,0.7088147432140757,3.427486982552554,1.4295266169535954,0.03721546443327299,-0.5747881516775337
Local Model,209,AI,Chemical + CS3 + CS7,"(1581, 12)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4808775330652104,1.1202332526044878,0.028838871752536813,0.7005406427704114,2.658814667813383,1.3069095303740677,0.03402027257311616,0.14398412360421786
Local Model,209,AI,Chemical + CS3 + CS7,"(1581, 12)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.472021810894364,1.1103614050220585,0.028738143315868565,0.7152747581920689,1.6368569327505391,1.2385936724988729,0.03195540565780344,0.621875219132539
Local Model,209,AI,Chemical + CS3 + CS7,"(1581, 12)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5223308480297773,1.1458861734744588,0.02931331881765155,0.6911435585397793,1.4751043912440354,1.0954594551762449,0.02812265389408352,0.7093667577429528
Local Model,209,AI,Chemical + CS3 + CS7,"(1581, 12)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5913447099151428,1.2261088593239582,0.030989949484668728,0.6601954962083019,1.799528676358731,1.34330736625952,0.034617745213417,0.5632065803123001
Local Model,209,AI,Chemical + CS3 + CS7,"(1581, 12)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.247159478420306,0.9560380551751936,0.02481966683952154,0.7915408440124578,1.8164104167114534,1.2038649168590572,0.031274313882857105,0.5463269496697905
Local Model,209,AI,Chemical + CS3 + CS7,"(1581, 12)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2666979050305325,0.9791343765442334,0.02527910293225238,0.7883129991083382,1.4986417513756973,1.1079170470269712,0.02867856660024172,0.6782437855228177
Local Model,209,AI,Chemical + CS3 + CS7,"(1581, 12)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2435296618767853,0.9623793347319689,0.025031064082867052,0.7953865695601752,1.5968124441429647,1.1877943935010287,0.0307951454359766,0.6416217122729698
Local Model,209,AI,Chemical + CS3 + CS7,"(1581, 12)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2415503717033138,0.9465352499685766,0.024218288886496315,0.7928307241592991,1.66186395723576,1.1707912867501287,0.030808596479349252,0.6440444479928267
Local Model,209,AI,Chemical + CS3 + CS7,"(1581, 12)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6735596607299594,1.31971635099016,0.03329315664676739,0.6247873992599111,2.0896607879387292,1.6085003167091811,0.04053420538150168,0.4194962959373125
Local Model,209,AI,Chemical + CS3 + CS7,"(1581, 12)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2071154409157896,0.9243880087600863,0.0236942313908221,0.79807055795772,1.7375607257969647,1.2190638804595733,0.03206091331127561,0.6499156740158045
Local Model,209,AI,Chemical + CS3 + CS7,"(1581, 12)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2434551188956267,0.9663043189641468,0.024918595148274283,0.7966203499998357,1.9958141162265923,1.3422510223900703,0.03535894704843709,0.4239201696977203
Local Model,209,AI,Chemical + CS3 + CS7,"(1581, 12)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2989508803340284,0.9777799194874347,0.025152114413644202,0.7798457682500394,1.362850626456701,1.0420187086066932,0.026948618364795392,0.7171000468806237
Local Model,209,AI,Chemical + CS3 + CS7,"(1581, 12)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.263230215313914,0.9859678826718307,0.025422393870429116,0.7892049952307569,4.427915428914185,1.7748537089200638,0.04571322105315203,-1.7316130699234038
Local Model,209,AI,Chemical + CS3 + CS7,"(1581, 12)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3706246867058764,1.044900582192606,0.02643910189194301,0.7517820815837833,2.0455976881553686,1.3082900771329224,0.0333763619276795,0.41151522455016487
Local Model,209,AI,Chemical + CS3 + CS7,"(1581, 12)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2436147202950893,0.9681960303972691,0.025030318003192335,0.7944614547294581,5.395217750587807,1.8747668823139767,0.04877264806066327,-2.9443764380347033
Local Model,209,AI,Chemical + CS3 + CS7,"(1581, 12)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.230618175560915,0.9539726290974316,0.02471057240404548,0.7928158615136527,2.2725045728460533,1.3657569910855873,0.03655859138969296,0.36427764802693574
Local Model,209,AI,Chemical + CS3 + CS7,"(1581, 12)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1734650961684865,0.8945003833786043,0.023095784641768678,0.8186625076319252,1.5836628339198324,1.1901902717231925,0.030753388442341486,0.6409457480175615
Local Model,209,AI,Chemical + CS3 + CS7,"(1581, 12)",7,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2953219096180872,0.9922596231688476,0.025637386594100683,0.7762138349268368,1.4977391848287438,1.1150224442449985,0.029229788774933957,0.6878012165152881
