Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,AI,Chemical + CS3,"(1581, 11)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3774387015073761,1.0582095659231838,0.027358253168705566,0.7456966181731963,1.4859463799792352,1.1569895506657248,0.03029597144259342,0.7100383940084333
Local Model,209,AI,Chemical + CS3,"(1581, 11)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2985922736468785,0.9874067678941579,0.025502493045776634,0.7745232628053786,1.6024975082540163,1.1635123083863066,0.02999080061670072,0.6573337289769037
Local Model,209,AI,Chemical + CS3,"(1581, 11)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4096764030846864,1.0842294643236245,0.028112476213838226,0.7377617709190132,1.4180820529925964,1.1089034853102286,0.028776081914232365,0.7224320354370335
Local Model,209,AI,Chemical + CS3,"(1581, 11)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3161084294422964,1.011181741948184,0.02624511107657825,0.7708660553541978,1.6445939244739822,1.2294574604758763,0.03182341155321863,0.6299332092709254
Local Model,209,AI,Chemical + CS3,"(1581, 11)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3241858950438736,1.0055394328724252,0.025845054987213643,0.7651568774513131,1.6698084141752523,1.2283315236055399,0.03217157131663982,0.6373369898348266
Local Model,209,AI,Chemical + CS3,"(1581, 11)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3625222992609156,1.047796712344206,0.02721396435323586,0.7513254883406144,1.5591271767867838,1.204670945176567,0.030926614982370447,0.6836253105198274
Local Model,209,AI,Chemical + CS3,"(1581, 11)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.324720415868906,1.0207445698010593,0.026416029390821476,0.7563797714515992,1.6944914597133336,1.2505684888815563,0.03309194425328591,0.6704169383996975
Local Model,209,AI,Chemical + CS3,"(1581, 11)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3642532100300035,1.038456274643246,0.02692333987568521,0.7556726993700673,1.4498932928597739,1.0824219220801243,0.028402096456990784,0.7032977286066973
Local Model,209,AI,Chemical + CS3,"(1581, 11)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3933658556409327,1.0773909922362308,0.02806249011156557,0.7470519505961275,1.41354526876746,1.1092017716999316,0.028917703779198087,0.7079278750996334
Local Model,209,AI,Chemical + CS3,"(1581, 11)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3614086276234754,1.0490713956327773,0.027433579874430254,0.7558264385697055,1.5262036716338367,1.1447836501688895,0.029703998525542723,0.6749865082557562
Local Model,209,AI,Chemical + CS3,"(1581, 11)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3871563189225349,1.0682214220867878,0.027854705611337613,0.746576764519177,1.5049936726522615,1.1549615769732255,0.030173166958670165,0.6840974164717704
Local Model,209,AI,Chemical + CS3,"(1581, 11)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.366877325064863,1.051484944038239,0.027315365180493056,0.7515774442817912,1.6111969223519957,1.185296726226809,0.03112172911938506,0.6520092037125628
Local Model,209,AI,Chemical + CS3,"(1581, 11)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3670676525918386,1.0533755502210775,0.027394385238921685,0.7448006206788542,1.539761548970415,1.1768393552755987,0.030839852395137653,0.7129135942945916
Local Model,209,AI,Chemical + CS3,"(1581, 11)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3230591279567836,1.0200198059685142,0.02645957368519719,0.7699850907606961,1.612496965965774,1.2099567183965363,0.03131199763017188,0.6330460995370795
Local Model,209,AI,Chemical + CS3,"(1581, 11)",1,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4145082759575531,1.0771410439231173,0.02806476031456633,0.7333451095154794,1.6140778087093022,1.2525025065941153,0.03272808916862874,0.6520244672974448
Local Model,209,AI,Chemical + CS3,"(1581, 11)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.320056518398412,1.070360146364852,0.027840354031026467,0.7661778480294221,1.9442886330792624,1.5369878252214395,0.040777014124483806,0.4901058634128359
Local Model,209,AI,Chemical + CS3,"(1581, 11)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2280761123300712,0.9723716925504017,0.025182318151937964,0.797871497086535,1.7664886430563378,1.314354661007054,0.034370439877268864,0.5709215400475183
Local Model,209,AI,Chemical + CS3,"(1581, 11)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2313171344818015,0.9770044450675751,0.025296746440149218,0.7999733178233688,1.6367369278819737,1.2506375370409664,0.032605640842829214,0.6162140686770687
Local Model,209,AI,Chemical + CS3,"(1581, 11)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2080355346510028,0.9638837100031284,0.024919617805161734,0.8069004519148106,1.8188564162366954,1.3727530933866583,0.035707102603966055,0.5350238190791381
Local Model,209,AI,Chemical + CS3,"(1581, 11)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2406676321152814,0.9691738104189309,0.02500183061598235,0.79312521323195,1.7064579025845303,1.3539712201828915,0.03569154963769202,0.6246849400588238
Local Model,209,AI,Chemical + CS3,"(1581, 11)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2236090473722325,0.9618581655511502,0.024923461447077404,0.7994233490534765,1.8560969432331178,1.4498736977975892,0.03765175893046963,0.5420113455530664
Local Model,209,AI,Chemical + CS3,"(1581, 11)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2986268894760729,1.0468644531421307,0.027180672289327874,0.7662934862181874,2.003509516844259,1.5461318508890645,0.04112825080825732,0.5345473544773489
Local Model,209,AI,Chemical + CS3,"(1581, 11)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2412660673847316,0.9864404416791703,0.025556324314446537,0.7973358026731499,1.9520582482921345,1.4491249660517547,0.038227057531841885,0.4489030148517691
Local Model,209,AI,Chemical + CS3,"(1581, 11)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.230104848505816,0.9631146324665524,0.02491691062312298,0.8025642284791155,1.6964369370530343,1.3256014420682163,0.0346545311595552,0.5616592977604457
Local Model,209,AI,Chemical + CS3,"(1581, 11)",7,Transformer,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3076354816586846,1.042593855502228,0.027001057831921815,0.7741247232657907,1.6507903387474498,1.26818234616478,0.033195952271753724,0.6203316594443755
