Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,AI,Chemical + CS3,"(1581, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5642814452471658,1.1910286541226556,0.03087857514687185,0.6720275520499529,1.6058563247803117,1.256338448028082,0.032903495062282996,0.6613527189983021
Local Model,209,AI,Chemical + CS3,"(1581, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5352224848799183,1.1687645371629325,0.030322122046382904,0.684863463652293,1.779108378780541,1.324070386041567,0.03410665103586521,0.5776413017012821
Local Model,209,AI,Chemical + CS3,"(1581, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.596332515485338,1.219190315276738,0.03165937198382121,0.6637178131638566,1.4858939711010952,1.1477067355868191,0.029649185350849632,0.6952510201651023
Local Model,209,AI,Chemical + CS3,"(1581, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5393805355552592,1.1668254019997333,0.030283718962993155,0.6865284927439425,1.667129854162582,1.274268600608732,0.03296045631684149,0.6197216435646367
Local Model,209,AI,Chemical + CS3,"(1581, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5512545869279564,1.1920817110566757,0.030898303457909615,0.6777105505914685,1.6770016448220662,1.2361854492863522,0.032386441470386156,0.6342056873458
Local Model,209,AI,Chemical + CS3,"(1581, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5697496421616324,1.1961967244932925,0.03107654745276896,0.6699309359148922,1.6060906697326316,1.2117170147339247,0.030931473432674036,0.664278799961888
Local Model,209,AI,Chemical + CS3,"(1581, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5146543190114905,1.1674726566118687,0.030205634118153052,0.681512829512922,1.8588253373864536,1.3778975209103348,0.03623067004661822,0.6033903450052022
Local Model,209,AI,Chemical + CS3,"(1581, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.56067814078831,1.185566734645678,0.030744572574449732,0.6802513471751666,1.565963150560688,1.1925491538228874,0.03117903522499601,0.653891818209691
Local Model,209,AI,Chemical + CS3,"(1581, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5673846041515396,1.183995478332279,0.03074191372682822,0.6799247010008092,1.5457338428759329,1.2222936388812504,0.03181644592486121,0.6507470373015046
Local Model,209,AI,Chemical + CS3,"(1581, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5625813867551364,1.18470624509065,0.030783542198816297,0.6783326848442219,1.6099809414501058,1.1896219893346867,0.030633366758622965,0.638325515229329
Local Model,209,AI,Chemical + CS3,"(1581, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.565941091474913,1.1861173460755168,0.030760464368135235,0.6770416905032239,1.5759548130723926,1.2268910621618991,0.03197037186957708,0.6536052099274308
Local Model,209,AI,Chemical + CS3,"(1581, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5703759467017173,1.1996587414044166,0.03108265449815416,0.6721016612747175,1.663573740034165,1.235210258145878,0.03217204255764474,0.6290164752987158
Local Model,209,AI,Chemical + CS3,"(1581, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5637185161143008,1.1972898629531563,0.031043648431048777,0.666099740313344,1.6905690808443754,1.2443894470794272,0.03238526556056466,0.6539239611508874
Local Model,209,AI,Chemical + CS3,"(1581, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5517958817711948,1.187971341280127,0.03085759699581791,0.683578000562649,1.6864458029690046,1.262034183212473,0.032528583852537755,0.5986174628653695
Local Model,209,AI,Chemical + CS3,"(1581, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5755370235883916,1.2034368878390949,0.03121632476066164,0.6691769251859067,1.6305096644350043,1.2700397563886057,0.03298599366458707,0.6449033871244447
Local Model,209,AI,Chemical + CS3,"(1581, 11)",,XGBoost,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.1118137373542945,0.8987119402204223,0.02269108117704168,0.8844770792212351,1.1935636955504711,0.9100858330726562,0.023140938248777818,0.8440126134691813
Local Model,209,AI,Chemical + CS3,"(1581, 11)",,XGBoost,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.1797493081208583,0.9411558877854095,0.023873908029497876,0.8169604174694796,1.1592048172410778,0.9669412851333644,0.025767270993737636,0.7262222868653087
Local Model,209,AI,Chemical + CS3,"(1581, 11)",,XGBoost,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.1392155925414782,0.9111762606908398,0.023206628560619696,0.782419715490514,1.7414014125846617,1.3615903377532954,0.033438205450293995,0.527809179096649
Local Model,209,AI,Chemical + CS3,"(1581, 11)",,XGBoost,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.3181874337362804,1.0200230386522093,0.027756162762130766,0.7469344508899687,2.634307657777528,2.0671294093132,0.054966771960744974,0.11449005193156314
Local Model,209,AI,Chemical + CS3,"(1581, 11)",,XGBoost,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.9528954743292202,0.7532930767725412,0.01946533538359025,0.7615745977450536,1.0764984728520726,0.8933879733085638,0.024225977308668607,0.629324639889143
Local Model,209,AI,Chemical + CS3,"(1581, 11)",,XGBoost,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.1035314686017164,0.8880384316121709,0.02240622100488262,0.8842580212052069,1.4899669059624447,1.2274275456997807,0.03140398848239685,0.7101018509992993
Local Model,209,AI,Chemical + CS3,"(1581, 11)",,XGBoost,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.2114650142116725,0.9684276789933823,0.024506852893704065,0.8391247457791229,1.3256036076626123,1.0702833922643624,0.02740248080657848,0.7244284939929676
Local Model,209,AI,Chemical + CS3,"(1581, 11)",,XGBoost,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.247141747076948,0.9949906301016751,0.02525406170940904,0.8114112247134052,1.5853122057229272,1.243172541861298,0.03204187840934879,0.5885662492334075
Local Model,209,AI,Chemical + CS3,"(1581, 11)",,XGBoost,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.337469921503303,1.0579429973584207,0.026957257574688274,0.7687711102152737,2.786442620055204,2.0736991447187663,0.05836439020746117,0.087992227060805
Local Model,209,AI,Chemical + CS3,"(1581, 11)",,XGBoost,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.613887140676206,1.2240738991721447,0.0318032658133038,0.6824410599139262,1.3579555535390677,1.1251190765728984,0.029632965287583586,0.46159456506809826
Local Model,209,AI,Chemical + CS3,"(1581, 11)",,XGBoost,,,,,,Out of time Split,"{""Test Size"": 0.2}",1.6044649555434294,1.2272033160245865,0.03191568616376368,0.6922568609754164,1.4319468193474232,1.1631701135484969,0.03038154082538869,0.4673676668094593
