Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,209,"(1581, 14)",1,Chemical + Physical,GRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",2.114152185016101,0.3756039740818774,1.6137503675430536,0.2542198448608245,0.04167951645122349,0.006890912567817646,0.1894874607626604,0.6069767102995924,2.9715201933736592,1.1153209147848877,2.299244610071183,0.8979997932101317,0.06012494192978205,0.024437609241458245,-1.0574084873144218,1.9942589837219358
Local Model,209,"(1581, 14)",1,Chemical + Physical,GRU,Out of time Split,"{""Test Size"": 0.2}",1.5160875709943804,0.019196584591609427,1.1446782950107552,0.018226693882928455,0.02951402736014892,0.00035616448902243064,0.7251814113210041,0.0069581631354426795,1.8871411701140104,0.28874074486461626,1.1488163661254853,0.07615225767279708,0.030047296665760472,0.0020501343799084523,0.05325652765330324,0.29658017436397144
Local Model,209,"(1581, 14)",1,Chemical + Physical,GRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4797842335832845,0.02382618605912518,1.1161074699436466,0.020852326590684603,0.02876596702993805,0.0005337498406121347,0.7082969726465883,0.009508650510944214,2.054871265916863,0.9338890454869747,1.2345094615054972,0.10688867235198246,0.03196637795770006,0.0029236558680262176,0.3236649813254401,0.781497145262437
Local Model,209,"(1581, 14)",1,Chemical + Physical,GRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.5187470965214493,0.29623215632970057,1.1644507024038275,0.23219006480879045,0.02935586551381443,0.00596841564264067,0.7329271566720524,0.08112997309872857,3.642927480179869,3.3109807982538753,1.9412216076288842,1.0797313498731407,0.0502663199476752,0.02715623829068939,-2.298595301776745,5.15957159229047
Local Model,209,"(1581, 14)",7,Chemical + Physical,GRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.669687132176649,0.31554494028529045,1.3429679466312783,0.2560520838374973,0.0341904397129549,0.006178448556660874,0.5353813323513524,0.22437679361138768,5.635020167882507,4.5842468858766425,3.489019042305323,1.8793294144023085,0.09010938417907306,0.050266529701609275,-13.537072297316302,24.039458069489978
Local Model,209,"(1581, 14)",7,Chemical + Physical,GRU,Out of time Split,"{""Test Size"": 0.2}",1.408309451100079,0.09956888922084385,1.0928046302530061,0.09217860835417331,0.02788243176426371,0.002200749707001898,0.7617481725751967,0.03422706046588095,1.695941005680104,0.4295239675218206,1.1689847595316927,0.18479081793718752,0.03074324810902121,0.004951698495627492,0.1273684317854338,0.44103518555320537
Local Model,209,"(1581, 14)",7,Chemical + Physical,GRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4111329613687957,0.22643685783555254,1.1043213797349336,0.20244393179790293,0.028523112617574273,0.004843468408914464,0.7277379080773552,0.09616406872999728,3.5376000604596998,3.2583905272145155,1.727218901706919,0.7477371219350004,0.04469276415207062,0.018772631098026186,-2.1898074496131033,5.908964037607819
Local Model,209,"(1581, 14)",7,Chemical + Physical,GRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.326301507031306,0.12269858313828524,1.0568723212520792,0.10306507935717163,0.02686420382265454,0.0028890951811758898,0.7935621709938603,0.053144800715468385,7.9108872164760395,10.183546898104472,2.9084949876434947,2.2728646892392783,0.07493599768931994,0.05743781070232554,-21.87635968885594,42.489640551790934
Local Model,209,"(1581, 14)",14,Chemical + Physical,GRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.5143000528991932,0.31717898208411976,1.2690282468840546,0.3052370172937704,0.03322199153658567,0.007885129466932926,0.5935729214497265,0.29098741260382477,3.068024419494387,1.0852293084494868,2.2678138000488315,0.5077434125053513,0.05794987729649573,0.014662517478449261,-2.594790937823476,2.549237151384782
Local Model,209,"(1581, 14)",14,Chemical + Physical,GRU,Out of time Split,"{""Test Size"": 0.2}",1.4419637254685085,0.17231443757977197,1.143110440831605,0.15563956953524105,0.029161498393999192,0.0038671585468479912,0.747823089917349,0.06006334038593912,2.1899554637074865,0.9353039284293563,1.3013014818552888,0.15807161928549177,0.034528057939157836,0.00461930411160444,-0.6663548692222648,1.3846380105402791
Local Model,209,"(1581, 14)",14,Chemical + Physical,GRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2590417503397446,0.06289907412785091,0.9722049767707992,0.048865996772597446,0.02496526200036585,0.0011209921813703147,0.7870160517189598,0.021175474464313896,5.816089515868259,8.558612045641027,2.40963365994027,2.3497146205172443,0.062249924292383095,0.059541569811198757,-14.227349398807688,42.45462181058687
Local Model,209,"(1581, 14)",14,Chemical + Physical,GRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.4470511433439506,0.30788843692830564,1.151369362592504,0.2581415373869597,0.02873423135002304,0.006406983023792592,0.7470021551278038,0.11120213201261422,7.930863261601418,10.597454840110325,3.354538609300341,3.267437601631743,0.08658351305327446,0.08307704401935008,-23.921473990516272,47.245065794696416
