Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,209,"(1581, 13)",1,Chemical + Feature Engineering,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.2799277439982926,0.06715151437947449,1.0343449952867287,0.05608002231338981,0.0268695899569739,0.001881190120719353,0.7412576219275923,0.07400551904195929,1.8477789514327596,0.7464481891718034,1.4466057682037345,0.5118474671404207,0.03779618387620325,0.014003143054936112,0.3926406236082011,0.4025969447457201
Local Model,209,"(1581, 13)",1,Chemical + Feature Engineering,Transformer,Out of time Split,"{""Test Size"": 0.2}",1.448891617453552,0.040233027382288115,1.1063789331460292,0.031194650726441477,0.028797596570679884,0.000838555613639233,0.7488492671463831,0.013801193078294534,1.7063000282186547,0.05819908206617422,1.3868008987635363,0.06104989818243444,0.03609453657314828,0.0016084264548550699,0.2428367967386488,0.05138983186922645
Local Model,209,"(1581, 13)",1,Chemical + Feature Engineering,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.422724746089518,0.03249877238756682,1.0921455021216118,0.026373213685124533,0.028386792246769474,0.0007997669666544316,0.7303949397583284,0.009779173627593708,1.659061150902954,0.1068875373795431,1.25448397328728,0.06715868257207781,0.03272462205035865,0.0017967660146966681,0.6309326661285518,0.041274465553591475
Local Model,209,"(1581, 13)",1,Chemical + Feature Engineering,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.2642045876473338,0.07438004199183572,0.989811900114594,0.05086318889360386,0.025186807103687377,0.001518372567461645,0.8142043218038496,0.033962845146223705,2.039532563571539,0.6921206096005946,1.6095028924398087,0.5399247099517341,0.04250588303049983,0.016054298404316516,0.3149985495839576,0.34563183426092764
Local Model,209,"(1581, 13)",7,Chemical + Feature Engineering,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.2773917048856964,0.0855704808801133,1.0558460646409251,0.06550373559544145,0.02760981640875534,0.0017903871804030673,0.7425065913488011,0.06927112874748158,1.7557573773280144,0.7461771540910204,1.3974973313704784,0.5307590761385675,0.03591136729682046,0.013350326482461625,0.26531831849739435,0.7220009811040692
Local Model,209,"(1581, 13)",7,Chemical + Feature Engineering,Transformer,Out of time Split,"{""Test Size"": 0.2}",1.265322982950887,0.04324301317992561,1.0212098466067971,0.03833274278929453,0.026376300962034704,0.001045467229374953,0.8084049346996954,0.013063336403817736,2.1490919583961134,0.3533404097896427,1.755878374488857,0.2980362787383411,0.04572512241744794,0.007693126397411797,-0.3523936830443121,0.45494693875121506
Local Model,209,"(1581, 13)",7,Chemical + Feature Engineering,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.271295149911159,0.040024094275842796,1.0183189927192169,0.039409549736837614,0.026393754036927806,0.0011026315502384865,0.7842043431849319,0.014666500142180976,1.9649729739817212,0.18976602903292425,1.4879064174131298,0.11523979469365428,0.039022461485172785,0.0030197822731067164,0.46813274890730633,0.11120027594399352
Local Model,209,"(1581, 13)",7,Chemical + Feature Engineering,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.2491759563222888,0.042100281456947115,1.0193844095248907,0.0435782632146653,0.026104367881301587,0.001108841937118342,0.8207800508872399,0.019688986251002297,2.4876891755785437,0.7733418371205364,1.9356482628024347,0.6171095443962579,0.0511339918739474,0.018157469190441807,-0.025532572891188286,0.417707428126509
Local Model,209,"(1581, 13)",14,Chemical + Feature Engineering,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.3464865308737366,0.09599178726888456,1.1050317540415018,0.06426451619316945,0.02890803840114574,0.002281118563698166,0.7086262238507088,0.09190572588639839,2.033529523609445,0.6235376919172303,1.5195597229003892,0.40529849736806467,0.038412171333868005,0.009339906410106786,-0.7028386456995324,1.4012963855313807
Local Model,209,"(1581, 13)",14,Chemical + Feature Engineering,Transformer,Out of time Split,"{""Test Size"": 0.2}",1.3951060741293198,0.021272572179130134,1.1400349264339515,0.013667810615681727,0.02954357206668642,0.00036006611648946654,0.7672154690254341,0.007082854571458943,2.5325723184384747,0.38750688989499493,2.155672195946856,0.3460646282746773,0.05653575254704302,0.008944511351586552,-0.9288794515911896,0.571056960614541
Local Model,209,"(1581, 13)",14,Chemical + Feature Engineering,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3488942072474062,0.07345926224187961,1.0987816893528115,0.07445136467744633,0.028627355670494768,0.002042994198692579,0.7554487115007983,0.025568196315143413,2.179968246147527,0.4206773695075246,1.6562654299681077,0.20389909009587515,0.04356162858810129,0.005355819592914293,0.2962284507986988,0.3172867443737388
Local Model,209,"(1581, 13)",14,Chemical + Feature Engineering,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.2986697570178178,0.04480257052844746,1.0627879399143723,0.040473101717277894,0.02721367714866663,0.0009806612293580292,0.8074592856414399,0.014001625194278392,2.451023815556053,0.6457588260910639,1.9631314860071452,0.5050241769399433,0.05216236065453358,0.015449376073986386,-0.044656857435825856,0.46645305134325543
