Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,AM,Chemical + Physical,"(3776, 16)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7959412982301052,0.6114959472757304,0.014760841485821612,0.9823338340520867,0.8446169227698559,0.6463381822777801,0.015511317385821817,0.9804196609489647
Local Model,209,AM,Chemical + Physical,"(3776, 16)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.832266915701594,0.640665028182847,0.015414260886045722,0.9806971640591258,0.7927173658734709,0.6104158913315535,0.014704866290011819,0.982675029988468
Local Model,209,AM,Chemical + Physical,"(3776, 16)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8156400333367461,0.6229232150156426,0.015021705221100438,0.9815304010705874,0.8784001848143099,0.6545532762135904,0.015674798841457553,0.9784435978649397
Local Model,209,AM,Chemical + Physical,"(3776, 16)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8257893132800467,0.6269947251260226,0.01512058103048412,0.9810954716505664,0.8463245738318413,0.6445080384513382,0.015444979668587135,0.9798442522234488
Local Model,209,AM,Chemical + Physical,"(3776, 16)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8108277477247366,0.6173531407972156,0.014855102976047186,0.9817559576091879,0.8877947386680608,0.6727711112925552,0.01634410740150992,0.9779368359252696
Local Model,209,AM,Chemical + Physical,"(3776, 16)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8368517103046531,0.6350147915265425,0.01518923363505299,0.9804479062231494,0.8670236052048547,0.6719784327915741,0.016062035459202074,0.9794638339880257
Local Model,209,AM,Chemical + Physical,"(3776, 16)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8308388991268871,0.6388692309453136,0.015362171336514342,0.9807392971950334,0.860769339626689,0.6485474087544622,0.015562135692163501,0.9797121402914384
Local Model,209,AM,Chemical + Physical,"(3776, 16)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9018107787043744,0.6975419165148162,0.01696868100360242,0.9774208526159708,0.916054469806443,0.7086921464528471,0.017484870994457273,0.9764770594226919
Local Model,209,AM,Chemical + Physical,"(3776, 16)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8512285241381394,0.6435016267152073,0.015448673265949241,0.9799137895196102,0.8588694383225975,0.650644422518498,0.015584219112200476,0.979269842175141
Local Model,209,AM,Chemical + Physical,"(3776, 16)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8371738563392329,0.6410099983909835,0.015533944459266476,0.9805952575078529,0.8695569846573613,0.6564907826808892,0.015758232130256886,0.978577836320756
Local Model,209,AM,Chemical + Physical,"(3776, 16)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9055859369587244,0.7087525054224285,0.016926543636442762,0.9772048819144598,0.9786714820683493,0.7518626722709224,0.017813962728896574,0.9733681090812303
Local Model,209,AM,Chemical + Physical,"(3776, 16)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8901410698317298,0.6757392352955587,0.016082807005586924,0.9779379747368233,0.9094139271885135,0.7085580933425603,0.016798190476600052,0.9771449997182015
Local Model,209,AM,Chemical + Physical,"(3776, 16)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8088391316684456,0.6170772221403302,0.014861955702959045,0.9818569143813535,0.8458995553116273,0.6277069091796876,0.015098982193647179,0.9799245382268241
Local Model,209,AM,Chemical + Physical,"(3776, 16)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8897698403954163,0.6769034057435364,0.01612335415302732,0.9779498810870164,0.9490897294882907,0.7253411986496273,0.017156354490471225,0.9751294089986927
Local Model,209,AM,Chemical + Physical,"(3776, 16)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8460278017068809,0.640437800619864,0.0154069949426948,0.9801213682429284,0.8299279347122311,0.638161479621533,0.015617496005165371,0.9806274362398706
Local Model,209,AM,Chemical + Physical,"(3776, 16)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.044523002752382,0.867191887055261,0.020768804415550467,0.9696488724797819,1.1342391060731198,0.9230396429697676,0.0220488268314859,0.9650768557710052
Local Model,209,AM,Chemical + Physical,"(3776, 16)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8325413220438652,0.6339678165301614,0.015441352284080372,0.9807359035996597,0.8464518803270533,0.6529768044759571,0.01597929983808577,0.9804090809377171
Local Model,209,AM,Chemical + Physical,"(3776, 16)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0589797040062803,0.8391257330864129,0.019684705252272477,0.9689514993122534,1.2140793077694543,0.9282940340639001,0.021687022330025157,0.9592083219509635
Local Model,209,AM,Chemical + Physical,"(3776, 16)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7387948720011344,0.5572196432398002,0.013424957200232037,0.9849161738889429,0.8638525088719576,0.6534031025723377,0.015585292046442833,0.9791347928233507
Local Model,209,AM,Chemical + Physical,"(3776, 16)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7725738025040075,0.586851213771495,0.013897438293398297,0.9834864913343024,0.9385792723698989,0.6960212665075061,0.01672544695646824,0.9755857570979103
Local Model,209,AM,Chemical + Physical,"(3776, 16)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7493946575828647,0.5950545081887744,0.014398438579486986,0.9843714723967424,0.8994351585463503,0.7069323603312169,0.017218658744649916,0.9780494851089577
Local Model,209,AM,Chemical + Physical,"(3776, 16)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7236512961994297,0.5567053791602057,0.013442550303126096,0.9854330402578709,0.8715478579341527,0.6481652823542351,0.015519894235007513,0.9794041929193599
Local Model,209,AM,Chemical + Physical,"(3776, 16)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7342852442639404,0.5775673933939716,0.013943541825152835,0.9850620630497648,0.8401219311791844,0.6549762731135649,0.015993998563510105,0.9804435046428946
Local Model,209,AM,Chemical + Physical,"(3776, 16)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7367011366509476,0.5754932371615571,0.013857538714324042,0.9850007462459304,0.824695925665317,0.6351255163794935,0.015260660492857521,0.9811099571113572
Local Model,209,AM,Chemical + Physical,"(3776, 16)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8247741213319489,0.6386150490714488,0.015560124054423915,0.9812224201473265,0.9529258661698368,0.718536341936432,0.01729731309358027,0.9745071093286812
Local Model,209,AM,Chemical + Physical,"(3776, 16)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8328893716459701,0.6665628598394727,0.01611656579820084,0.9807825037684355,0.9157947416725702,0.7242273828718383,0.01752713507089662,0.9769093876246198
Local Model,209,AM,Chemical + Physical,"(3776, 16)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.798502838996692,0.6043785506716537,0.014405459892942665,0.9822877393224896,0.9073329162312171,0.6958332485151222,0.016529107785791832,0.9775721225299564
Local Model,209,AM,Chemical + Physical,"(3776, 16)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8302350509873532,0.6357451087529943,0.015254817366733968,0.9809412983301059,0.947368402360162,0.7006416288967441,0.016716334203799445,0.9749790160160975
Local Model,209,AM,Chemical + Physical,"(3776, 16)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7287373784563599,0.5590881514812835,0.0134982772616868,0.9852512549362044,0.8594469491503717,0.6655187848214484,0.01601943465121551,0.9798375567769596
Local Model,209,AM,Chemical + Physical,"(3776, 16)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8121722529694609,0.6185360897709582,0.014738743112917573,0.981736406361041,0.873422776485315,0.662596683210392,0.01612178404669798,0.9787159645864663
Local Model,209,AM,Chemical + Physical,"(3776, 16)",14,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7434935833559032,0.5660443030175191,0.013511897387793846,0.9846537157015128,0.9057861356581828,0.6983682953150939,0.016661660616443183,0.9779371994889098
Local Model,209,AM,Chemical + Physical,"(3776, 16)",14,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7563695584789627,0.6012033154678469,0.014577955999336657,0.9841401539647953,0.8525932691442645,0.6762454692440517,0.0164367594419314,0.9803908269542452
Local Model,209,AM,Chemical + Physical,"(3776, 16)",14,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9101098445000609,0.7322642930316304,0.017242512710114136,0.9771459918077251,1.0897121743592284,0.8637357106060902,0.020452916355777714,0.9675987299658384
Local Model,209,AM,Chemical + Physical,"(3776, 16)",14,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8361064799304034,0.6872082837357879,0.016893290898608984,0.9807418528233529,0.9972425360703254,0.8127695385075033,0.01986633898558175,0.9724538564978293
Local Model,209,AM,Chemical + Physical,"(3776, 16)",14,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.762854049531851,0.6121664799422253,0.014915813619733716,0.9839419165060812,0.9620636024447715,0.7737489122759826,0.01895762528438808,0.9745460016919444
Local Model,209,AM,Chemical + Physical,"(3776, 16)",14,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7114309100260907,0.5455968537580245,0.013074622733254987,0.9859605985268939,0.8496161364739382,0.664646001270035,0.015997570286193665,0.9805324908433575
Local Model,209,AM,Chemical + Physical,"(3776, 16)",14,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7095689691554811,0.5667167263309689,0.013834916583127807,0.9860358635713525,0.8860045614868715,0.694897498126571,0.016904207161307527,0.9789816149722175
Local Model,209,AM,Chemical + Physical,"(3776, 16)",14,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7585090982386863,0.5973078634331429,0.014263804080947873,0.9840953052966409,0.901407014167309,0.6983050009700723,0.016899679237825104,0.9777494849810339
Local Model,209,AM,Chemical + Physical,"(3776, 16)",14,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7981507917668941,0.6459036458644418,0.015712044414296134,0.9824323752576131,0.9452607981438812,0.7397446823683579,0.017738583462060642,0.9754177914091101
Local Model,209,AM,Chemical + Physical,"(3776, 16)",14,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9421875903103109,0.7909382250387567,0.019336236738120387,0.9755537332765284,1.1586870178876132,0.9602427664324321,0.023201649570832317,0.9627257666598836
Local Model,209,AM,Chemical + Physical,"(3776, 16)",14,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7448864808670438,0.5717092612322944,0.013748718291149351,0.9846706788026365,0.8971629742073356,0.6664239472695871,0.01589769121437759,0.9781637128847435
Local Model,209,AM,Chemical + Physical,"(3776, 16)",14,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8320213453642257,0.6742189882403522,0.01639739783689837,0.9808100161933644,1.0043423141699102,0.8053233670977049,0.01941316082257919,0.9728067275774028
Local Model,209,AM,Chemical + Physical,"(3776, 16)",14,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7067904404063358,0.561531275685369,0.013581704299184235,0.9862303723385227,0.8538582284735706,0.6657564521011959,0.01611502807222513,0.9798674120893431
Local Model,209,AM,Chemical + Physical,"(3776, 16)",14,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8824808704901399,0.7354241183271538,0.018331865939363125,0.978420189186188,1.0712632850091477,0.8832120007919237,0.021743127013469053,0.9690210446662307
Local Model,209,AM,Chemical + Physical,"(3776, 16)",14,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.965945181689802,0.8056098200713456,0.01935751182500001,0.9742303870678066,1.1314361719560269,0.9282427868075351,0.022465242153144157,0.9647649678771747
Local Model,209,AM,Chemical + Physical,"(3776, 16)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.9055267863271255,1.4966797759201358,0.03610902542552655,0.9038878633088908,2.451795081911997,1.839363737295799,0.04462905676883838,0.8420113729160259
