Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,AM,Chemical + Properties CS Less,"(3776, 14)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0100282844332344,1.3194169481842044,0.031326312116204715,0.8873361560088122,1.9086013649501918,1.289147234362636,0.030489966380316487,0.9000158611443105
Local Model,209,AM,Chemical + Properties CS Less,"(3776, 14)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2854917283054612,0.981647856199698,0.02316807302223576,0.9539494914451623,1.2739032443354479,0.968473821914538,0.022959780614382867,0.9552586963400754
Local Model,209,AM,Chemical + Properties CS Less,"(3776, 14)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9611394199668213,1.2931595519008738,0.03068375919585939,0.8932230931341681,2.102673722284158,1.3689173456852055,0.03256997822397883,0.8764805883724964
Local Model,209,AM,Chemical + Properties CS Less,"(3776, 14)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0400775954083636,1.3401860662437217,0.03192168533520856,0.8846226120269007,1.7746767062405153,1.206441581231352,0.028310762220781542,0.9113735179806027
Local Model,209,AM,Chemical + Properties CS Less,"(3776, 14)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9699658043978627,1.2934348524398611,0.030674608935068313,0.8923085454660717,2.070143608248445,1.3596169609946054,0.03242990768735003,0.8800380245481265
Local Model,209,AM,Chemical + Properties CS Less,"(3776, 14)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9784135237215783,1.3037665835934287,0.030976757475642245,0.8907225883997545,2.0363156229612684,1.3391034111917455,0.03173303743477643,0.8867214425406037
Local Model,209,AM,Chemical + Properties CS Less,"(3776, 14)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9825643527332886,1.299882692832897,0.030856833916230633,0.8903286793799273,2.017886112726145,1.3542488697507118,0.03208582999020796,0.8885048547240288
Local Model,209,AM,Chemical + Properties CS Less,"(3776, 14)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.009405048927148,1.327194073613914,0.03145236340617415,0.8878984356554548,1.9311649425830841,1.23583276302639,0.029640376695186973,0.8954587345401498
Local Model,209,AM,Chemical + Properties CS Less,"(3776, 14)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0048958960110275,1.3214891557573536,0.031427666617828136,0.8885732851117296,1.9338490732206703,1.2608418535546861,0.029822758899790316,0.8949022391410113
Local Model,209,AM,Chemical + Properties CS Less,"(3776, 14)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9676357002696012,1.2898182193083416,0.03065009822635717,0.8928071158721559,2.0780153734110605,1.3816584398150993,0.03282220936741112,0.8776610496742453
Local Model,209,AM,Chemical + Properties CS Less,"(3776, 14)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9703609067392511,1.3001050890798058,0.030884868927482594,0.8920869241342211,2.066376110781411,1.3453609707854859,0.031932193127485714,0.8812737143249514
Local Model,209,AM,Chemical + Properties CS Less,"(3776, 14)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0124509538880506,1.324208450258707,0.03148786719119609,0.887233965405418,1.8983583412699054,1.272708510997734,0.029982762808033223,0.9004103011865765
