Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,AM,Chemical + CS3,"(3776, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8646141033177183,0.6590621358388917,0.015859129927032367,0.979153898013975,0.9485113297940739,0.7258854504883804,0.017508325975423594,0.9753063268213387
Local Model,209,AM,Chemical + CS3,"(3776, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8837071488211351,0.678295747893967,0.0163008937575513,0.978237309072102,0.8740464477731186,0.6822582072150152,0.01653235675806771,0.9789377496180897
Local Model,209,AM,Chemical + CS3,"(3776, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8661452375871371,0.6592182419144531,0.015870869492250465,0.9791722747067199,0.9539451538260634,0.7248125798361802,0.01733130576649112,0.9745763294610009
Local Model,209,AM,Chemical + CS3,"(3776, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8733282427327022,0.6708196964027829,0.016200400240467004,0.9788562341703001,0.9480137689079298,0.7117083735931854,0.017013672083077937,0.9747096812671359
Local Model,209,AM,Chemical + CS3,"(3776, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.859079852736331,0.6567608635947667,0.015763552958097567,0.9795199536231818,1.0030940015447056,0.7411062853343593,0.017899504540549515,0.9718339511931066
Local Model,209,AM,Chemical + CS3,"(3776, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8597255801533956,0.650668211241393,0.01564853523282583,0.9793644545350702,0.9561005094201682,0.7216029904050459,0.017323565424447972,0.9750273504532763
Local Model,209,AM,Chemical + CS3,"(3776, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8556959843212182,0.6563854247711809,0.015805538798876605,0.9795695715378048,0.9897442746155397,0.7391559424925958,0.01774203860716164,0.9731769196172938
Local Model,209,AM,Chemical + CS3,"(3776, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.868139068445624,0.6649500271960433,0.015956086652305922,0.979075489994787,0.924187148765909,0.713878105238116,0.01733664046689698,0.976057534764458
Local Model,209,AM,Chemical + CS3,"(3776, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8773864072770344,0.6717447598527964,0.016210972852146982,0.9786603409234605,0.9087100492243517,0.6883513375428925,0.016414164245888114,0.976794070329201
Local Model,209,AM,Chemical + CS3,"(3776, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8690632605339587,0.6630717225161337,0.015939079083302592,0.9790887810153157,0.9766848569178329,0.7359775560408643,0.017724182772969724,0.972974350131205
Local Model,209,AM,Chemical + CS3,"(3776, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8606797868881528,0.664482911016906,0.01600711816837286,0.9794095558691487,0.9515770380530308,0.7025215187067662,0.016765339255372477,0.9748223006029859
Local Model,209,AM,Chemical + CS3,"(3776, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8607459773582273,0.660718052753413,0.015960391278968745,0.9793710224808166,0.9409559557874219,0.7137101025104025,0.01703790730630451,0.9755321043249375
Local Model,209,AM,Chemical + CS3,"(3776, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8647524427363553,0.6656547457701116,0.015996402908664113,0.9792618297047372,0.9570118519274601,0.7074272980296004,0.016986070494243537,0.9743041739959684
Local Model,209,AM,Chemical + CS3,"(3776, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8575294525157756,0.6519156725737864,0.01572345077652251,0.9795188817731081,0.961644084022014,0.7363749754182922,0.017602816111901433,0.9744670916421446
Local Model,209,AM,Chemical + CS3,"(3776, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.874538325206246,0.6640682502804134,0.015898424927171587,0.9787590022969082,0.888373360430361,0.6966306995150608,0.01705160343781389,0.9778028412978118
Local Model,209,AM,Chemical + CS3,"(3776, 11)",,Random Forest,,,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.688801061419025,0.5366155531958053,0.013229510195915778,0.9874415589477156,1.0683455088559946,0.798723608773505,0.019149850138186316,0.9700027844849591
Local Model,209,AM,Chemical + CS3,"(3776, 11)",,Random Forest,,,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.7513314026693528,0.5745051081010065,0.013949872630220121,0.9836669195205678,0.9328472866094768,0.7193191869804779,0.017720509168642665,0.975993754551397
Local Model,209,AM,Chemical + CS3,"(3776, 11)",,Random Forest,,,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.6527416594746585,0.4871241465190361,0.011598075324802174,0.9881414975007392,0.9057341447137207,0.6723641377484273,0.016162427507946272,0.9765328231770734
Local Model,209,AM,Chemical + CS3,"(3776, 11)",,Random Forest,,,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.7327981393950533,0.5535973003307199,0.013211519485875822,0.9847954027776022,0.8910256593240059,0.7116237476569435,0.017024874745576332,0.9792830737541274
Local Model,209,AM,Chemical + CS3,"(3776, 11)",,Random Forest,,,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.6693305626876893,0.4934268040610015,0.011928190511066883,0.9879148731169979,1.0122796048328884,0.8134259506202551,0.01977117778504843,0.9641953442793626
Local Model,209,AM,Chemical + CS3,"(3776, 11)",,Random Forest,,,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",0.7101459547117314,0.5514451040479594,0.013571546800524774,0.986682348948089,1.0890434452319204,0.8239005765263148,0.01988597695317677,0.9657417205387507
Local Model,209,AM,Chemical + CS3,"(3776, 11)",,Random Forest,,,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",0.7983652871998328,0.6119327611995461,0.014972050230734122,0.9824201830364313,1.0095391335668222,0.7727028556350629,0.018627905257136784,0.9719540111637376
