Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,AM,Chemical + Properties CS Less,"(3776, 14)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.350576133279581,1.1033124358827702,0.027413430565918807,0.9491350796101514,1.4306170032999461,1.1605713617234006,0.028708188894339105,0.9438244393884171
Local Model,209,AM,Chemical + Properties CS Less,"(3776, 14)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3587906864622243,1.0974569922367963,0.027240198334413417,0.9485481516871754,1.386545294151274,1.1428720480811532,0.028826159055607144,0.9469965828797192
Local Model,209,AM,Chemical + Properties CS Less,"(3776, 14)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3529710777906037,1.1031156705713003,0.02743169868693871,0.9491796767575859,1.4117814816285328,1.1320848578648839,0.027931930505939666,0.9443165158277176
Local Model,209,AM,Chemical + Properties CS Less,"(3776, 14)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3485733882548803,1.0968897202108836,0.02728832092298222,0.9495830579479413,1.401367762794944,1.1428508420022117,0.028321257318822717,0.9447376615795118
Local Model,209,AM,Chemical + Properties CS Less,"(3776, 14)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3371529980397827,1.0882887405956156,0.027036466032623142,0.9503835060437003,1.442146978678986,1.1701678143431802,0.029038892693846095,0.9417814064266027
Local Model,209,AM,Chemical + Properties CS Less,"(3776, 14)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3427195255439566,1.0944795627215052,0.02720967716319706,0.9496653718924788,1.4659218420915545,1.2089566397288478,0.029931594422905754,0.9412944508359697
Local Model,209,AM,Chemical + Properties CS Less,"(3776, 14)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3491314085582353,1.1015658773897656,0.027354197064124564,0.9492136509850885,1.431853252717911,1.1417912615845531,0.028328158342910838,0.9438616458931084
Local Model,209,AM,Chemical + Properties CS Less,"(3776, 14)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3539299883270783,1.0986360401303823,0.027292321721038668,0.9491057041626848,1.3686715563572174,1.1317915687813673,0.028402700751051738,0.9474893373412769
Local Model,209,AM,Chemical + Properties CS Less,"(3776, 14)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3511444400425572,1.1019811797560308,0.027409711941822738,0.9493931588285287,1.4019102049097525,1.1183860459485573,0.027765684264521872,0.9447682626767879
Local Model,209,AM,Chemical + Properties CS Less,"(3776, 14)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3475411859718798,1.09466668334476,0.027195424410746055,0.9497240061635696,1.3778146642019908,1.1247625914314732,0.027874540294973656,0.9462165269932438
Local Model,209,AM,Chemical + Properties CS Less,"(3776, 14)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3484255229650013,1.0945051494876281,0.027202955099885597,0.9494598605931173,1.4272509429388192,1.1653428587333232,0.028886894857068874,0.9433592736901181
Local Model,209,AM,Chemical + Properties CS Less,"(3776, 14)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.350158537862894,1.0970477243402623,0.02728301653386457,0.9492428494547716,1.4195344573528512,1.166518782457769,0.028822609655536263,0.9443135019901626
