Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,209,"(3776, 14)",1,Chemical + Properties CS Less,BidirectionalGRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.0028587356924705,0.056754772402985064,0.7543286441693504,0.04337073568412993,0.01806705926986551,0.0009767688691375493,0.9720625739732418,0.003212395214377414,1.2101640590132383,0.16983109865601614,0.918796622505779,0.12745903111977477,0.022101710498332518,0.0029017248921349276,0.9572194739164276,0.01232570495553345
Local Model,209,"(3776, 14)",1,Chemical + Properties CS Less,BidirectionalGRU,Out of time Split,"{""Test Size"": 0.2}",0.9467590068126023,0.007239075503479648,0.7153798035375329,0.0013514210266580586,0.017080266622490636,5.6113051553826003e-05,0.9751835201799467,0.0003786346423788309,1.0622927754507414,0.01044538410141344,0.8353543567489269,0.01093267394716276,0.020335731847214388,0.00034813622232067026,0.9681112088315066,0.0006291435413271546
Local Model,209,"(3776, 14)",1,Chemical + Properties CS Less,BidirectionalGRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9752337147883179,0.026344702054175186,0.7319846288820474,0.020974461885389144,0.017478251576348986,0.0005162601800160078,0.973541472439805,0.0014737273703907025,1.0084995713476659,0.05341033504854653,0.7534621330855955,0.04030364255779188,0.01800104466400378,0.000962595498978871,0.9716170521596214,0.003043646950792731
Local Model,209,"(3776, 14)",1,Chemical + Properties CS Less,BidirectionalGRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",0.9700367814096771,0.04426205114434007,0.7461931683908,0.04512509818866018,0.017943378682835586,0.001079880226827039,0.9742227654295678,0.002419797675601831,1.2319712575428994,0.16169476341264122,0.949032403659871,0.13425668466567914,0.022740517367780863,0.003251403956503514,0.9565406690812036,0.01213199649884565
Local Model,209,"(3776, 14)",7,Chemical + Properties CS Less,BidirectionalGRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.9693385260603155,0.18415788283644088,0.7855588401768471,0.17690202139140207,0.019177845476602094,0.004290357339118082,0.9734402697143429,0.0102976758295701,1.5657361509815353,0.2901860470801418,1.2741793581185445,0.2644805434382313,0.0308960297073801,0.0060545002164054005,0.9279130592083192,0.034506857269311374
Local Model,209,"(3776, 14)",7,Chemical + Properties CS Less,BidirectionalGRU,Out of time Split,"{""Test Size"": 0.2}",0.9012205957753201,0.09551922848948165,0.713018577650682,0.1034505807768993,0.017168317239543904,0.0025363324957885574,0.977322184498386,0.0049155268671273525,1.2445906584731488,0.18710891861031653,1.024007235279789,0.20545760602769858,0.02509787091492825,0.00521067681162547,0.9557638581032419,0.013584562522331615
Local Model,209,"(3776, 14)",7,Chemical + Properties CS Less,BidirectionalGRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8833670089541897,0.0800045031100711,0.6970364719464937,0.07939618424069342,0.01674573644706621,0.0018773025690182442,0.9781884469633471,0.0041718872108132184,1.0599874430914888,0.06675267460374182,0.8248111425560519,0.06762387584420194,0.019713827025316003,0.0015874181545845452,0.9689196766090393,0.0038685056108292586
Local Model,209,"(3776, 14)",7,Chemical + Properties CS Less,BidirectionalGRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",0.9726603435375087,0.14008396538929338,0.7718423534980977,0.12703765460946795,0.01844419719668026,0.0029737143090438015,0.97383728198264,0.007492244754516879,1.7711640513697093,0.8616454059730588,1.3441972405626177,0.6260987892951029,0.03178670430130039,0.014156790439928376,0.8907557307929551,0.1399345487666645
Local Model,209,"(3776, 14)",14,Chemical + Properties CS Less,BidirectionalGRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",0.8927107596796693,0.2006740208470612,0.7107811090790975,0.18629397122055338,0.01709265568565628,0.0042839790986074705,0.9774966362671297,0.011412305833547772,1.2362975516852295,0.21055157181313516,1.0028666281324425,0.19100408134871538,0.024135349259459562,0.00435955266111111,0.9578228372750441,0.01492434135375239
Local Model,209,"(3776, 14)",14,Chemical + Properties CS Less,BidirectionalGRU,Out of time Split,"{""Test Size"": 0.2}",0.7861669645943096,0.015928035906986437,0.5952205904838107,0.00667935127819959,0.014328707339054662,0.00017976523749646897,0.9829799172878789,0.0006922464715852108,1.2315516791581087,0.09241282738735017,0.9757128315103204,0.07656494852266056,0.023880009087133603,0.002109852705129221,0.9579299872468711,0.006118144815246606
Local Model,209,"(3776, 14)",14,Chemical + Properties CS Less,BidirectionalGRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8624240359445995,0.07456200711869468,0.6919623596790198,0.0805323919226405,0.016749114643925436,0.002034388740670802,0.9792896941748664,0.00351584191255927,1.105640985603897,0.08580703544573569,0.8723652066332885,0.09349641708387874,0.02096504490068209,0.002326043176021675,0.966433721746806,0.005592822004215
Local Model,209,"(3776, 14)",14,Chemical + Properties CS Less,BidirectionalGRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",0.8637321582079351,0.10179364783999514,0.6681395099386994,0.09135514654441973,0.016187679850964865,0.002476352095317152,0.9797049127182579,0.004639451481779909,1.6051735139035037,0.3025462104094003,1.2500958507810007,0.25858116046102586,0.0300487578405773,0.0064485214871272175,0.92646660737566,0.02738434699355376
