Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,AN,Chemical + Properties CS Less,"(823, 15)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4777515485349313,1.166449862772935,0.02848601341441686,0.9136514705303174,1.9380065739796661,1.3690378131288476,0.0339616751667131,0.8598217187305146
Local Model,209,AN,Chemical + Properties CS Less,"(823, 15)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5500101502438606,1.1864460884256585,0.02880076598780787,0.9072725901553912,1.994740349801446,1.4246291883064042,0.035271821754647416,0.836401227070026
Local Model,209,AN,Chemical + Properties CS Less,"(823, 15)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.44784600622921,1.1298066171106975,0.02767740451426418,0.9157716884723106,3.8136453815757694,1.7120739214348082,0.041029271165086284,0.4828820038775453
Local Model,209,AN,Chemical + Properties CS Less,"(823, 15)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4925618057883798,1.1670705074605539,0.02860710116148335,0.9129533128021077,1.6862766980697081,1.3414930483190048,0.03315940151297269,0.8890727910408025
Local Model,209,AN,Chemical + Properties CS Less,"(823, 15)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4769712791009375,1.1585512175726447,0.028343522264387078,0.9171213296251104,1.9594453060136512,1.4786882167909225,0.036198052482063724,0.8310153498650923
Local Model,209,AN,Chemical + Properties CS Less,"(823, 15)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4933710646603133,1.1588217262801452,0.028263547327461138,0.9126806649846879,3.829136519595409,1.7041158733945945,0.041351501442830105,0.4327922309312968
Local Model,209,AN,Chemical + Properties CS Less,"(823, 15)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4814775346732123,1.155300928828928,0.028308719317171847,0.9140646711628453,2.1073740487186154,1.4286357070460498,0.03479317794750533,0.8281742264754197
Local Model,209,AN,Chemical + Properties CS Less,"(823, 15)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5157715909059455,1.1592158053783672,0.028174641311555445,0.9106931270247041,1.9182627472978098,1.5124645695541883,0.036967278598419036,0.8534655100838507
Local Model,209,AN,Chemical + Properties CS Less,"(823, 15)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4004357800950522,1.1098639643065689,0.027193741860003822,0.9231854632104176,1.9523551434030508,1.426551481572591,0.03491476965325222,0.8514168292531279
Local Model,209,AN,Chemical + Properties CS Less,"(823, 15)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5252180308391476,1.1882155596395936,0.028944842831730377,0.909315206958413,2.0958762497036303,1.4649521897478783,0.03691646549301666,0.8240905909428473
Local Model,209,AN,Chemical + Properties CS Less,"(823, 15)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4925460139139288,1.1742168472892993,0.028618251005574285,0.9127454326759756,3.604198663250307,1.6460587125836004,0.04036552346727405,0.4937266379927553
Local Model,209,AN,Chemical + Properties CS Less,"(823, 15)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4906070483574911,1.200700707710987,0.02955812054785662,0.9139907991538017,1.77957903976673,1.3736093116529078,0.033243277906921255,0.8709285496231615
Local Model,209,AN,Chemical + Properties CS Less,"(823, 15)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3729457857305742,1.0704724274145447,0.02616522824455343,0.9255949049253457,1.8131253862067298,1.4854383988813928,0.036329977123826324,0.8768113288116208
Local Model,209,AN,Chemical + Properties CS Less,"(823, 15)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.479240356300604,1.156595811858346,0.028219718352298123,0.914171769677203,1.7082242435151709,1.3088244461431764,0.03192674279858863,0.8876545666129549
Local Model,209,AN,Chemical + Properties CS Less,"(823, 15)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.567009565989253,1.2049038761121558,0.02936614330857197,0.9048533958916145,2.16684964973139,1.524817338803923,0.03722898190347498,0.8101972094145506
Local Model,209,AN,Chemical + Properties CS Less,"(823, 15)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.404400559951123,1.1372257622402906,0.02728256282966099,0.9225652870327732,1.8125210959218288,1.3944397221982883,0.03486424130840283,0.879078606641557
Local Model,209,AN,Chemical + Properties CS Less,"(823, 15)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9167334831270789,0.7184979406303681,0.01766311987748529,0.9677994857211734,1.724889929776351,1.3648171518363246,0.03497456611554732,0.8779440631951176
Local Model,209,AN,Chemical + Properties CS Less,"(823, 15)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.008505578420447,0.7982564754899459,0.01969232329060507,0.9593927783921822,1.9413591227636207,1.4213538076363388,0.03429749392216347,0.8684002655928194
Local Model,209,AN,Chemical + Properties CS Less,"(823, 15)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1232430169884091,0.8919299094717538,0.02206599909848843,0.9510201457362872,1.454878547374722,1.1837175017909,0.029357439860616546,0.918592124276505
Local Model,209,AN,Chemical + Properties CS Less,"(823, 15)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9615449272308216,0.7593864664965132,0.018598974068359517,0.9651220430350801,1.6755460574780332,1.3567178876776411,0.033547009448536357,0.8772230723229256
