Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,AN,Chemical + CS3 + CS7,"(823, 12)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9905193104646492,0.7806646736438192,0.01928927899411136,0.9612048001953387,1.0021668998161972,0.8035274080618573,0.020198645156835362,0.9625156186139479
Local Model,209,AN,Chemical + CS3 + CS7,"(823, 12)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9798037226503556,0.7745082843300969,0.019104275515625883,0.9629475256897992,0.9917891610163984,0.7676345028511816,0.019235865283319876,0.9595567533627289
Local Model,209,AN,Chemical + CS3 + CS7,"(823, 12)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9835166809016507,0.7912299593510752,0.01965413729545529,0.9611333767947211,1.1188982829912473,0.9188797102003384,0.022081684992944252,0.955486652775231
Local Model,209,AN,Chemical + CS3 + CS7,"(823, 12)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9322915283322379,0.7358254411779893,0.018339920864307704,0.9660381706642376,1.13464378376852,0.8823790483981735,0.021728879923714348,0.9497773661716333
Local Model,209,AN,Chemical + CS3 + CS7,"(823, 12)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9494725722718499,0.7568418694448915,0.0187040674430273,0.9657497676557056,1.0520611859546667,0.8326377660402391,0.020819911218017947,0.9512849713279105
Local Model,209,AN,Chemical + CS3 + CS7,"(823, 12)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9598731636952726,0.7677663739477821,0.019019336826594624,0.9639253061024463,1.0552713265013989,0.8328348434466868,0.02063380516433374,0.9569206893226001
Local Model,209,AN,Chemical + CS3 + CS7,"(823, 12)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9699865197975703,0.7730587855659388,0.01923709292280518,0.9631605616473459,1.0296805512830631,0.8162485099878566,0.02005887256488601,0.9589786383522723
Local Model,209,AN,Chemical + CS3 + CS7,"(823, 12)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9801203644498176,0.7634293886050089,0.018868831667035815,0.9626598393124761,0.9773704641251045,0.7744854671068335,0.01918083074336356,0.961959861244342
Local Model,209,AN,Chemical + CS3 + CS7,"(823, 12)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9505027384173561,0.7451127217013502,0.018555362181737537,0.9646146280873925,1.0512979542625365,0.8288801528879947,0.020207896419240742,0.9569172299707103
Local Model,209,AN,Chemical + CS3 + CS7,"(823, 12)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9632378088388959,0.7588173795289979,0.018736203384471573,0.9638309046184754,1.027290068612454,0.8175934176943753,0.020738105256790842,0.9577385906292871
Local Model,209,AN,Chemical + CS3 + CS7,"(823, 12)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9740443090377212,0.7662437528923615,0.01887431896343206,0.9628387650628693,0.9849245988480486,0.7748735633592978,0.019560770514875033,0.9621928793513101
Local Model,209,AN,Chemical + CS3 + CS7,"(823, 12)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9667319045532543,0.7639980156080509,0.019035002721046662,0.9638231561984126,1.0081271584553297,0.7955457920646164,0.01947548325761908,0.9585784586413626
Local Model,209,AN,Chemical + CS3 + CS7,"(823, 12)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.938752734608994,0.7423486854449416,0.018469632499783905,0.9652144936474796,1.1001283636612573,0.8634117178843285,0.021356029580312397,0.9546474389071425
Local Model,209,AN,Chemical + CS3 + CS7,"(823, 12)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.9488123330908669,0.7468135488076014,0.018572152476511568,0.9646887324789328,1.0629978289855673,0.8648863256020413,0.021252627386100238,0.9564958771488178
Local Model,209,AN,Chemical + CS3 + CS7,"(823, 12)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.99362744333137,0.7896662866190006,0.0195162132196436,0.9617442119249684,0.9236689648165871,0.7393542517007917,0.01850822372514544,0.965511227281601
Local Model,209,AN,Chemical + CS3 + CS7,"(823, 12)",,Decision Tree,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.4531544675897356,0.35912875620416496,0.009351352796185956,0.9909515540291732,0.9518873358535963,0.7412910561944925,0.01837159194407838,0.9573874319973311
Local Model,209,AN,Chemical + CS3 + CS7,"(823, 12)",,Decision Tree,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.669703765015636,0.5472267200189892,0.013752142127064602,0.9770517420875577,1.4692456359818336,1.2162252052552955,0.031861134752851544,0.9030455762931274
Local Model,209,AN,Chemical + CS3 + CS7,"(823, 12)",,Decision Tree,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.7371255410768156,0.588467605742716,0.015135995088085715,0.9774863407651334,1.0858800315932973,0.8245923824270099,0.019900962655205075,0.9607562705169139
Local Model,209,AN,Chemical + CS3 + CS7,"(823, 12)",,Decision Tree,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.4833465766968575,0.34936380466004063,0.008682730003060236,0.9922629298377368,0.812821860356017,0.5783720934454756,0.014130477764667073,0.9759079285600977
Local Model,209,AN,Chemical + CS3 + CS7,"(823, 12)",,Decision Tree,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.5992691447815174,0.45495222883544423,0.01108608144449532,0.987202729175462,2.1156260796722965,1.1301656780267617,0.0297096176642432,0.8385071177675401
Local Model,209,AN,Chemical + CS3 + CS7,"(823, 12)",,Decision Tree,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",0.4467272428707099,0.3537555184583255,0.009182011744039825,0.9912365132485161,1.2669496281165162,1.0597880492274487,0.026735202501062236,0.9175345512918108
Local Model,209,AN,Chemical + CS3 + CS7,"(823, 12)",,Decision Tree,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",0.6702077319878619,0.527924570756876,0.013653598139975727,0.9788234087135398,1.142841722048943,0.9622415103769372,0.024209486599486275,0.9433872225074158
Local Model,209,AN,Chemical + CS3 + CS7,"(823, 12)",,Decision Tree,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",0.813501367345107,0.6595428063300753,0.016899394001308316,0.969753777199461,1.0108753723815145,0.787181870971,0.01944380836232381,0.9636607874523268
Local Model,209,AN,Chemical + CS3 + CS7,"(823, 12)",,Decision Tree,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",0.8378042666081609,0.6664846868730224,0.01685849452169525,0.9700520307506735,1.498667990833176,1.2116527625880789,0.028175284447003363,0.9224215209785798
Local Model,209,AN,Chemical + CS3 + CS7,"(823, 12)",,Decision Tree,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",0.9443641836021948,0.7420430479532156,0.018453185249303453,0.9643675284314845,1.1171679942205375,0.8559237737894366,0.020519809941691454,0.9551020836801465
Local Model,209,AN,Chemical + CS3 + CS7,"(823, 12)",,Decision Tree,,,,,,Out of time Split,"{""Test Size"": 0.2}",0.929078709100886,0.7300873747542775,0.0181933404434133,0.9651347397263158,1.1637668836245423,0.9043230423358698,0.021560085731604547,0.951847630935737
