Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,AN,Chemical,"(823, 10)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6665150374481439,1.2520027972282273,0.030755058040272776,0.8901827476990709,1.681985455357079,1.1918882658987378,0.029531434894608754,0.8944119642047167
Local Model,209,AN,Chemical,"(823, 10)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6210121401400723,1.2162022808040192,0.029846439165821158,0.8985828085900114,1.9081821145809097,1.3158128911798688,0.03274418968393637,0.850291334780231
Local Model,209,AN,Chemical,"(823, 10)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6379424160633465,1.2292897998380834,0.030648518308997494,0.8922020234722091,2.2846449378738702,1.4901094841234637,0.035648908944427,0.8144134631231355
Local Model,209,AN,Chemical,"(823, 10)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6362696549680413,1.2352610169846336,0.030425260309270133,0.895384182697303,1.7420456154453,1.3169538684007627,0.03270131842231076,0.8816142434105226
Local Model,209,AN,Chemical,"(823, 10)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7077169922125641,1.2645324683876835,0.031169955749098505,0.8892023691161752,1.663665633205962,1.3083447479620198,0.032605512993837515,0.8781815535691002
Local Model,209,AN,Chemical,"(823, 10)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6832301013492654,1.2500047654728783,0.03080120699104104,0.8890666997701345,2.2853706795603106,1.3787636959191572,0.033619319077715364,0.797952364522869
Local Model,209,AN,Chemical,"(823, 10)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5871705371826195,1.2004409662496032,0.029666642893455546,0.901365513284256,1.7005269924467652,1.2021142208215,0.029489446852318947,0.8881149366279164
Local Model,209,AN,Chemical,"(823, 10)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.687607215940774,1.2634018489292724,0.031189369771011752,0.8892968179964614,1.468377587971252,1.1820587851784468,0.02905620191002567,0.9141383627533899
Local Model,209,AN,Chemical,"(823, 10)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.602810665951205,1.2046888464318455,0.029834155758218732,0.8993806593012031,1.847791534066378,1.3762845760438513,0.033784572069407284,0.8669061689970646
Local Model,209,AN,Chemical,"(823, 10)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6342965651263814,1.2268870329097148,0.02991317506144911,0.8958804360788819,1.918166169979676,1.3688237260027665,0.034605854328270506,0.8526567477938748
Local Model,209,AN,Chemical,"(823, 10)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6593147560318025,1.2435393347928623,0.03057524326412913,0.8921574217905752,2.276157756807594,1.4177985220244458,0.035065783206039695,0.7980832474855264
Local Model,209,AN,Chemical,"(823, 10)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6492975596314483,1.2500396079205487,0.030925189409617828,0.8947028529958193,1.56381431794982,1.161104005755803,0.028591616592680745,0.900329646931557
Local Model,209,AN,Chemical,"(823, 10)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.610686295185225,1.1992911828687516,0.029524894859048054,0.8975957865638556,1.7116259362237212,1.299733294862694,0.03216418767227631,0.8902175772812955
Local Model,209,AN,Chemical,"(823, 10)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6077997853294697,1.2181436599476785,0.03003327772463266,0.8986049864986864,1.8900139684150457,1.362800156197899,0.03322531713556868,0.8624705553281361
Local Model,209,AN,Chemical,"(823, 10)",1,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6052153818759718,1.2241687398398262,0.030168400943833,0.9001572297626841,1.8792193203657308,1.3919177171660644,0.03460874250542724,0.85724215788891
Local Model,209,AN,Chemical,"(823, 10)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1715178395047623,0.9566106117177688,0.02366975725981905,0.9461170310253009,1.5071118686235248,1.2275702781926574,0.03133542114186388,0.916395821716375
Local Model,209,AN,Chemical,"(823, 10)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0729404219516534,0.8622423650310508,0.02124366525983123,0.9558909367827206,1.7600774706649491,1.4441742741204588,0.036522490158104805,0.8729134170322267
Local Model,209,AN,Chemical,"(823, 10)",7,GRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.076124153697023,0.8623873058118323,0.021302224736086683,0.9537649401074212,1.82126235415478,1.3657078462488534,0.0328053177773154,0.8841787433998343
