Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,AN,Chemical + CS3,"(823, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0519140610463482,0.857660702459833,0.02137979585947503,0.9562465180424804,1.0729725228830693,0.885535093059668,0.02225674878873432,0.9570317723793352
Local Model,209,AN,Chemical + CS3,"(823, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0603076604215191,0.8622711289172623,0.021461209036014835,0.9566086819280368,1.0464052727111932,0.8412192150774414,0.021070502853929803,0.9549798295237978
Local Model,209,AN,Chemical + CS3,"(823, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.052474398482525,0.8504671617230042,0.021346486926650584,0.9554921689781739,1.0902589969578156,0.9283265988748474,0.02278449859126098,0.9577362142263236
Local Model,209,AN,Chemical + CS3,"(823, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.037491243618688,0.8452508316004297,0.021090059437679408,0.9579412385384246,1.1281135152615458,0.9024285360347619,0.02244648000610326,0.9503537999493002
Local Model,209,AN,Chemical + CS3,"(823, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0600799439450104,0.872526802591234,0.02172206988107633,0.9573051088473711,1.0459405599036593,0.8219126501541121,0.020695109506979222,0.9518501459564341
Local Model,209,AN,Chemical + CS3,"(823, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0371656898151134,0.8450085959072674,0.021075981364281685,0.957881660758266,1.1385657207166577,0.9288428728073722,0.02314702141334221,0.9498516465415844
Local Model,209,AN,Chemical + CS3,"(823, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0597072618045067,0.8667762726310269,0.02163860820177817,0.9560303079808569,1.0388070563563623,0.8330329598277597,0.020747585188376896,0.9582482354749604
Local Model,209,AN,Chemical + CS3,"(823, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0623223822882277,0.8672588989768217,0.02165030635503012,0.9561337993839572,1.0291391814958313,0.8238775533836405,0.020464643958491003,0.9578233679186338
Local Model,209,AN,Chemical + CS3,"(823, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.054530242071169,0.8580435754307971,0.021495083844617333,0.9564452928673798,1.0604777326029458,0.8688028258218714,0.021414209750848925,0.9561615603551107
Local Model,209,AN,Chemical + CS3,"(823, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0556748871986286,0.8573288044896553,0.021291076626920466,0.9565558818956599,1.0566200899645661,0.8820526407287526,0.022416411080386518,0.9552909414652224
Local Model,209,AN,Chemical + CS3,"(823, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0519088493420743,0.8508938522439826,0.021141740795259014,0.9566599978220945,1.0705398807802826,0.8984775739785953,0.02271522062433591,0.9553343831564071
Local Model,209,AN,Chemical + CS3,"(823, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.072355086192943,0.8742719450836418,0.021869459361938442,0.95548608384025,0.9936637268520354,0.8138110833237551,0.02014863111508629,0.959758468620544
Local Model,209,AN,Chemical + CS3,"(823, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0552266448287466,0.8621039344636663,0.02154221101466082,0.9560471139865779,1.0578723430507957,0.859557425263978,0.02136771070822063,0.9580645198908129
Local Model,209,AN,Chemical + CS3,"(823, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0317675647692024,0.8419466471923622,0.021042193835601034,0.9582442386511857,1.1506422439109536,0.9191455354544829,0.02277517320152375,0.9490262845428439
Local Model,209,AN,Chemical + CS3,"(823, 11)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0570082087545798,0.8631603949250615,0.021504800820498382,0.9567080929619207,1.0512353520395588,0.853674687551864,0.02142210185852674,0.9553270171322977
Local Model,209,AN,Chemical + CS3,"(823, 11)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.7391949529559739,0.5804147898379792,0.014777337758977207,0.9759231619551426,0.9370443793731807,0.6973478470644313,0.01764922330366427,0.9587060022754569
Local Model,209,AN,Chemical + CS3,"(823, 11)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.9280519430912472,0.738530976180609,0.01881602286340393,0.9559314450366254,1.2921890254701225,0.9817447583186732,0.025689840164928347,0.9250052421878081
Local Model,209,AN,Chemical + CS3,"(823, 11)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.9163529417226121,0.7596575568189837,0.019373841438213763,0.9652072524458879,0.9746992111556135,0.8392274343915891,0.020413711310074755,0.9683810234328603
Local Model,209,AN,Chemical + CS3,"(823, 11)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.5769167395168125,0.45966787168042544,0.011089774692066765,0.9889773625800284,0.7729377637448411,0.5947406738306416,0.014537606106121375,0.9782142535637366
Local Model,209,AN,Chemical + CS3,"(823, 11)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.8365263520164826,0.667115492232195,0.016018610437796604,0.9750636560614281,1.598124642030274,1.2530381178159589,0.03168014714130188,0.9078496778477172
Local Model,209,AN,Chemical + CS3,"(823, 11)",,Linear Regression,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",0.7313405347626871,0.577465390799243,0.014677295930941147,0.9765127944534481,1.3678275882803643,1.1113023969734075,0.02842367697119378,0.9038794941824353
Local Model,209,AN,Chemical + CS3,"(823, 11)",,Linear Regression,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",0.9190245251869357,0.7679086568731937,0.019590799906009686,0.9601809046256049,1.2703473076264282,1.0443664602196776,0.026797174214630532,0.9300500784816187
Local Model,209,AN,Chemical + CS3,"(823, 11)",,Linear Regression,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",0.9890802746892264,0.8249346851220714,0.02106660721656803,0.9552886632803242,1.16114264216831,0.9948215645077909,0.025385725859666686,0.9520541051094448
Local Model,209,AN,Chemical + CS3,"(823, 11)",,Linear Regression,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",0.9927352187991462,0.8212619335371832,0.020910302848390433,0.9579516361173996,1.340845420087966,1.071923913811475,0.024432811918216144,0.937900540038647
Local Model,209,AN,Chemical + CS3,"(823, 11)",,Linear Regression,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.0301796563682362,0.8435045321856919,0.02112437816907909,0.9575973625099736,1.238592174041916,0.9166772354712376,0.022115859139403685,0.9448118445086757
Local Model,209,AN,Chemical + CS3,"(823, 11)",,Linear Regression,,Standard Scaler,,Median,,Out of time Split,"{""Test Size"": 0.2}",1.0180671963392742,0.8363521197436222,0.021021656925012962,0.958135993993714,1.2648440444524407,0.9427612659266047,0.022470277127070008,0.9431199944537589
