Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,AN,Chemical + CS7,"(823, 11)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3345593039724002,1.038327283772293,0.025915655423517224,0.9295748380576027,1.3789128557240071,1.0853528109463821,0.027302750404164463,0.9290350534269621
Local Model,209,AN,Chemical + CS7,"(823, 11)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.301976287980523,1.0364314719898733,0.025954060165371398,0.9345747796404593,1.2857005089704594,0.9692151849920075,0.024573015768707202,0.9320347485229337
Local Model,209,AN,Chemical + CS7,"(823, 11)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3726726542475012,1.0505692618233833,0.02628201799564269,0.9242910342014345,2.9234927036786065,1.3708524992971707,0.03324123709611739,0.6961123389657835
Local Model,209,AN,Chemical + CS7,"(823, 11)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2131098537124116,0.9173228621301965,0.023134485769536226,0.9424973498948961,1.383011009820148,1.0784512961783068,0.027099832767349043,0.925384048191487
Local Model,209,AN,Chemical + CS7,"(823, 11)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1833468052722151,0.9152445525428426,0.02280151760939099,0.94679863687181,1.2021084411759972,0.9352310227184766,0.02357832990342397,0.9363983680412657
Local Model,209,AN,Chemical + CS7,"(823, 11)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1705332051007324,0.9191644894678183,0.022947023406590602,0.9463533717492806,2.374434258546206,1.0406167695016584,0.02563891307066529,0.7818974369678142
Local Model,209,AN,Chemical + CS7,"(823, 11)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2095493412704807,0.940516074740055,0.023705885187783594,0.9427166007645567,1.2487767933388498,0.9414823127515433,0.023343318153340217,0.9396642533770403
Local Model,209,AN,Chemical + CS7,"(823, 11)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3192578971219726,1.0478673720432279,0.026221314360594286,0.9323486041263654,1.371441187080818,1.0847899234656149,0.027388592514525918,0.9251006502642372
Local Model,209,AN,Chemical + CS7,"(823, 11)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3363384016938604,1.0287440506930803,0.02601969443482194,0.930056088300322,1.5347302976237258,1.169358951289479,0.02909612924754437,0.9081844767454444
Local Model,209,AN,Chemical + CS7,"(823, 11)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4541979626025394,1.17209773432684,0.02929736081736045,0.9175638561652121,1.46693800384572,1.1999763163124635,0.03046381621705507,0.9138249950620452
