Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,209,"(823, 11)",1,Chemical + Feature Engineering,BidirectionalLSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",5.19966475280208,0.5443654627933177,3.9020344712352037,0.34250880842363773,0.09908218874803133,0.010152547287933395,-0.14158348835545714,0.33942649566549615,7.865859560098108,1.1118128683616884,5.636153053514884,1.1213103236810424,0.14341280359489036,0.02767544664513535,-1.5548901161911473,0.906903340701478
Local Model,209,"(823, 11)",1,Chemical + Feature Engineering,BidirectionalLSTM,Out of time Split,"{""Test Size"": 0.2}",1.5636494625032304,0.018459680944320222,1.1768246392710993,0.0167302130935553,0.02907557073398244,0.000428362345604854,0.9012295075262772,0.002324924477013302,1.8217659246183695,0.014184942240451436,1.4119285506431478,0.01715870430099218,0.03407275592503539,0.00045646999291332386,0.8819958860997814,0.0018342836978771624
Local Model,209,"(823, 11)",1,Chemical + Feature Engineering,BidirectionalLSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.578785439376762,0.03959565407969495,1.2009839727769822,0.025725895407154906,0.029524567104654797,0.0006533328762044067,0.902571212790074,0.0047471087383668354,1.9228203109726916,0.24358679268049807,1.401867302036781,0.11230875396320826,0.03446880534297589,0.0026734561698319665,0.8530999679574218,0.03513222418696016
Local Model,209,"(823, 11)",1,Chemical + Feature Engineering,BidirectionalLSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",2.363279054834222,1.1997282705282915,1.7386375885896368,0.8599394429672365,0.04400592482757879,0.02308991526665988,0.6894137909555234,0.3338786372830477,4.255577347258882,2.6877874319316204,2.8929271558775533,1.5643434122615618,0.0717933664850091,0.04008280975157874,-0.1512275809765694,1.224667843053277
Local Model,209,"(823, 11)",7,Chemical + Feature Engineering,BidirectionalLSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.3090924352765894,0.21408803278584396,1.0359582820860285,0.19410013040105087,0.025452863462055574,0.005157214833571688,0.9270740732673614,0.03205867310751131,12.069508890358687,9.056445741952825,10.036391630626861,8.319490164070936,0.2539833155324982,0.20591490997503115,-7.417387540730358,10.357520530050913
Local Model,209,"(823, 11)",7,Chemical + Feature Engineering,BidirectionalLSTM,Out of time Split,"{""Test Size"": 0.2}",0.9622352630996337,0.0597306161646894,0.7635346029811129,0.053339191468588475,0.018906440846351263,0.0013434132198591674,0.9626924037407217,0.0045150937293691115,1.7199419501933155,0.0938450620726561,1.427351891345188,0.066169787332594,0.0344469293322128,0.0016435045321015996,0.8944046382055504,0.011294343292499556
Local Model,209,"(823, 11)",7,Chemical + Feature Engineering,BidirectionalLSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.157739418289443,0.1225301375270988,0.9108595256561532,0.10219401892414369,0.02259503510978175,0.0028110895654351476,0.9474014650803624,0.011439691367521633,1.8665979228622696,0.49228783655853137,1.3655642230498974,0.15941055750262792,0.03391907156681107,0.003783578777684998,0.8569644367663444,0.07865964869872065
Local Model,209,"(823, 11)",7,Chemical + Feature Engineering,BidirectionalLSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.0963393748121213,0.20269161196350538,0.8750818204940065,0.1546661334105448,0.02175086278646549,0.0033426340676903526,0.9469100317307483,0.018342923464309824,4.490842560919369,2.857809019763544,3.3576728424072266,2.023757285968896,0.08316354213863453,0.05128551777333971,-0.3286324010040336,1.4621751624868946
Local Model,209,"(823, 11)",14,Chemical + Feature Engineering,BidirectionalLSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.3786106808350427,0.3126646330394995,1.1504422324044379,0.2825876070216087,0.02863516620463824,0.006855305064897008,0.9221727302057855,0.02970329449697163,8.643809329016058,6.1090320400435125,7.403585924421039,5.502263039689162,0.1832300642932846,0.13535674014130006,-7.253264157898591,9.727746667813154
