Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,209,"(823, 11)",1,Chemical + CS7,LSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",5.8707058638821845,1.0785760787580922,4.367600359443491,0.7997260632018676,0.11118452292500001,0.021038240183897865,-0.5127148151634632,0.6459736533197378,8.36412482809703,1.848559560940096,6.068985638473972,1.5084842807531584,0.15222656332621629,0.03999030069910907,-1.9995709391134036,1.4599328345911906
Local Model,209,"(823, 11)",1,Chemical + CS7,LSTM,Out of time Split,"{""Test Size"": 0.2}",1.3610220506093949,0.13105975913794707,1.0448029236952963,0.09466777782732658,0.025784726292334723,0.002280939880652762,0.9244861235175829,0.014370137357976445,1.8671531548064113,0.129295287938563,1.4117788642343834,0.11345905448763584,0.03417339998437404,0.00276468022336368,0.8754559164839341,0.017523325599415215
Local Model,209,"(823, 11)",1,Chemical + CS7,LSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4324197525572868,0.06313965966789145,1.0925163319383997,0.050609214358946185,0.02682874960025341,0.0012153341609133835,0.919695160459025,0.007015530703708163,1.7359164127070692,0.2971195202558035,1.2276003201567633,0.1012267155082828,0.030175894265035513,0.002489412257448516,0.8789686858262237,0.041830734361315985
Local Model,209,"(823, 11)",1,Chemical + CS7,LSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",3.099762598832793,1.5498391726772685,2.305331455529226,1.1268966898022077,0.058983012317405686,0.030006510182874813,0.46348601745588375,0.501347098621192,4.591140200581908,2.5576915938133116,3.428503720081635,1.8730860959575957,0.0859307253192925,0.04760048732537661,-0.2580831955102883,1.2479069691346023
Local Model,209,"(823, 11)",7,Chemical + CS7,LSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.5413300696643222,0.39424688283659604,1.2485902321438838,0.32503337385705694,0.03180415891167143,0.008168205197411007,0.9029388741256704,0.03798673668148915,6.4013511910821554,3.566208212035611,5.094861639113657,2.8979237813671723,0.12634011387709668,0.07031938781505788,-1.1012679942300803,1.6864924995954034
Local Model,209,"(823, 11)",7,Chemical + CS7,LSTM,Out of time Split,"{""Test Size"": 0.2}",1.1126671600888118,0.1414007058051371,0.9071510696804824,0.1458581577693237,0.022390785392396594,0.0037607205643499396,0.9495044800087317,0.0131929464202637,1.6234277216413668,0.1073374290064813,1.2857319202298416,0.10480395717016201,0.03111502941557796,0.0029621973648602776,0.9057922647915938,0.012413096507295487
Local Model,209,"(823, 11)",7,Chemical + CS7,LSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.0966188292220924,0.1508739797856297,0.8744945871180718,0.1289471073954712,0.021343013898356963,0.0031239598924913082,0.9524417970816532,0.013280860841254375,1.4293594640888623,0.2495460360095312,1.1114330949292344,0.1722129227695666,0.02723093373615865,0.003964824259360881,0.9188998430459636,0.025647581239521246
Local Model,209,"(823, 11)",7,Chemical + CS7,LSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.057144257145416,0.16417143764303152,0.8436310309350593,0.14894131915789505,0.021132473166627298,0.003677397159014769,0.9498620008731079,0.016914269256614736,2.9669734915110437,1.3018314495851895,2.3731477142333985,1.0733439016867912,0.0583894453036927,0.02684734765804966,0.5237413220360077,0.432117361624845
Local Model,209,"(823, 11)",14,Chemical + CS7,LSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.2640169684260776,0.23330801584979152,1.0113506353469153,0.18276586037200673,0.02500640729858937,0.004326980160797499,0.9338900400724237,0.022375116227481343,9.434070891864495,5.635228703503122,8.65542973109653,5.8328910625170955,0.200750479828271,0.13023682324485097,-9.047391758001117,10.940727960170088
Local Model,209,"(823, 11)",14,Chemical + CS7,LSTM,Out of time Split,"{""Test Size"": 0.2}",0.8959270879860687,0.11887462525998638,0.7275155103659344,0.1091942056103381,0.017866174414472996,0.002685862548978855,0.9672803459428793,0.008897187182916145,1.3000196640118726,0.2150345448681123,1.0382260933196787,0.16919384260410103,0.024702484539775218,0.004004833822773446,0.9380765174450268,0.02106080131369362
Local Model,209,"(823, 11)",14,Chemical + CS7,LSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.860402187716433,0.05576301517351853,0.6952728834671026,0.05465750192438678,0.017283892699920807,0.0014224699737120131,0.9711564332363337,0.003963802991863759,1.2063697384117305,0.16650240917876577,0.9708532323231737,0.12160391946461599,0.02415745210463915,0.003076737410750716,0.9429582691868461,0.01576632833721854
Local Model,209,"(823, 11)",14,Chemical + CS7,LSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.13454309778689,0.2156246083519455,0.942048133578405,0.23302228203461645,0.023848886824813446,0.005829636717347012,0.9412823746256552,0.02753929646544077,3.026839814958885,2.1558131801486904,2.295694299646327,1.2997560919290172,0.05671735533960533,0.03169705760799271,0.3214598577812,1.0306446900599107
