Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,AP,Chemical + CS3,"(593, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.684814252974132,1.7176899335618439,0.04326157557274504,0.6415217017215545,2.9763912695950383,1.9029502584725349,0.04855479348189956,0.5833548346594648
Local Model,209,AP,Chemical + CS3,"(593, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.1801019386965064,1.4123495047465815,0.03547013825654324,0.7704570566771619,2.624436621197732,1.7532327217253088,0.043985587552776685,0.632223764080372
Local Model,209,AP,Chemical + CS3,"(593, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.1992915225167007,1.4519395602039242,0.03617405928224215,0.7631708903687162,2.7996147830543836,1.644125937671888,0.040248060436605525,0.6068515393979723
Local Model,209,AP,Chemical + CS3,"(593, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.2816796686905416,1.4764867139879903,0.03693463021075805,0.7454700231239739,2.2431253188817855,1.5823328190401542,0.04023843335915933,0.7471917518116515
Local Model,209,AP,Chemical + CS3,"(593, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.2874878871775195,1.5329982997560712,0.038397752982301955,0.7383555217932606,2.287925265011228,1.4726970005950415,0.03666180745742308,0.7544761086925793
Local Model,209,AP,Chemical + CS3,"(593, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.3618210415508902,1.5863454863004378,0.03962965221603086,0.72621304486839,2.53780599592245,1.507984703062625,0.03889118010326459,0.6815852646559636
Local Model,209,AP,Chemical + CS3,"(593, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.2021309685989516,1.4567668401336122,0.03651388116995079,0.7602411244433775,2.5236847319734452,1.6407450069106806,0.04116612458103349,0.6939481398288256
Local Model,209,AP,Chemical + CS3,"(593, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.2057740723838766,1.4628462473482164,0.03658874962915037,0.7597156404995591,2.5243802797639496,1.681513009734918,0.04195061431980853,0.692047519891168
Local Model,209,AP,Chemical + CS3,"(593, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.2944826902456525,1.4822966782364055,0.03723472015861582,0.7391158454126704,2.575179489625412,1.7140830482628477,0.04239384089829813,0.680984185397884
Local Model,209,AP,Chemical + CS3,"(593, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.2309422845629734,1.4752739183816461,0.03699397044121857,0.7593483920393992,2.463459980672485,1.6565742588503254,0.04183211688781698,0.6801174953962799
Local Model,209,AP,Chemical + CS3,"(593, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.67630695790202,1.8553625273729633,0.046784038871855865,0.6509104394476115,2.8585592328844,2.0283416460674952,0.051317954496574,0.584231202657811
Local Model,209,AP,Chemical + CS3,"(593, 11)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.286645412378739,1.5194360411323475,0.038047247437366344,0.7421541899172885,2.285386033300315,1.4646029139801442,0.03648475144934791,0.7465795170873707
