Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,AP,Chemical + CS7,"(593, 11)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.910732053564077,2.1534070405275996,0.053494381702647045,0.5786540374380906,3.3885474639158675,2.599503525164951,0.0653750442242493,0.4599755176812982
Local Model,209,AP,Chemical + CS7,"(593, 11)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.698954036250512,2.038302610695111,0.050493943078764814,0.6481955562602633,4.152063843001904,2.5497639279405595,0.06133662646973377,0.0794666429197004
Local Model,209,AP,Chemical + CS7,"(593, 11)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.8007007897013922,2.1677722005401483,0.053845002363588,0.6159366112305863,2.969191749201615,2.3463584996071183,0.058039952692219905,0.5577819008653668
Local Model,209,AP,Chemical + CS7,"(593, 11)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.655957944295111,2.020760305304277,0.04982855711343712,0.6551168466072095,3.489975312927405,2.326078317933163,0.057841456940873275,0.3880317733241928
Local Model,209,AP,Chemical + CS7,"(593, 11)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.9542569065100963,2.2511025800203033,0.05594757619098957,0.5635942273722505,3.1983685078392385,2.2741489087120916,0.05731298061612871,0.5201924345345195
Local Model,209,AP,Chemical + CS7,"(593, 11)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.775797499545124,2.1475627110477244,0.053344849764295155,0.6218236747852388,3.6487558278246697,2.362912971432471,0.05937889838389411,0.3417878078628379
Local Model,209,AP,Chemical + CS7,"(593, 11)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.680175499004572,1.994747922390323,0.04947326106704748,0.6448475052184772,2.6967385527488084,2.218365292589198,0.05495341001564971,0.6505359460094859
Local Model,209,AP,Chemical + CS7,"(593, 11)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.838201371487411,2.1436179720399737,0.05295050232896502,0.6021770267678601,3.169926579708902,2.5487064073065735,0.06322198426660947,0.5144068461529878
Local Model,209,AP,Chemical + CS7,"(593, 11)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.921621355977825,2.233498619481138,0.0556963774471308,0.5770140018567587,3.6831332328037827,2.3357755370059237,0.05707669443652336,0.3474225509016531
Local Model,209,AP,Chemical + CS7,"(593, 11)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.5774620261296826,1.9774079051770654,0.048875169797722565,0.678784385245492,3.301343260602594,2.5023690563137286,0.06211070164732589,0.4255121731373427
Local Model,209,AP,Chemical + CS7,"(593, 11)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.7588564972203975,2.115398435150017,0.052124710430366254,0.6290432846888213,3.300810996371462,2.245135716029577,0.05594885208329677,0.44563115339519443
Local Model,209,AP,Chemical + CS7,"(593, 11)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.789229545809421,2.12527800612309,0.052605066163192396,0.616353761864934,4.804585140362817,2.826120536868311,0.06946933534817507,-0.12004214287816439
Local Model,209,AP,Chemical + CS7,"(593, 11)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.760952706432342,2.1027508707489138,0.05222370192588939,0.6309070207558424,3.1930350899519575,2.3870535618116917,0.05934399220907596,0.4582724997594413
Local Model,209,AP,Chemical + CS7,"(593, 11)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.659927630856656,2.0017697665565897,0.049608025482361595,0.6488366308017068,2.685439133129001,2.089215100821803,0.052052661642906194,0.658661777632876
Local Model,209,AP,Chemical + CS7,"(593, 11)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.8397669115479127,2.1687805416709507,0.05400435400737208,0.5988061863239817,3.6678603288767486,2.7973525483729453,0.06915392855866868,0.3617142491580323
Local Model,209,AP,Chemical + CS7,"(593, 11)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",9.473497938705078,7.618971073881116,0.18654069299045734,-3.2939536695352203,9.416526871312817,7.751257260640453,0.19382596891735857,-3.6163433510687177
Local Model,209,AP,Chemical + CS7,"(593, 11)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",6.343608671926643,4.811189164506629,0.11706952295386899,-0.8309435842256516,10.300837823951579,8.437992334365841,0.19773935027421027,-5.570221573156901
Local Model,209,AP,Chemical + CS7,"(593, 11)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",8.255858230790572,6.206441240107763,0.1520284740922428,-2.5116032153675127,8.582876335289155,6.487987200419101,0.16487287268902734,-1.9184913636098622
Local Model,209,AP,Chemical + CS7,"(593, 11)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",6.138314917462522,4.844232173676183,0.12219284675147339,-0.80535682310991,10.290878302601934,8.967885812123619,0.22788064042075884,-7.314487584478011
Local Model,209,AP,Chemical + CS7,"(593, 11)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",9.544651764471734,7.577724182859383,0.18450274899793168,-4.301723937786996,8.815571894748137,6.27603117624918,0.15740535406137665,-2.455771795085375
Local Model,209,AP,Chemical + CS7,"(593, 11)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",7.636575652869069,5.560162118140692,0.13676127557813197,-1.7901910501862166,8.083611016763516,5.5296803712844875,0.13931602201020574,-2.401946011128349
Local Model,209,AP,Chemical + CS7,"(593, 11)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",6.114741970693984,4.753355290027373,0.11606520416693943,-0.7012121096245663,9.63661051388189,8.10036198298136,0.1917094969119072,-4.750207663207158
Local Model,209,AP,Chemical + CS7,"(593, 11)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",6.758838000675135,5.249045696664365,0.12806003547055234,-1.353558832966753,7.766166917000432,6.180265426635732,0.15645312718579082,-1.3894950946755817
Local Model,209,AP,Chemical + CS7,"(593, 11)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",7.147820989074185,5.680798429123897,0.14539676739787705,-1.4480036189702319,10.200950653441307,8.832721392313642,0.2252082270998246,-7.169808894711956
Local Model,209,AP,Chemical + CS7,"(593, 11)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",9.841422952110332,7.840421007034627,0.19018408460307812,-4.6365417477876685,10.166192013096818,6.668872515360509,0.1684372537793729,-3.5957954278684525
Local Model,209,AP,Chemical + CS7,"(593, 11)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",8.683537573538873,6.853397744767217,0.1687238448460726,-2.607696540294348,9.905622899534212,7.967488964398693,0.1983781504041232,-4.108344574912783
