Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,AS,Chemical + CS3 + CS7,"(489, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7456264719136048,0.5982995892807846,0.01571265337531652,0.9389176605073899,0.8966552042601063,0.6938102089044218,0.017883811150590373,0.9040139050614627
Local Model,209,AS,Chemical + CS3 + CS7,"(489, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7235104486687711,0.5734456811470104,0.015083058637977017,0.9383683943607132,0.9949794887063637,0.7948000188218926,0.0206631472486881,0.9073520207497937
Local Model,209,AS,Chemical + CS3 + CS7,"(489, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7511049248870222,0.5938188629360556,0.015606936931198905,0.9367614693881772,1.0065626267207346,0.7850200351129255,0.02026490852895055,0.888804508981625
Local Model,209,AS,Chemical + CS3 + CS7,"(489, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7269845879749409,0.5774521079093194,0.015157768981217597,0.9434363965083389,0.9021566762469085,0.770546979194577,0.020421897749499537,0.8887595737458439
Local Model,209,AS,Chemical + CS3 + CS7,"(489, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7154867529292819,0.5661557292231987,0.014821252099434997,0.9426315256351121,1.0149500227070722,0.8130263589041805,0.021178504819113486,0.8867699657431122
Local Model,209,AS,Chemical + CS3 + CS7,"(489, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7317624920398726,0.5795743973643196,0.015232446852941166,0.9401324887929274,0.8568620174367083,0.6897565285708352,0.01802862933035869,0.9185911367744842
Local Model,209,AS,Chemical + CS3 + CS7,"(489, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7304222321316799,0.5842407943998889,0.015356191225651539,0.941652471251024,0.9746742868472503,0.8129889202751506,0.021024668460877957,0.884376029417608
Local Model,209,AS,Chemical + CS3 + CS7,"(489, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7491825084516004,0.584234961669,0.015317629845594387,0.9392107851897595,0.9136221466260737,0.7453482365862362,0.019720164558380222,0.8901099486271965
Local Model,209,AS,Chemical + CS3 + CS7,"(489, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7175110366807899,0.5668518643679875,0.01494111505516861,0.9425713601446655,0.987917846669891,0.7808482772066864,0.02009352242402096,0.890732101828054
Local Model,209,AS,Chemical + CS3 + CS7,"(489, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7491106612588272,0.5920097691434297,0.015560308450139965,0.9339093052497454,1.01874209333149,0.837166382119198,0.021471793634424214,0.9031434754132109
Local Model,209,AS,Chemical + CS3 + CS7,"(489, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7425985950758159,0.5805787225420865,0.015142015164327985,0.9407706170030029,0.9908790627964725,0.773958427389562,0.020376748785948664,0.8683672332488691
Local Model,209,AS,Chemical + CS3 + CS7,"(489, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7496154038206602,0.5940091279259865,0.015541239385112619,0.9420306364686288,0.9108004630560005,0.7556120738045793,0.02003172972978993,0.853825757297308
Local Model,209,AS,Chemical + CS3 + CS7,"(489, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7165454298732428,0.5585384200669884,0.014768679659667891,0.9410633998307878,1.001069017419853,0.7643520317705969,0.0195834144078542,0.8986189398874066
Local Model,209,AS,Chemical + CS3 + CS7,"(489, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7553185090204543,0.5925641617223845,0.015510732258232345,0.9356985095917256,0.8528649695752835,0.7067621737147854,0.018468196565928966,0.9218191402726185
Local Model,209,AS,Chemical + CS3 + CS7,"(489, 11)",,Random Forest,,,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.6969944339600448,0.5502250178087547,0.0145325785834872,0.940507192924016,1.0111361103751442,0.7530024087186306,0.019233520807677772,0.9132421835779978
Local Model,209,AS,Chemical + CS3 + CS7,"(489, 11)",,Random Forest,,,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.4774952826423747,0.36202682235403705,0.009435347520832372,0.9758376310817449,1.7207594551592496,1.394070415752062,0.034446016789992,0.48889877953379335
