Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,AS,Chemical + CS3 + CS7,"(489, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8684129881187681,0.6956627106727521,0.01789129054759187,0.9171436789205625,0.9832079314162133,0.7555168696812189,0.01932698054872063,0.8845887558171175
Local Model,209,AS,Chemical + CS3 + CS7,"(489, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8449890875054271,0.6742652444278484,0.01735818140726767,0.9159348353216321,1.053662544402727,0.8479036603655113,0.021883298416348274,0.8961011406989298
Local Model,209,AS,Chemical + CS3 + CS7,"(489, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8555517192234402,0.6885715104125008,0.017730731465745435,0.9179510386454599,1.218864613511735,0.9613541583625638,0.024543406438765014,0.8369516110865832
Local Model,209,AS,Chemical + CS3 + CS7,"(489, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8577019958229224,0.6845873469281963,0.01754887099014953,0.9212665100145061,1.056509214680106,0.879330226353234,0.023284474035591324,0.8474383812794044
Local Model,209,AS,Chemical + CS3 + CS7,"(489, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8417103686876278,0.6643297428987427,0.017067260695792476,0.9206045782251349,1.10228662819048,0.9066522735910341,0.023458615822461455,0.8664446156430496
Local Model,209,AS,Chemical + CS3 + CS7,"(489, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8417747819646659,0.6648936161909551,0.017059941359813355,0.9207785593409582,1.0046623965954053,0.8119179472631323,0.021046248336650183,0.8880845098579878
Local Model,209,AS,Chemical + CS3 + CS7,"(489, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8647344056011421,0.6865178081385591,0.017666306314170842,0.9182213424125402,1.1099968361998533,0.8565082550048889,0.022033285126434033,0.8500410664981695
Local Model,209,AS,Chemical + CS3 + CS7,"(489, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8453838974531719,0.6702637733400915,0.017185995204057322,0.9225967460826925,1.0241187870386308,0.8372984516377323,0.02196706681725377,0.8619215810107208
Local Model,209,AS,Chemical + CS3 + CS7,"(489, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8505286735354951,0.6817958958618456,0.01755105901785571,0.9193045072504219,1.140846952370276,0.8661053326665148,0.021965403221948822,0.8542845169257448
Local Model,209,AS,Chemical + CS3 + CS7,"(489, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8623529022939124,0.6806454658508277,0.017537498269814402,0.9124172817423131,1.191906754400971,0.95785121327823,0.024514470962528567,0.8674178854969488
Local Model,209,AS,Chemical + CS3 + CS7,"(489, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8480209127328464,0.6800402863251256,0.017422347660111262,0.9227600317163169,1.0415779000550802,0.7994177682059155,0.021071973707187948,0.8545525140004909
Local Model,209,AS,Chemical + CS3 + CS7,"(489, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8664896569979658,0.6907619368999501,0.017694257531647464,0.9225452077055204,0.9640602731851012,0.8183382773885863,0.021802051428120143,0.8362306064306959
Local Model,209,AS,Chemical + CS3 + CS7,"(489, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8389601450372748,0.6729954575638624,0.01733316305842815,0.9192057825710251,1.1752104093385558,0.9074352809361046,0.022957380311732948,0.8602795272283853
Local Model,209,AS,Chemical + CS3 + CS7,"(489, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8558590195820844,0.6777118282854685,0.017429527218786843,0.9174408431980031,1.0387275351459055,0.8578831808907622,0.022124540189990466,0.8840306622268523
Local Model,209,AS,Chemical + CS3 + CS7,"(489, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.8472229572149954,0.6726106721527694,0.017387568879537775,0.9120974909132424,1.3462851820854471,1.0176228788710138,0.025374059973505544,0.846197461544547
Local Model,209,AS,Chemical + CS3 + CS7,"(489, 11)",,XGBoost,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.7451262097218386,0.5196795277781335,0.01298217603840371,0.9411615775552085,2.225173586492375,1.592323112487787,0.03854333861499259,0.14533802703860743
Local Model,209,AS,Chemical + CS3 + CS7,"(489, 11)",,XGBoost,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.6989705358338979,0.4652361188616006,0.011476280072385688,0.9375769972106036,1.2759835383090576,1.0961393356323232,0.029167616857792178,0.7829002984230471
Local Model,209,AS,Chemical + CS3 + CS7,"(489, 11)",,XGBoost,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.6851295543915764,0.5185139643681401,0.013260169995956066,0.9404524712879659,1.469028711706639,1.3540439605712866,0.03637871139463835,0.76851151682808
Local Model,209,AS,Chemical + CS3 + CS7,"(489, 11)",,XGBoost,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.744835751714168,0.57484485576679,0.014573847621075244,0.9420538516544362,1.8885163115404444,1.594875335693353,0.04434328508127202,0.6872121170309946
Local Model,209,AS,Chemical + CS3 + CS7,"(489, 11)",,XGBoost,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",0.7059503079458083,0.5340005453530737,0.013359259132177627,0.9468102498410303,1.0067091516970412,0.8890840530395533,0.022913163635728616,0.8879952994999456
Local Model,209,AS,Chemical + CS3 + CS7,"(489, 11)",,XGBoost,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",0.7396254782886028,0.5414735249110647,0.013548362737654453,0.9394602219511089,1.2049976307249322,0.8360583929367993,0.021308602621300583,0.7964402505222565
Local Model,209,AS,Chemical + CS3 + CS7,"(489, 11)",,XGBoost,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",0.7819701353073546,0.5862157879453731,0.014815133409743633,0.9245560093213553,1.1908679068902515,1.0021049122751446,0.026686409249188234,0.8317351506423364
Local Model,209,AS,Chemical + CS3 + CS7,"(489, 11)",,XGBoost,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",0.797471932789825,0.6289746819472873,0.016045206536599816,0.9235140654722191,1.1540066630958652,0.973943027449246,0.02550209180698909,0.8611992257168535
Local Model,209,AS,Chemical + CS3 + CS7,"(489, 11)",,XGBoost,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",0.8283334423982807,0.6617582012024867,0.016929791673555822,0.9205122903665659,1.5518941678113607,1.2607529251663774,0.03375229432799537,0.7968999369747573
Local Model,209,AS,Chemical + CS3 + CS7,"(489, 11)",,XGBoost,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",0.8670920245143299,0.6996395073684974,0.017990947002040753,0.9190638491001792,0.7453863720868971,0.6098548512399881,0.016217920362554816,0.9224894772769651
Local Model,209,AS,Chemical + CS3 + CS7,"(489, 11)",,XGBoost,,,,,,Out of time Split,"{""Test Size"": 0.2}",0.847639199129544,0.6799114841939241,0.017479260025157976,0.9200848345509592,0.9098676986717742,0.7170475551060216,0.01858099943359925,0.9062880314505448
