Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,AZ,Chemical,"(1966, 21)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7900836272174192,1.39390453066838,0.028594962812176567,0.7623772764937962,2.2175702132364443,1.689127520256235,0.034371336235643944,0.6598026060054043
Local Model,209,AZ,Chemical,"(1966, 21)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8898402363885847,1.4554455824437897,0.029769918953291893,0.7443045600415451,2.0106526558917763,1.5464968499336538,0.03170048399465928,0.6772438459187449
Local Model,209,AZ,Chemical,"(1966, 21)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8940165166757417,1.4820472271065,0.0301568915520586,0.7325042765444201,2.1794604539916107,1.6977839384976843,0.03497274937514716,0.6775436361353311
Local Model,209,AZ,Chemical,"(1966, 21)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9698219221391666,1.5182248677558674,0.030879306458315294,0.7162860352593932,2.2138048428927113,1.7560925762768613,0.035547283882659035,0.6416243439978946
Local Model,209,AZ,Chemical,"(1966, 21)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8560056607630744,1.4535491540791199,0.029602429437577977,0.7513859195678139,2.3154918227081343,1.7885136300977535,0.0366276499285947,0.5867601853168252
Local Model,209,AZ,Chemical,"(1966, 21)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8801120377782894,1.4484263995221542,0.029536186027628832,0.7364547641996233,2.00509326508456,1.550656236367784,0.031485439063888315,0.7268758964680642
Local Model,209,AZ,Chemical,"(1966, 21)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.9078835397434282,1.4826952794215063,0.03039289979397599,0.7426695902689582,2.218825126266089,1.6840651999903078,0.03453501810573121,0.5829128778801358
Local Model,209,AZ,Chemical,"(1966, 21)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8549163844618322,1.4434617897998874,0.029450380305213023,0.752829482436211,2.1865793380775616,1.706593142210984,0.03472305358343246,0.6238309309982458
Local Model,209,AZ,Chemical,"(1966, 21)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8302023148269257,1.4153173365414111,0.028935924067272325,0.7553267660107055,2.2568823251993027,1.7783925976158699,0.03658977867343688,0.625273442859919
Local Model,209,AZ,Chemical,"(1966, 21)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8496471969535564,1.4369974979078095,0.02932730245279485,0.7412936014852849,2.222899932850896,1.7112854722195274,0.035138153447181644,0.6808818349832766
Local Model,209,AZ,Chemical,"(1966, 21)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8427316104051958,1.4283339279601879,0.029184590480741995,0.7548298914572654,2.0801490014706685,1.6338843040659976,0.03334855825750212,0.666993441404024
Local Model,209,AZ,Chemical,"(1966, 21)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.851246518800359,1.4298561639415923,0.029226935295642215,0.7494638175574239,2.32873821754593,1.816440213424256,0.03700846256014365,0.6034304733842968
Local Model,209,AZ,Chemical,"(1966, 21)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.87240387691098,1.461368631119191,0.029785360208298927,0.7423895189959981,2.1805867484894503,1.6380364803867482,0.033392672289020174,0.6592937656326916
Local Model,209,AZ,Chemical,"(1966, 21)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8491398754824755,1.44319693388942,0.029454113312308468,0.7488296035771556,2.126327840888064,1.6629817467609405,0.034147988618222797,0.6755073277253725
Local Model,209,AZ,Chemical,"(1966, 21)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.901837318390727,1.4774003316851378,0.030038295715967264,0.7349181059736081,2.171520002459575,1.6971786246651615,0.03460563669239121,0.6587635631195046
Local Model,209,AZ,Chemical,"(1966, 21)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4375984665114103,1.1237529007531957,0.02348615232486246,0.8448896999004527,2.5587048597750406,1.9419563838413787,0.04037091198758725,0.5694048597219072
Local Model,209,AZ,Chemical,"(1966, 21)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2520581140600924,0.970147640304911,0.019925473727274132,0.8860134133483769,2.297702905295316,1.8184625609847158,0.03727896067660359,0.589753363527717
Local Model,209,AZ,Chemical,"(1966, 21)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3887942991634095,1.095467617507114,0.022148489671392685,0.8561046929316931,2.302413100986052,1.7817697656384504,0.036314151202137365,0.6251536638749817
Local Model,209,AZ,Chemical,"(1966, 21)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3243796029135122,1.0382754263442127,0.021124947843590574,0.8695085895229147,2.4182906036273164,1.9343526540708917,0.03936412460876135,0.5903882219444643
