Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,AZ,Chemical + Physical,"(1966, 28)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.2310739974603844,1.6990285344379992,0.0349568422666343,0.6308785545686354,2.3032895478729816,1.7537276451895416,0.035793131962501376,0.6329938877738861
Local Model,209,AZ,Chemical + Physical,"(1966, 28)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.220870315685162,1.710180800069003,0.03510967599904057,0.6468825341930311,2.232750989369583,1.677366166354651,0.03462936911234202,0.6020018906068871
Local Model,209,AZ,Chemical + Physical,"(1966, 28)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.241283848322622,1.7033034184964755,0.03493440296766703,0.6254213309444344,2.193829148804355,1.7271655924471463,0.035917769842628504,0.673277855443128
Local Model,209,AZ,Chemical + Physical,"(1966, 28)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.156596926462275,1.6474175192005525,0.0337892863417446,0.6599328013481498,2.226228862591307,1.6847111186163606,0.03415645666077433,0.6375906009225452
Local Model,209,AZ,Chemical + Physical,"(1966, 28)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.204771687713982,1.6823239126859093,0.03457440096410485,0.6491718968811943,2.3338548652034934,1.7892625990262765,0.036766215313277645,0.5801797863483971
Local Model,209,AZ,Chemical + Physical,"(1966, 28)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.2611596332151582,1.717720287701532,0.03531806731217498,0.6188024005863089,2.102157232384899,1.6348310907465027,0.03351814026417873,0.6997926886931249
Local Model,209,AZ,Chemical + Physical,"(1966, 28)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.145528473100838,1.6438949140494508,0.03366811178892708,0.6745712230673575,2.2624527693328917,1.7044818373290598,0.034980759893772854,0.5663496774130361
Local Model,209,AZ,Chemical + Physical,"(1966, 28)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.202355128321196,1.6818575672724385,0.03457341555199163,0.651564262533586,2.3215097236698274,1.766113627716499,0.03593474809373029,0.5759728972997138
Local Model,209,AZ,Chemical + Physical,"(1966, 28)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.1851389075972216,1.6667264954693057,0.034109022996891905,0.6512241854838041,2.177492159021516,1.676447300743896,0.03458660581380764,0.6511732016742708
Local Model,209,AZ,Chemical + Physical,"(1966, 28)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.1983824754585863,1.690655578361631,0.03471250632504574,0.6345433409938962,2.3342098284533557,1.7739737388966363,0.03666909454676324,0.6481225084443334
Local Model,209,AZ,Chemical + Physical,"(1966, 28)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.1672209862184393,1.6573923562408126,0.03391777268312642,0.6608828585831898,2.13849792306517,1.6363638809774599,0.033439982979117835,0.6480495188057407
Local Model,209,AZ,Chemical + Physical,"(1966, 28)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.190885808268559,1.670698283298498,0.034291562606924356,0.6491015658750467,2.146574225572312,1.6554135370740146,0.03371456706551277,0.6630466189425213
