Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,AZ,Chemical + CS3 + CS7,"(1966, 23)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.779845697679142,1.3760065136807649,0.028390474019480316,0.7650875497710401,1.816807977073935,1.384470222364423,0.028254269777681456,0.7716535418505137
Local Model,209,AZ,Chemical + CS3 + CS7,"(1966, 23)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7913247936331416,1.3832236157855091,0.028493682216215923,0.7702680101014296,1.763305318619007,1.3554852104132387,0.027922214084884694,0.7517693165465743
Local Model,209,AZ,Chemical + CS3 + CS7,"(1966, 23)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.787801316196178,1.3860391055783956,0.028491829589427576,0.7616649996717393,1.783746222612918,1.3520866050394804,0.028212829478530394,0.7840072873210593
Local Model,209,AZ,Chemical + CS3 + CS7,"(1966, 23)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8004252178302433,1.3829931338164427,0.02856756450041823,0.7629843874121315,1.729927363508924,1.3469898830446811,0.02749360716950166,0.7811656108079801
Local Model,209,AZ,Chemical + CS3 + CS7,"(1966, 23)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.741385901134275,1.3391136209748025,0.027579971969606376,0.7811446454938471,1.987903492719875,1.5307674498371415,0.03177650411449031,0.6954165872756348
Local Model,209,AZ,Chemical + CS3 + CS7,"(1966, 23)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.803550151360679,1.3947943959395006,0.028756619772667677,0.7574819005745939,1.7180076997735696,1.3161318077924635,0.02712217480763648,0.7994876697269683
Local Model,209,AZ,Chemical + CS3 + CS7,"(1966, 23)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7717036274755416,1.3729920321312898,0.028330990895768477,0.7780937481517523,1.8515861052694607,1.408313114485643,0.02887045468073134,0.7095519556975749
Local Model,209,AZ,Chemical + CS3 + CS7,"(1966, 23)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.75936043690673,1.3576267427531745,0.02798521020302687,0.7776395032297545,1.8979077278872383,1.4356084045620447,0.02948416102309761,0.7165980783931577
Local Model,209,AZ,Chemical + CS3 + CS7,"(1966, 23)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7904822187681284,1.3732700763605672,0.028260634487841465,0.7658316010924437,1.7836914976166145,1.4099736029726941,0.029293872125812824,0.7659351894420633
Local Model,209,AZ,Chemical + CS3 + CS7,"(1966, 23)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7768381444438284,1.3668336390385452,0.028146338735372124,0.7612600433794059,1.8250593781435471,1.4020042242141875,0.02893581228142781,0.7848874749848308
Local Model,209,AZ,Chemical + CS3 + CS7,"(1966, 23)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7877522538246093,1.3716273244739892,0.028303515468149267,0.769241335889965,1.7841081490720883,1.3930992262515987,0.02863956157809745,0.7550337513787866
Local Model,209,AZ,Chemical + CS3 + CS7,"(1966, 23)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7918406608711293,1.3841113152732356,0.028570873404990673,0.7652850671605858,1.7674605133519847,1.353931183899178,0.027797125202697625,0.7715572193348528
Local Model,209,AZ,Chemical + CS3 + CS7,"(1966, 23)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7844286509993523,1.3788192482687485,0.028373997318461266,0.7660285639901194,1.7926371362209268,1.3683476078157002,0.028411252896566878,0.7697402008624128
Local Model,209,AZ,Chemical + CS3 + CS7,"(1966, 23)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7666178005900997,1.362850370009991,0.028040003773401736,0.7707474752105673,1.8643466743359696,1.4260207676705656,0.029482138844820226,0.7505417981864946
Local Model,209,AZ,Chemical + CS3 + CS7,"(1966, 23)",,Linear Regression,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7757200779449636,1.3676909599024842,0.028197109622894737,0.7689093652338223,1.8289139649515929,1.4172380656985715,0.0290607104476551,0.7579448749905936
Local Model,209,AZ,Chemical + CS3 + CS7,"(1966, 23)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.5032406236777671,1.1631605301090093,0.023912169207512397,0.6624283575204499,2.9201371455544067,2.3835784341794968,0.045560288915933646,0.11852441770074318
Local Model,209,AZ,Chemical + CS3 + CS7,"(1966, 23)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.6109733767100547,1.2633272784865472,0.024834903398886738,0.7194154001457906,2.309520096735193,1.827295807321529,0.03838548571948052,0.3559076306409975
Local Model,209,AZ,Chemical + CS3 + CS7,"(1966, 23)",,Linear Regression,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.793020613851828,1.366698019286022,0.028769394913860425,0.7683424033652131,1.538982340842985,1.1454794620607822,0.02426292706782606,0.8415334808606513
