Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,AZ,Chemical + Physical,"(1966, 28)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6432088542074472,1.2846682332550894,0.026351399283179564,0.7997710539778701,1.8454181733519268,1.4166541220572986,0.02889827361104513,0.764405140706456
Local Model,209,AZ,Chemical + Physical,"(1966, 28)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7649250990329033,1.3847282952892495,0.02822495751667387,0.7769894756022873,1.8605728391291405,1.4455526415021682,0.029383596890985846,0.7236281652767144
Local Model,209,AZ,Chemical + Physical,"(1966, 28)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8732263733100314,1.453851587061509,0.029922988166998874,0.7383445129263388,1.883883543789872,1.483835661987617,0.030735426769256145,0.7590754419917985
Local Model,209,AZ,Chemical + Physical,"(1966, 28)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8195883832289697,1.4290242907505306,0.029086357423620313,0.7579120956059393,1.9261079638611465,1.517927873528944,0.030864175588512687,0.7287179313815085
Local Model,209,AZ,Chemical + Physical,"(1966, 28)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6672613691194396,1.2913481050892694,0.026251884182807803,0.7993798717176985,2.0834326661425213,1.5632944762251728,0.03211889912718513,0.6654395548806831
Local Model,209,AZ,Chemical + Physical,"(1966, 28)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7026792795966017,1.3242254354268228,0.02714793626119083,0.783850909947914,1.72171741598861,1.3493729315433423,0.027555654545850187,0.7986207970827582
Local Model,209,AZ,Chemical + Physical,"(1966, 28)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7666550279072377,1.3947068909816644,0.028448815191928798,0.779356622572577,1.8939451076359657,1.4613631930363402,0.02961285846360904,0.6961107021304065
Local Model,209,AZ,Chemical + Physical,"(1966, 28)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7859350220764283,1.3927491315973832,0.02839761518371335,0.7708714008345855,2.070421434034906,1.5953668201242706,0.032611615608101954,0.6627359022097086
Local Model,209,AZ,Chemical + Physical,"(1966, 28)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7143419958473345,1.3475682912779254,0.02744766249365966,0.7853241506217795,2.223973492180867,1.5651295057689851,0.0324168654420557,0.6361219528656247
Local Model,209,AZ,Chemical + Physical,"(1966, 28)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8338715577752542,1.4366987365412247,0.029394701704684723,0.7456877954446414,2.00559416234937,1.5842001723272476,0.03248201883636716,0.7402247243637239
