Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,AZ,Chemical + CS3,"(1966, 22)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0485372486054594,1.5952732654018256,0.032869470012121565,0.6888075449834097,2.1733694431507997,1.658494010189463,0.033955315089483684,0.673229128017595
Local Model,209,AZ,Chemical + CS3,"(1966, 22)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.075175382015143,1.6151621649391097,0.033252052018715755,0.6916936897008139,2.0895631888872948,1.6255659632403736,0.03366241734830486,0.6514127920876579
Local Model,209,AZ,Chemical + CS3,"(1966, 22)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.077122129363791,1.602261205577426,0.03293679457829028,0.6782834634206313,2.163069060791224,1.7031436075691053,0.03552152158846706,0.6823756882906522
Local Model,209,AZ,Chemical + CS3,"(1966, 22)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.059668429507775,1.6030483330728442,0.03307955407889337,0.6898145627875873,2.1529064463123064,1.669089989504438,0.03409236570830736,0.6610698913242512
Local Model,209,AZ,Chemical + CS3,"(1966, 22)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0614877044581257,1.6049162324491908,0.03305838695912143,0.693289512477676,2.220369506584699,1.7064513577759723,0.03514921928872122,0.6200152533043791
Local Model,209,AZ,Chemical + CS3,"(1966, 22)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.070883438468113,1.6057115050065907,0.03309366042613982,0.6802584916165982,2.1443920608527254,1.6633090101522865,0.03422376956303218,0.6876084674408247
Local Model,209,AZ,Chemical + CS3,"(1966, 22)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.083789525862505,1.6207830207179634,0.03339658452389649,0.6930305962390871,2.2400231720402566,1.7007261378164509,0.035139563204305994,0.5749053372161566
Local Model,209,AZ,Chemical + CS3,"(1966, 22)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.090509413889765,1.6192470266799293,0.033383961621961285,0.6860559565828357,2.159281230396902,1.691813209281321,0.03456033394886382,0.633164783492361
Local Model,209,AZ,Chemical + CS3,"(1966, 22)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.092764543481595,1.6203425699029093,0.033352694129912014,0.6800891283496474,2.111335159611397,1.6644080261541072,0.03442735680430001,0.6720474575186708
Local Model,209,AZ,Chemical + CS3,"(1966, 22)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0551268262780167,1.597126722487385,0.03286365247156377,0.6806207995056113,2.2976979645630258,1.787094465648853,0.03709119940690616,0.6590445948938531
Local Model,209,AZ,Chemical + CS3,"(1966, 22)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0851067470443643,1.6241077879306312,0.033437399183602744,0.6860937701963957,2.0892225069728703,1.59104867150941,0.03275801043660721,0.6640819896421102
Local Model,209,AZ,Chemical + CS3,"(1966, 22)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.1051304564800724,1.6370269765690186,0.03375536108475482,0.6760335962513013,2.2131953926863344,1.7214251608035642,0.03521036911864508,0.6418066550039911
Local Model,209,AZ,Chemical + CS3,"(1966, 22)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0806003623471763,1.615168254389099,0.03327874108979722,0.6819160142151061,2.191505069985192,1.6688652038574212,0.03437582268595467,0.6558733530480769
Local Model,209,AZ,Chemical + CS3,"(1966, 22)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0621272075971087,1.5995138547864605,0.03288772516803638,0.6876368255542378,2.146157058356691,1.6618488690325321,0.03445055617272166,0.6694269500627472
Local Model,209,AZ,Chemical + CS3,"(1966, 22)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.070455584338499,1.5976735313303971,0.03288615053594249,0.6858296674010164,2.17967866027078,1.7247787262040541,0.03567924931494311,0.6561946148383468
Local Model,209,AZ,Chemical + CS3,"(1966, 22)",,XGBoost,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.5085119146287962,1.1568563789319066,0.023800434071155726,0.6600567368740895,3.590843422771586,3.0538035042678278,0.057324550912190096,-0.33289741448531207
Local Model,209,AZ,Chemical + CS3,"(1966, 22)",,XGBoost,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.6145958328079433,1.322661782525909,0.025966253060533434,0.7181521289325592,2.9680946810188513,2.449557485459726,0.052662826350275284,-0.06380043591538032
Local Model,209,AZ,Chemical + CS3,"(1966, 22)",,XGBoost,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.9736921560737746,1.5228103589100446,0.03201528232249691,0.7193049128178566,2.1622432848252835,1.6523051684415744,0.035055904715083484,0.6871909139588936
Local Model,209,AZ,Chemical + CS3,"(1966, 22)",,XGBoost,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.3824563405147554,1.0820386242714661,0.022955162308563527,0.8743590112376849,1.9477451275827005,1.5571133577370924,0.03199286912508834,0.7572324301961225
Local Model,209,AZ,Chemical + CS3,"(1966, 22)",,XGBoost,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.671135851065852,1.3185607521397285,0.027354626278227594,0.8229154024699806,1.8221956207261427,1.4798228106921238,0.031780925317698154,0.6371958772262549
Local Model,209,AZ,Chemical + CS3,"(1966, 22)",,XGBoost,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.5022747715707996,1.157916308169638,0.023774567288330738,0.6680380671317365,3.3014294101925445,2.7555564623724806,0.05204376360328083,-0.15885440412349605
Local Model,209,AZ,Chemical + CS3,"(1966, 22)",,XGBoost,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.9367369614694447,1.5725911496982763,0.03134189688379274,0.6223268934855178,3.383328988533425,2.7310289855397087,0.05967446558718489,-0.026801744885406542
Local Model,209,AZ,Chemical + CS3,"(1966, 22)",,XGBoost,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",2.232114342306252,1.7477686964315824,0.035624865316883185,0.5788942825467337,2.078817461696892,1.633438087020079,0.034606930754135005,0.7181087962563689
Local Model,209,AZ,Chemical + CS3,"(1966, 22)",,XGBoost,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",2.147960469880627,1.6798330981556961,0.03442217858555216,0.6433664898524535,1.8484932348814198,1.438748630908654,0.030314077789609654,0.7781863894067453
Local Model,209,AZ,Chemical + CS3,"(1966, 22)",,XGBoost,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",2.139486035438294,1.659228177678665,0.03409820876658403,0.6601216934167984,2.045862398828003,1.6159245668930353,0.03401018763286136,0.697789329885449
Local Model,209,AZ,Chemical + CS3,"(1966, 22)",,XGBoost,,,,,,Out of time Split,"{""Test Size"": 0.2}",2.1049532316454242,1.625018275117753,0.033380130435975756,0.667426240649531,2.036530720967681,1.6230465070850342,0.03372761472383412,0.7170951490251005
