Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,209,"(1966, 25)",1,Chemical + Feature Engineering,GRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",2.6612783149726176,0.19508736554746675,2.072346047079487,0.13604663646485426,0.042211212253234744,0.0026194699935169984,0.3637641064823443,0.1910909425047481,4.4391356540117535,1.0238184364887044,3.4384929801844355,0.7974641612416633,0.07003314115605269,0.01523350086997011,-0.9268730372462729,0.7886574566539268
Local Model,209,"(1966, 25)",1,Chemical + Feature Engineering,GRU,Out of time Split,"{""Test Size"": 0.2}",2.02257287210076,0.04019733272123308,1.5934658228491605,0.03134140117071855,0.032492097192760104,0.0006388241214765237,0.692827069083866,0.012271447521373697,2.2645155231552,0.0399541053708872,1.8148113128094099,0.04659335466889807,0.03757603759370531,0.001060236734086382,0.6500997605445545,0.012417811585381175
Local Model,209,"(1966, 25)",1,Chemical + Feature Engineering,GRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0516947886399737,0.054398597218655094,1.5915646277736653,0.03830882207687128,0.032292452877198244,0.0006974701470027958,0.6919610383602003,0.017280938699482728,2.265753026394196,0.12703738468024509,1.7479402197611764,0.09849245750963155,0.03553983228315454,0.001994192936640838,0.6215208399671206,0.04940464963514883
Local Model,209,"(1966, 25)",1,Chemical + Feature Engineering,GRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",2.0937767498175153,0.08627919513594011,1.6581170500978504,0.07042613793093346,0.033478339846073846,0.001419093057142488,0.5672042696512918,0.1567486233798727,3.1094915581631057,1.1411061714664235,2.5027976756431287,0.9995026157913349,0.051228040040170696,0.01849959971463876,-0.0011463915254039225,0.9794710215704399
Local Model,209,"(1966, 25)",7,Chemical + Feature Engineering,GRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",2.530396927064308,0.5797225351556253,2.1228023350823553,0.5053710571544934,0.04308635548702031,0.010859827270941735,0.3616802917742765,0.3030926895232865,5.417122945847836,1.39927987495762,4.569749145507812,1.2313586916056125,0.09254697126989758,0.02510362880426689,-2.3086299756110913,1.3177359128321566
Local Model,209,"(1966, 25)",7,Chemical + Feature Engineering,GRU,Out of time Split,"{""Test Size"": 0.2}",1.7869207060045555,0.10809751861655607,1.4081754647340297,0.08973577717467233,0.02862259087320576,0.0015826498147255735,0.7558124502275191,0.02972714903886929,2.6097599920530126,0.0631347904701452,2.003543314203485,0.030052855693307134,0.041354367191424025,0.0003486393625246179,0.5317392991230104,0.022477988709540892
Local Model,209,"(1966, 25)",7,Chemical + Feature Engineering,GRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.905778626095778,0.1644951696046673,1.5075622958683028,0.14351424546700542,0.030716153580710583,0.002887809987965148,0.7287187604694654,0.05264191952816123,2.4337755462964874,0.1503003335273959,1.9118102266032588,0.1205171243131843,0.03895649897302877,0.002430007633370066,0.5721490708517607,0.04964650710146405
Local Model,209,"(1966, 25)",7,Chemical + Feature Engineering,GRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",2.092753479998169,0.4056957213622639,1.7201457900267243,0.44424696736715036,0.0345397797823074,0.008981389961670262,0.431833612597007,0.5030491496218807,3.9561087237835926,1.545482671887753,3.173605594049396,1.2522209005738232,0.0643818462836275,0.022112486819011713,-0.7051766403122837,1.8621539707983683
Local Model,209,"(1966, 25)",14,Chemical + Feature Engineering,GRU,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.7950701554122972,0.2806617600985634,1.44996905017372,0.2544552352411186,0.029516622249943333,0.005081878763366236,0.6497095846358046,0.1416612968265518,3.4907145008765057,1.0240554485204052,2.9247938650625716,0.8971356747107893,0.05891306774458026,0.01915490609299649,-1.4770898317162073,1.2910067089725294
Local Model,209,"(1966, 25)",14,Chemical + Feature Engineering,GRU,Out of time Split,"{""Test Size"": 0.2}",1.66713018100538,0.016850471771442294,1.3082759792207226,0.013090140626602905,0.026510959705639634,0.00020718307945053827,0.7880260579183108,0.004296746742850071,2.383078896588048,0.1267588989430593,1.883171523988363,0.11788960441336671,0.03871387010153913,0.0025434684381004926,0.5866671064928493,0.043180098117571016
Local Model,209,"(1966, 25)",14,Chemical + Feature Engineering,GRU,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7425934748104785,0.12019902526300531,1.3723520909130544,0.10291606597167965,0.027838432984163598,0.0019818807315981142,0.775951334850287,0.03305678079475884,2.51789579116597,0.16430851030559143,1.9654669828516491,0.12969318485576276,0.040037497500148525,0.0026275194530310307,0.5470657039554153,0.07726073065512996
Local Model,209,"(1966, 25)",14,Chemical + Feature Engineering,GRU,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.8691076012273429,0.1675115031714725,1.4919192007071866,0.15351301787042665,0.02979431515395598,0.002723005446914932,0.5679514190979711,0.23515896281614282,3.6992076053535827,1.5088385902733115,2.849768567722593,1.1456094267026689,0.058665409575775596,0.02123735904206165,-0.6885593330991643,1.971976087670337
