Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,209,"(1966, 21)",1,Chemical,LSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",4.5449310962658,0.29557769024244285,3.422798779967485,0.2581279039293471,0.07002353747672459,0.003941878829477902,-0.9674205664261658,0.9085202050946738,7.205115879558268,1.7737310162994862,5.623446177229098,1.581483175372583,0.11454447859746919,0.029343989970476724,-4.328107997897251,2.74817871923438
Local Model,209,"(1966, 21)",1,Chemical,LSTM,Out of time Split,"{""Test Size"": 0.2}",2.034504973043243,0.01856317192588994,1.5981596970173946,0.005832204056712228,0.03261914728479683,0.00019100345469370795,0.6892889183425511,0.005687541875622182,2.2600447148887315,0.01609936816113378,1.7851446735879086,0.039335418590286976,0.036965447479766926,0.0010230939431582267,0.6515707841770803,0.004976225318061559
Local Model,209,"(1966, 21)",1,Chemical,LSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",2.0821407195063375,0.04476792733925101,1.6126353434219949,0.02857815902294542,0.032779288576865864,0.0005097304841122874,0.68283212459132,0.014562402268973892,2.2742101388137166,0.11819629850081981,1.7604824559540329,0.09621305152455675,0.03585813432435423,0.001963688055115237,0.6188641979676264,0.04733016769712175
Local Model,209,"(1966, 21)",1,Chemical,LSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",2.7527238203084043,0.948505362588917,2.1408198822407436,0.7172707584334123,0.04325233779475008,0.014710323752336319,0.011053627278638078,1.0633963327097375,3.9927180327355947,2.5868945150403895,3.188962333282564,2.1117527378270387,0.06471284392192274,0.04018818724633138,-1.2229626381883054,3.247133431258213
Local Model,209,"(1966, 21)",7,Chemical,LSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",2.743526418348849,0.591428231188307,2.3490640883332263,0.5949471501989858,0.047610600332575,0.012684417551267384,0.1947797522136807,0.536881754358669,5.411435611579973,0.9977603645742993,4.442045093883168,0.9055937314451974,0.09018703840958689,0.018948387809347753,-2.313952044617222,1.376615229282188
Local Model,209,"(1966, 21)",7,Chemical,LSTM,Out of time Split,"{""Test Size"": 0.2}",1.7209038820530445,0.12081495155342926,1.363501954892988,0.11454940296181931,0.02790342409223433,0.0024486357843374195,0.7732355268590391,0.03206088452213308,2.5899002783846967,0.13369646443038155,2.0073319924844255,0.09767027870636046,0.041613945772035005,0.002171990236014979,0.5378804340241011,0.04701402736728019
Local Model,209,"(1966, 21)",7,Chemical,LSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8370869427928538,0.16377388487333433,1.4496463729802296,0.1430955326500424,0.029440856544722956,0.002964845294907775,0.7479109219042865,0.04883689856188681,2.3785299451256576,0.1429402929994587,1.86735090908342,0.09442930456007577,0.03802726318884151,0.0019593568577565604,0.5910493446987275,0.048988180851749365
Local Model,209,"(1966, 21)",7,Chemical,LSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",2.0047139080752316,0.3676509887865046,1.6504693208411603,0.3866572339374212,0.033234893635698134,0.007815562855886419,0.4845660241189274,0.4329779700323232,4.007153711988027,1.6202156073702467,3.2495048335756027,1.372849172097638,0.06675234098334436,0.026000854726911854,-0.7695546686712231,1.8539875569995599
Local Model,209,"(1966, 21)",14,Chemical,LSTM,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.9086691939690212,0.15972658847232352,1.5600019291054703,0.15900906034777912,0.03181590066259969,0.0036846691256619793,0.5690359559269773,0.25806215830309215,3.236541774066143,1.059094220315125,2.6012305083098224,0.9579945906448301,0.052405008954937576,0.019371566006726803,-1.1963473510245588,1.468120270567941
Local Model,209,"(1966, 21)",14,Chemical,LSTM,Out of time Split,"{""Test Size"": 0.2}",1.5211313402912126,0.0759662065102858,1.2017209981822565,0.058692301101412755,0.02467285221593028,0.001289522308976417,0.8231055036488851,0.017341987462249544,2.4290777332602063,0.0321586411656427,1.9556637553908427,0.034577085844665754,0.040703647138753095,0.0006559086763511084,0.5716931223750591,0.011375542563526757
Local Model,209,"(1966, 21)",14,Chemical,LSTM,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5874583710799217,0.08796182610034219,1.2457296979717265,0.07000050170754218,0.02535502584184354,0.00129458707979895,0.8144713912934312,0.021213258661222506,2.5220260222946127,0.12261897938924995,1.977634976382524,0.10302152118300303,0.040356465015995706,0.001953607543722929,0.5466613778994264,0.06656407289313813
Local Model,209,"(1966, 21)",14,Chemical,LSTM,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.7662217255241015,0.13731582384850435,1.4040807115916172,0.1220661343226867,0.02801397039904182,0.0019934222156463986,0.6080028720845684,0.22931729527163933,3.242111685895898,1.0871980348683217,2.5693893503987226,0.8906030209308132,0.05280211453120352,0.01596889608505717,-0.20199259999554284,1.2257434179917504
