Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,209,"(1966, 25)",1,Chemical + Feature Engineering,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.4686554455365999,0.17011590784869277,1.147756513364755,0.11957197927593231,0.023975804970437255,0.0021791927469453102,0.7965393445390748,0.0865562027388914,2.9997563655390214,0.6434157982982134,2.420337097554266,0.5782061647581446,0.050338777672639716,0.012275025823202118,0.10117346226146351,0.4822728957909406
Local Model,209,"(1966, 25)",1,Chemical + Feature Engineering,Transformer,Out of time Split,"{""Test Size"": 0.2}",1.5891331950278982,0.005752002696559766,1.2504960125639235,0.013028965239474865,0.025732640686458596,0.0003708843324982053,0.8104475654746431,0.0013739176998404838,2.4255410381278604,0.012696763353552246,1.9192478418753633,0.02510150845736078,0.04006142248316615,0.0005957365651468956,0.5986829449278898,0.004194390366015458
Local Model,209,"(1966, 25)",1,Chemical + Feature Engineering,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6599726285401204,0.037040081960170765,1.300981752751059,0.032242133274527296,0.027057906161703324,0.0007474620404349602,0.7984574773344332,0.00835971516234664,2.176939536691843,0.1090388354713406,1.7055842697114583,0.09361184583562068,0.035342421635551034,0.0019997275288969824,0.6500581980364006,0.04872997597322902
Local Model,209,"(1966, 25)",1,Chemical + Feature Engineering,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.599958746757612,0.13611497363597047,1.2531003564906364,0.11240095465647551,0.025737159778050613,0.0025476070327459127,0.7600341772896412,0.033131253276354244,3.093251636404405,0.6321641829584566,2.5223870676956417,0.5575333391528061,0.052519773474041104,0.012373096767850955,0.16978540206762074,0.43552791345341
Local Model,209,"(1966, 25)",7,Chemical + Feature Engineering,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.6120586212227785,0.1403304246871827,1.3132779660625549,0.10784619017385938,0.027390516046427543,0.0015934046718627322,0.7133976897584445,0.16567328515636892,3.3746771136711167,0.7754073778747371,2.8735967046564257,0.7736000319563103,0.05941270598883354,0.0168468262811144,-0.3669136216495877,0.6853451913525543
Local Model,209,"(1966, 25)",7,Chemical + Feature Engineering,Transformer,Out of time Split,"{""Test Size"": 0.2}",1.6081499410048072,0.03566668810828201,1.2753150699152034,0.03872498148959051,0.026508826103166235,0.0008798517108320777,0.8028516207620745,0.00880849082292178,3.24042670394045,0.06654362800969676,2.6451350719005133,0.03670486613831275,0.05606175530628671,0.0010741617909128711,0.2781948280068497,0.02951715762966862
Local Model,209,"(1966, 25)",7,Chemical + Feature Engineering,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6075898481792499,0.10971777199263034,1.2698057173241262,0.09354732802449067,0.02642714743599937,0.002041236070819918,0.8078915141164739,0.026863009371766056,2.6695193505542423,0.174544375406254,2.1039642391590347,0.13831681768439558,0.04363766304968073,0.0029532819717173883,0.4828323300611498,0.07718493212799958
Local Model,209,"(1966, 25)",7,Chemical + Feature Engineering,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.7237427579496496,0.13139622223119435,1.3827514232829539,0.1170755565011518,0.028526034034601803,0.0024758760447180328,0.685331952349,0.09240521511667689,3.7627489919822694,0.8190396266348171,3.0389088397416004,0.742392757084366,0.06390102421462483,0.017513720616486258,-0.2519610312514629,0.6651170114263291
Local Model,209,"(1966, 25)",14,Chemical + Feature Engineering,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.7118267847037962,0.09630202404679412,1.395877325707682,0.06121957869239168,0.028981694285931406,0.00114718315047961,0.6524448277692568,0.20700142461290785,3.157467353509816,0.6494579605890666,2.73285132514106,0.5037647533508129,0.05487475181289054,0.010221400292823084,-0.9970376175291313,0.7753101753313466
Local Model,209,"(1966, 25)",14,Chemical + Feature Engineering,Transformer,Out of time Split,"{""Test Size"": 0.2}",1.6752604450045379,0.060101930738372576,1.309673535457308,0.049460588427330275,0.027055387374244205,0.001048792712600085,0.7856999005000187,0.01530084079967813,2.8292611995139665,0.16009400479959293,2.2537745834558787,0.1996139112639772,0.04698003705879861,0.004027430387411998,0.4171852547751815,0.06458975475178176
Local Model,209,"(1966, 25)",14,Chemical + Feature Engineering,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8200088081627601,0.09247933066106695,1.4496180143392114,0.09569482511234559,0.030182340279712814,0.0020369389547933636,0.7563638641341319,0.024926557791054935,2.8066586446218644,0.14753230519751626,2.2305666477405013,0.11318327652107063,0.046264357041183396,0.0027357570641969825,0.4393907318871312,0.07677384273169384
Local Model,209,"(1966, 25)",14,Chemical + Feature Engineering,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.8962271982666876,0.06715830879000724,1.5067833361575929,0.057119014061598826,0.03101164885715332,0.0014497543765341256,0.5816853700994351,0.1741618828806161,3.7511354982474296,0.669399606502986,3.019247624468093,0.5677009012447314,0.06318910779585422,0.014182564079646761,-0.25722931573568975,0.49894491343202196
