Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,E,Chemical,"(938, 14)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8989475449697215,1.379678110880534,0.031663052662224314,0.6153937700239274,2.0261127449606153,1.5071185732902346,0.03439521475341818,0.5129076284687176
Local Model,209,E,Chemical,"(938, 14)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8795070165623584,1.3855043732910153,0.03182647948634597,0.6216973502245512,1.7145004276618991,1.2985801802290249,0.02970691098660339,0.6567245359981243
Local Model,209,E,Chemical,"(938, 14)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.786963806245362,1.3126815382080077,0.030067780289365412,0.6429191820622026,2.0143275103669804,1.4155976607951706,0.0329930978543845,0.5995345750922756
Local Model,209,E,Chemical,"(938, 14)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7574095096286377,1.2657200714802146,0.029200858024680285,0.6526333281772843,2.294773324256645,1.7037811956558644,0.03994734905559948,0.4938415022188113
Local Model,209,E,Chemical,"(938, 14)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8112852073540195,1.3108595921990087,0.030442970898071065,0.6509553607174633,1.9919310954907679,1.4394399613161144,0.03220673373628675,0.5031435696562117
Local Model,209,E,Chemical,"(938, 14)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8455736560908782,1.346344004191081,0.030862180784418287,0.6302216190231504,2.137041568172774,1.5578015924007358,0.03603290397611721,0.4998081404474025
Local Model,209,E,Chemical,"(938, 14)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8883167961617886,1.3699331007893882,0.03143530115051759,0.6294983329900521,1.8226022256332501,1.388648507463171,0.031887160531466854,0.5560142339608393
Local Model,209,E,Chemical,"(938, 14)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.884854496891927,1.3641554523925778,0.031209635460114488,0.6007118655950716,1.897034517761409,1.3701967856224548,0.031379961318833895,0.6531992143731873
Local Model,209,E,Chemical,"(938, 14)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.858576991317462,1.378424915379754,0.0317889543711588,0.6305791991062915,1.9539675201481108,1.4963219553901546,0.033870811526108935,0.5527365818977367
Local Model,209,E,Chemical,"(938, 14)",1,BidirectionalGRU,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8002746216755492,1.3232782688674216,0.030451091051246642,0.6354335190068969,2.0375826882072374,1.4502825070957455,0.03340198974247097,0.6014469767813224
