Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,E,Chemical + CS3 + CS7,"(938, 16)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.526932597000655,1.1911465031738293,0.026932306898917163,0.7513261539740234,1.77577096493072,1.307929771098682,0.029680772770153366,0.6258394351034069
Local Model,209,E,Chemical + CS3 + CS7,"(938, 16)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5176628479208536,1.1631271255289708,0.026413334081955852,0.7533380922172572,1.362945715151568,1.0360475231738797,0.023627565935191035,0.7830674683648942
Local Model,209,E,Chemical + CS3 + CS7,"(938, 16)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6489403805956806,1.2479971621500665,0.028092425147635613,0.6959500646575689,1.5735288450038243,1.2137461609536015,0.02755386634262906,0.7556264064855112
Local Model,209,E,Chemical + CS3 + CS7,"(938, 16)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5241414410964238,1.1358621525466048,0.02558706477035343,0.7387280740568447,1.5709377138218612,1.2665280012650921,0.0287553159667834,0.762794432050363
Local Model,209,E,Chemical + CS3 + CS7,"(938, 16)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.492975277855362,1.1510081792798394,0.026226772934166212,0.7628557906217893,1.6099609338049152,1.234332137816732,0.027513584089557848,0.6754265678084104
Local Model,209,E,Chemical + CS3 + CS7,"(938, 16)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4985033403980723,1.1381438334960932,0.025773751364753447,0.756222183591523,1.6872029683343586,1.3016991879077662,0.029348017725372925,0.6882220900220366
Local Model,209,E,Chemical + CS3 + CS7,"(938, 16)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5240408598521682,1.1741815466308587,0.026568173074272495,0.758657573157999,1.5169957332254216,1.2256647283675826,0.027802610983549622,0.6924229175481513
Local Model,209,E,Chemical + CS3 + CS7,"(938, 16)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.555090855700491,1.2003063391927078,0.02710586819918449,0.7282044889874826,1.521743853340439,1.1245964374948052,0.0254888945745759,0.7768418673675304
Local Model,209,E,Chemical + CS3 + CS7,"(938, 16)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5671497299255586,1.1973940553220712,0.02702505375329646,0.7373476946335329,1.7036188688768525,1.3330969213801882,0.029861402854885286,0.6600041775661324
Local Model,209,E,Chemical + CS3 + CS7,"(938, 16)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5312162777481446,1.1740773571842351,0.02654638526190754,0.7362622528532718,1.5535110476850345,1.1855789315126801,0.02675521806044186,0.7683222558925419
Local Model,209,E,Chemical + CS3 + CS7,"(938, 16)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.656968056788356,1.2686285602620448,0.028622955615781515,0.7097723513871694,1.6457150023991411,1.265771585018078,0.028618522274342608,0.667109962930948
Local Model,209,E,Chemical + CS3 + CS7,"(938, 16)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6263514813056938,1.2332276907145185,0.027851181299299622,0.7163594121508994,1.684568086209674,1.2647895723708138,0.02847313420317913,0.6728050000549317
Local Model,209,E,Chemical + CS3 + CS7,"(938, 16)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4781960810622496,1.122601786376953,0.02533419757593009,0.7534899512416474,1.6731486334479606,1.2457961476102757,0.02832217472111082,0.7332764557204322
Local Model,209,E,Chemical + CS3 + CS7,"(938, 16)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6129420830680532,1.2489727538168498,0.028250902935679015,0.7262519754758466,1.4067391506734839,1.0720408026547361,0.024002120530080027,0.7471024637866546
Local Model,209,E,Chemical + CS3 + CS7,"(938, 16)",,MLP,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5272849589312607,1.1491267955795257,0.025836288281981104,0.7353149605097733,1.831082010887956,1.4338445256687116,0.032561377407932676,0.6861894381669587
Local Model,209,E,Chemical + CS3 + CS7,"(938, 16)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",5.5626743108634935,4.498472270581546,0.09649346495753712,-11.688199764104262,9.987544828925492,5.951329715126437,0.12943247265132435,-120.5337349137607
Local Model,209,E,Chemical + CS3 + CS7,"(938, 16)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",5.5802545219038056,4.615431913235042,0.1041937105476854,-1.9305928861498338,7.252616733803746,6.141414825037908,0.14504522887211208,-2.606257529200735
Local Model,209,E,Chemical + CS3 + CS7,"(938, 16)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",4.052732985219827,3.301021968150298,0.07756157584618512,-0.09713132040219796,4.9465532840853115,4.295363466363206,0.09880037111974527,-1.8821443811418392
Local Model,209,E,Chemical + CS3 + CS7,"(938, 16)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",4.191542497517172,3.3559341358978454,0.07624061833849681,-1.4661304913123399,6.6246877980103855,5.574130767019177,0.12532527811470437,-13.06763504289661
Local Model,209,E,Chemical + CS3 + CS7,"(938, 16)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",4.590893749631251,3.5859215888721026,0.08273367508256219,-4.938943319857366,11.641354098609023,8.11789146222567,0.1813020634065863,-111.21546408655243
Local Model,209,E,Chemical + CS3 + CS7,"(938, 16)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",5.155988874983044,4.157407031987337,0.08928400052612828,-9.900757653473203,9.3316109561336,5.817110993234733,0.12618278431439958,-105.09443638798187
Local Model,209,E,Chemical + CS3 + CS7,"(938, 16)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",5.0665880200906,4.232957304781711,0.09580253569554602,-1.4158983584562024,6.327432753590903,5.389184656645124,0.12911190712045179,-1.7448736519594497
Local Model,209,E,Chemical + CS3 + CS7,"(938, 16)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",3.504886168485934,2.786269024842535,0.06578010334364472,0.17943976654964255,5.832378992379177,4.332697898463206,0.10235899168959739,-3.006838367924889
Local Model,209,E,Chemical + CS3 + CS7,"(938, 16)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",4.827473668674998,3.8928555236406748,0.08814548188619278,-2.271207795747394,7.945628330825142,6.4682357507003045,0.14508231506388258,-19.237028975550636
Local Model,209,E,Chemical + CS3 + CS7,"(938, 16)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",4.670099879849859,3.639133418550428,0.0840001720226787,-5.1456388466764995,11.76389587262149,8.121162025552053,0.18138225110677497,-113.59035222261208
Local Model,209,E,Chemical + CS3 + CS7,"(938, 16)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",5.425177066838178,4.392079420665767,0.09416092036116276,-11.068702331193697,11.456843599427387,6.217555164537931,0.13537938782341044,-158.92241160228977
Local Model,209,E,Chemical + CS3 + CS7,"(938, 16)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",6.011494327437408,5.107533146800608,0.11582086502491021,-2.4010448431223166,7.853148182474857,6.636810800652757,0.15779661005720294,-3.228193619316328
Local Model,209,E,Chemical + CS3 + CS7,"(938, 16)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",3.8406972869280778,3.1063007938461804,0.07289669036035874,0.01466754412970872,4.8193303290570855,4.028885580364025,0.09287983000579363,-1.7357961853587929
Local Model,209,E,Chemical + CS3 + CS7,"(938, 16)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",4.617208289621122,3.7899184110500665,0.08534565991933105,-1.9924523158129261,6.737441546958761,5.634384713423886,0.12689019596894943,-13.550579207383311
Local Model,209,E,Chemical + CS3 + CS7,"(938, 16)",,MLP,,Standard Scaler,,Median,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",4.634130915168353,3.5906733893068026,0.08288695379298411,-5.051336367744608,11.379015287865535,8.106970912531809,0.18094599990625695,-106.21488218870216
Local Model,209,E,Chemical + CS3 + CS7,"(938, 16)",,MLP,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",5.346059971657386,4.416555096590066,0.09478626959216377,-11.268957420378035,61.757051910886155,34.931830150506435,0.8410589600840197,-461.200689992187
Local Model,209,E,Chemical + CS3 + CS7,"(938, 16)",,MLP,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.8449733055829325,1.468080561158003,0.03206113115332697,0.4299670235998252,3.2383135938852288,2.7505976153642697,0.06633463664394945,0.31882447998942254
Local Model,209,E,Chemical + CS3 + CS7,"(938, 16)",,MLP,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",2.1111673033820466,1.6106771454182076,0.036153479353614446,0.6323628276883633,3.0344738910865425,2.5631136400271695,0.058807016300647434,0.06332375029887716
Local Model,209,E,Chemical + CS3 + CS7,"(938, 16)",,MLP,,Standard Scaler,,Median,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.6474997621685417,1.2829979935911129,0.02890261604982486,0.7669869563835034,2.0567918638532694,1.6895179601816024,0.03819951420426276,0.2528070871119663
