Category,Company,Data Shape,Timesteps,Features,Model,Cross Validation,Cross Validation Params,RMSE Train,RMSE Train,MAE Train,MAE Train,MAPE Train,MAPE Train,R2 Train,R2 Train,RMSE Test,RMSE Test,MAE Test,MAE Test,MAPE Test,MAPE Test,R2 Test,R2 Test
,,,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Local Model,209,"(938, 15)",1,Chemical + CS3,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.361430477423783,0.15540269371183446,1.1234969637945453,0.14639559883489722,0.025663057413081173,0.002900899226070351,0.6159211415119713,0.30132736844233243,1.8827922393996068,0.46448613716107734,1.5712375528435978,0.3680899209648892,0.03617995157504155,0.009588386585208884,-0.4973812953944089,1.2997402074684643
Local Model,209,"(938, 15)",1,Chemical + CS3,Transformer,Out of time Split,"{""Test Size"": 0.2}",1.2918474499596144,0.014399443809734876,1.0347047297905811,0.017257406607140677,0.0233926407814198,0.0004154361189050026,0.8422756005980471,0.0035207966076189643,2.2161274022849136,0.015349096804243014,1.8985260280311513,0.01740305761242018,0.043460408966054735,0.0003825237187200542,-0.4125016172169215,0.019521442898846872
Local Model,209,"(938, 15)",1,Chemical + CS3,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3095405309326642,0.05190783802950102,1.0526638266007695,0.05148262396079338,0.023936743771270075,0.0012271147634285117,0.812905433329296,0.017224780896086915,1.589860493157883,0.07732053947657606,1.2788956567728758,0.05626214555023778,0.029229173441960233,0.00147954133161787,0.7197646154182545,0.03917622099447072
Local Model,209,"(938, 15)",1,Chemical + CS3,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.3828567889044932,0.07450679463096314,1.1232245288370675,0.0906713889660972,0.025052695327082222,0.0017433727565697396,0.6523035496457026,0.3020095618215416,2.194135112585769,0.6698389170262024,1.741625357003497,0.4720565628419029,0.040832977627407986,0.01143677386161481,0.16110970688825876,0.6292528036431206
Local Model,209,"(938, 15)",7,Chemical + CS3,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.3803832484486527,0.17637006227714294,1.133065244453543,0.16677729401897082,0.02593768273742235,0.003370055451817419,0.6069628765013287,0.27619175831015963,2.498854797805769,1.374963630179362,1.877191438430397,0.6994788608187007,0.04284418217685169,0.015963676319853456,-3.6710237645217205,9.263479402430713
Local Model,209,"(938, 15)",7,Chemical + CS3,Transformer,Out of time Split,"{""Test Size"": 0.2}",1.208852547363201,0.07727977867085147,0.9484955726630427,0.0780334298281355,0.021809640097440214,0.0019127468006851648,0.8615966042378848,0.01802206164711856,2.4445639744645864,0.19826079795579266,2.0196716632265024,0.18332617442404836,0.046248116838345676,0.004073237962035709,-0.7621969869556716,0.27598147071615375
Local Model,209,"(938, 15)",7,Chemical + CS3,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.1419390097843372,0.0456283623684725,0.8970166566130554,0.04519292897347336,0.020553512397953177,0.0010520495872906592,0.8577315894066174,0.011538862234572992,1.7473802971368115,0.10789755005892272,1.38923989128377,0.08007329879649519,0.03186538288907793,0.001981777341209921,0.6353902837114885,0.06033812450845616
Local Model,209,"(938, 15)",7,Chemical + CS3,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.257849970722065,0.0807326220099133,0.9990616536463538,0.08920712244268451,0.022468023335938912,0.0019240410595026136,0.7200984485111468,0.23143555405291405,2.9204598727729096,1.1084749042044653,2.312400429817482,0.8289374499396167,0.054713885056805904,0.021942821342273704,-0.32376841729006756,0.8650265508910967
Local Model,209,"(938, 15)",14,Chemical + CS3,Transformer,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""train_size"": 0.8}",1.3427754215565286,0.1596950895940658,1.0890035698826068,0.1408366485879257,0.024961726679722598,0.003180011720215752,0.633373005022493,0.2361084318191917,3.1962960522802843,2.1526234718034565,2.3642841252814395,1.12257076472717,0.0547884851123179,0.02756003940864246,-3.967592137821962,7.142819632955329
Local Model,209,"(938, 15)",14,Chemical + CS3,Transformer,Out of time Split,"{""Test Size"": 0.2}",1.236561276198121,0.016116921483561995,0.9670519760440945,0.024993818995117434,0.022226896294058152,0.0005079880964468697,0.8555733026124582,0.0037797304398553516,2.517258149905242,0.07645884241557131,2.1599278623478892,0.11052190601118021,0.04907145330083334,0.002471601511801101,-1.0334442236554786,0.12367355421612936
Local Model,209,"(938, 15)",14,Chemical + CS3,Transformer,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.2770381349385997,0.07225017056006276,1.0172764579245486,0.07485895049810067,0.023353812978832888,0.0017169859847024067,0.8193429358740976,0.02302735358849324,1.7925701862750756,0.21445575522349702,1.43949551410736,0.1878062382117411,0.03277299736956538,0.004328870778383077,0.5372436331380713,0.10753071510925712
Local Model,209,"(938, 15)",14,Chemical + CS3,Transformer,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 3, ""Gap"": 0}",1.297494736072958,0.08209280410127347,1.0259067227989074,0.08778601935314703,0.02317061251510052,0.002103987024686732,0.7043259709669688,0.2305606468959052,4.844865589515174,4.790915628424838,3.546262087371043,3.217626988611897,0.08645949085431812,0.08395485035020533,-2.813392804035743,5.6315876849818105
