Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,H,Chemical + Properties CS Less,"(1757, 13)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.453807234942719,2.3142451600116036,0.05527614745479921,0.5014293303782539,3.7178440861155777,2.4848609660043834,0.06048811394509705,0.4422800607891295
Local Model,209,H,Chemical + Properties CS Less,"(1757, 13)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.4954916208230733,2.352017110541144,0.05650423628137884,0.49810880698749593,3.6005412172988414,2.397378353622874,0.0565536640722484,0.44017541874725497
Local Model,209,H,Chemical + Properties CS Less,"(1757, 13)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.2806192732929125,2.206588605552459,0.05249162893347439,0.5527410178529101,3.317248993276566,2.1950782794611916,0.05298224032453103,0.5475276232207211
Local Model,209,H,Chemical + Properties CS Less,"(1757, 13)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.2434472399468297,2.1813040576714333,0.05209078386586995,0.5628331498757659,3.4595759859854525,2.3345960397470344,0.0554484346314348,0.507711983219388
Local Model,209,H,Chemical + Properties CS Less,"(1757, 13)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.3179083494620825,2.2589130319224973,0.053872970453211065,0.5446067769004974,3.5478702695411415,2.3576224859490207,0.056907885817844436,0.47289765970147746
Local Model,209,H,Chemical + Properties CS Less,"(1757, 13)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.525304793097623,2.392598945176704,0.05757423866389351,0.49293861611520695,3.324684988302962,2.2516770462865976,0.05394424625809857,0.5093710060471216
Local Model,209,H,Chemical + Properties CS Less,"(1757, 13)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.453155747619792,2.317490771600842,0.05565066343678636,0.5006086510358883,3.6338720183441633,2.4814134953529714,0.06012165084907004,0.4694081424855475
Local Model,209,H,Chemical + Properties CS Less,"(1757, 13)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.3231231870525373,2.256708741548867,0.05387994950392568,0.5411101393960527,3.6743791330884505,2.4530815685509686,0.05763439195280104,0.44330221089251
Local Model,209,H,Chemical + Properties CS Less,"(1757, 13)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.3365287509620956,2.2548976858591083,0.0536647305671778,0.531696234424051,3.8089373566513545,2.5292821218582806,0.060188287379136465,0.4307213974992077
Local Model,209,H,Chemical + Properties CS Less,"(1757, 13)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.201060278075158,2.169799016934973,0.05171695165642469,0.5790483354592426,3.7385443796556292,2.414211583334715,0.058273032238600184,0.39773402713407324
Local Model,209,H,Chemical + Properties CS Less,"(1757, 13)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.394922381183035,2.341845633090926,0.05602065069055093,0.5217548211124413,3.4207453725756714,2.351146892313001,0.056446086771770314,0.5150611400670162
Local Model,209,H,Chemical + Properties CS Less,"(1757, 13)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.236755339953922,2.1747359190681945,0.05175918662104836,0.5645120279028775,3.590703650472926,2.3603373932809064,0.05665998874051332,0.46957212309645724
Local Model,209,H,Chemical + Properties CS Less,"(1757, 13)",,Decision Tree,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",3.2291249547108767,2.167554461839027,0.051546559210085205,0.5635795158936083,3.6177886017560263,2.4224614481456923,0.05890299750974094,0.47480360862438964
