Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,H,Chemical + Properties CS Less,"(1757, 13)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7834096514225286,1.3694333548223423,0.03143089072872203,0.8670670136736809,1.8971298352924106,1.4387745207006273,0.033736358470858326,0.8547794980630816
Local Model,209,H,Chemical + Properties CS Less,"(1757, 13)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7979968794746661,1.370994926262581,0.031550740666779924,0.8672083059168899,1.9533330763879009,1.4719073013825856,0.03367120718330194,0.8352334688695664
Local Model,209,H,Chemical + Properties CS Less,"(1757, 13)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7812982566230997,1.3726583076574739,0.031606988347936384,0.8681376859747594,1.9017758799684386,1.3751710636323673,0.03162720220366393,0.8512850604428337
Local Model,209,H,Chemical + Properties CS Less,"(1757, 13)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8091774851008233,1.387553525683212,0.032005545900000106,0.8639821531793397,2.095765405338863,1.5265081139371628,0.03589475427047369,0.8193413123710094
Local Model,209,H,Chemical + Properties CS Less,"(1757, 13)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7824766943510704,1.3514013982260047,0.031126438578357556,0.8685666694505981,1.9192185907592627,1.4666324408984919,0.0335970357773374,0.8457559692544632
Local Model,209,H,Chemical + Properties CS Less,"(1757, 13)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.8267995504944199,1.3968302988072732,0.031956174678294064,0.8638401743642219,1.9550501455630718,1.4919661283493044,0.03443651694597859,0.8303444752034346
Local Model,209,H,Chemical + Properties CS Less,"(1757, 13)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.85557757015351,1.4293993396691167,0.03255689052465706,0.8557994523974524,2.12332279641743,1.5014035593379615,0.03481753917188359,0.8188437298644357
Local Model,209,H,Chemical + Properties CS Less,"(1757, 13)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7422548681220933,1.3417390766387989,0.030823577342509047,0.8738640292939206,2.04617189889976,1.5088596072292044,0.03484262474246017,0.8273622383784218
Local Model,209,H,Chemical + Properties CS Less,"(1757, 13)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7908385677455727,1.3634796223972807,0.0313903027627677,0.8650879366289973,1.9285992136223746,1.4946298191690057,0.03429533480012992,0.8540509841993811
Local Model,209,H,Chemical + Properties CS Less,"(1757, 13)",1,LSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.7977086070289874,1.3738646703966988,0.03158801530986891,0.8672351460407309,1.8898489380987422,1.4206295393810675,0.03275661099100876,0.8461004223869267
