Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,H,Chemical + CS3 + CS7,"(1757, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5185249370907654,1.2097850242967705,0.028411445707025657,0.903622780532242,1.6859236263132715,1.2750036716461153,0.03066766417898081,0.8853142077281242
Local Model,209,H,Chemical + CS3 + CS7,"(1757, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5331300147405147,1.2077471044139927,0.02850767827347579,0.9034502805185213,1.5587702189426276,1.2614078196612277,0.029238745923594604,0.8950746105767674
Local Model,209,H,Chemical + CS3 + CS7,"(1757, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5482707651370986,1.2303671640149212,0.02891204008494069,0.900381216523636,1.5383424992300747,1.2025839216009477,0.02887683151367175,0.9026934655422996
Local Model,209,H,Chemical + CS3 + CS7,"(1757, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5290825518709257,1.203036138716326,0.028382458387618593,0.9028382312476191,1.6781210016912669,1.3253734512546482,0.03097139462675572,0.8841702652353731
Local Model,209,H,Chemical + CS3 + CS7,"(1757, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.511990139457967,1.1915054375552174,0.02811321440743271,0.9054294944853152,1.6030863202383423,1.2685905195708969,0.029503899780235987,0.8923848789836775
Local Model,209,H,Chemical + CS3 + CS7,"(1757, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5230569428191723,1.2069410683845696,0.028477133878592572,0.9053546076717547,1.587726813503817,1.2397027774290599,0.02903942459651563,0.8881067823151195
Local Model,209,H,Chemical + CS3 + CS7,"(1757, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5249535649134276,1.2049456830550767,0.028319920466273584,0.9026083059088443,1.5788910285735058,1.271318175575946,0.030233413838206987,0.8998327756670202
Local Model,209,H,Chemical + CS3 + CS7,"(1757, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5408290580264805,1.221118642120578,0.028774516910065863,0.9013437733987651,1.6096757937985307,1.2420154691082115,0.02923867923193414,0.893161350203459
Local Model,209,H,Chemical + CS3 + CS7,"(1757, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5196665719839038,1.2002840272732493,0.028279773399456996,0.9028518515695837,1.6391491775601699,1.2911165568903318,0.03063074965461924,0.8945724388122425
Local Model,209,H,Chemical + CS3 + CS7,"(1757, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5326568549988762,1.2193364595112037,0.02873688351306616,0.9034984274288654,1.5709116215021537,1.23392417016532,0.02898239011922456,0.8936624252376603
Local Model,209,H,Chemical + CS3 + CS7,"(1757, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5328578650451412,1.2137950883641364,0.028614306409015505,0.9025022316663539,1.6648313053639352,1.2937518683346836,0.030502143285656546,0.8851354651332333
Local Model,209,H,Chemical + CS3 + CS7,"(1757, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5491654594208089,1.2215185335098204,0.028742064815223047,0.9002410133807865,1.505061562033275,1.2020071961662973,0.02851413484921347,0.9068086200067003
Local Model,209,H,Chemical + CS3 + CS7,"(1757, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5190741459973014,1.2011834140522542,0.02824647097622038,0.9034186282177498,1.582499158662589,1.2554865236635533,0.029853187742579206,0.8995101178945134
Local Model,209,H,Chemical + CS3 + CS7,"(1757, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5241918826508791,1.1984352936615814,0.028281680869761527,0.9044374620857127,1.5325234317765208,1.2203980252953353,0.028644407142536608,0.8993525923769374
Local Model,209,H,Chemical + CS3 + CS7,"(1757, 11)",,XGBoost,,,,,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5159983835720867,1.208048585807615,0.028501341301973425,0.9050604679530249,1.6823458571484047,1.3118495560779184,0.030475036700090066,0.8805341401841564
Local Model,209,H,Chemical + CS3 + CS7,"(1757, 11)",,XGBoost,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.4265603734694392,1.183362538473946,0.028084336333723363,0.9326886570122244,2.0114829025662244,1.7165341444418407,0.03758257574811645,0.8418537063303599
Local Model,209,H,Chemical + CS3 + CS7,"(1757, 11)",,XGBoost,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.383299879345841,1.108598232269286,0.025466111191923383,0.9289281475744553,1.9316795854242903,1.4307953203228134,0.035757827974827704,0.8752689833368139
Local Model,209,H,Chemical + CS3 + CS7,"(1757, 11)",,XGBoost,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.2504364092476112,0.9783569335937532,0.023101107660382193,0.9219842378317573,2.4542390443655946,1.981944554288622,0.046391575792273154,0.6638518510408686
Local Model,209,H,Chemical + CS3 + CS7,"(1757, 11)",,XGBoost,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.1019393210368504,0.8061381476266062,0.01947391164102245,0.9260911838280862,1.389275480717339,1.0492832559934748,0.02681936186004826,0.8866187757745962
Local Model,209,H,Chemical + CS3 + CS7,"(1757, 11)",,XGBoost,,,,,,Blocking Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""train_size"": 0.8}",1.2674521330471729,0.9721381051199774,0.023374990757808755,0.9331390664308861,1.2900683231028454,0.8476924090318277,0.022130808651359118,0.9105928835238863
Local Model,209,H,Chemical + CS3 + CS7,"(1757, 11)",,XGBoost,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.4405693118543204,1.2216442891644312,0.028872680273228486,0.9303535493220226,1.943403674879183,1.5784231342681438,0.03544459723472118,0.8593813089706641
Local Model,209,H,Chemical + CS3 + CS7,"(1757, 11)",,XGBoost,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.538850306375257,1.255693322329042,0.029238322707966963,0.9191611429452677,1.8520282852948027,1.4466014234987046,0.03471988159943125,0.851292800472012
Local Model,209,H,Chemical + CS3 + CS7,"(1757, 11)",,XGBoost,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.5429333827122096,1.2560090834653332,0.02921107944012295,0.9125761246678273,1.8074388588830343,1.4345589467923938,0.034569352569229814,0.8323437494666237
Local Model,209,H,Chemical + CS3 + CS7,"(1757, 11)",,XGBoost,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.5635506657823988,1.2640258255720338,0.02957166241218062,0.9041206389460745,1.641097776100971,1.2641199582243607,0.03118604724831806,0.8452082900097841
Local Model,209,H,Chemical + CS3 + CS7,"(1757, 11)",,XGBoost,,,,,,Time Series Split,"{""N_Splits"": 5, ""Repeats"": 1, ""Gap"": 0}",1.5586470786865316,1.2409731790067384,0.029113580208414702,0.8992032423354129,1.4377726057214923,1.0814854347542517,0.026971716428102414,0.9133741222819425
Local Model,209,H,Chemical + CS3 + CS7,"(1757, 11)",,XGBoost,,,,,,Out of time Split,"{""Test Size"": 0.2}",1.553620345098275,1.2377211411228377,0.029032493718671462,0.9006308988182056,1.5329571567912905,1.1543619090860533,0.028662860418829907,0.8986636452655395
