Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Local Model,209,J,Chemical + CS7,"(708, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4773131622935842,1.134912799525177,0.025744741231844222,0.8701033970525892,3.75882590707379,1.4530652382004423,0.03303663363973448,0.20098572985340502
Local Model,209,J,Chemical + CS7,"(708, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.352761634859023,1.073082276199395,0.024594357235046157,0.8941763546949588,3.452801401050689,1.5772426793273056,0.036942849967747285,0.2422036243032285
Local Model,209,J,Chemical + CS7,"(708, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6143708785823438,1.2651788596972136,0.02855875246420998,0.8470295554560043,2.260487887507675,1.3827601231319808,0.03069408047109485,0.6954436140713371
Local Model,209,J,Chemical + CS7,"(708, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.3474083729417792,1.0393198837468651,0.023588181110355627,0.8932231016066106,3.5606242288369194,1.4055613308088162,0.03131014569993473,0.24251445940790428
Local Model,209,J,Chemical + CS7,"(708, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5910161923310584,1.2214050750463306,0.027521819737090485,0.8493109453712564,1.6872371318597978,1.258504935190188,0.028557696031845086,0.8395549556472052
Local Model,209,J,Chemical + CS7,"(708, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5421043774201688,1.2093608020472444,0.027359473686459048,0.8572146072135445,1.6443450944503861,1.2826421979447478,0.0293862355156631,0.8505621540318248
Local Model,209,J,Chemical + CS7,"(708, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.6300866251150787,1.2952810536846258,0.029287540715168314,0.8431544680976734,3.259557352807655,1.7689296077674552,0.040191347286295184,0.3816833943854885
Local Model,209,J,Chemical + CS7,"(708, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.5176621691836467,1.1839586399469275,0.026624317680668964,0.8624514582842387,1.7584616188526963,1.4248189523186479,0.032437564850478794,0.8277934260852045
Local Model,209,J,Chemical + CS7,"(708, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.692174173950854,1.3185578791973245,0.029801428382262147,0.8358612564919785,1.9197745871459528,1.3896609258989923,0.031070554263293783,0.7546740278490507
Local Model,209,J,Chemical + CS7,"(708, 11)",1,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",1.4942100125227205,1.1735259821385517,0.02655674199778182,0.8697422124901772,6.968528303263216,1.7110643156876812,0.03737036188484334,-1.9726729596413746
